;sc;HAM;ROS;VET;RAI;BOT;RIC;VER2;PER;HUL;GUT;MAS;ALO;WEH;BUT;SAI;KVY2;GRO;NAS;ERI;PAL;MAG;OCO
0;0;6;1;2;3;4;5;11;7;10;20;8;9;12;22;14;15;13;16;19;17;18;21
1;0;5;1;2;3;4;6;11;7;10;18;8;9;13;19;14;15;12;22;17;21;16;20
2;0;5;1;2;3;4;6;11;7;10;18;8;9;13;19;14;15;12;22;17;21;16;20
3;0;5;1;2;3;4;6;11;7;10;18;8;9;13;19;14;15;12;22;17;21;16;20
4;0;5;1;2;3;4;6;10;7;11;18;8;9;13;19;14;15;12;22;17;21;16;20
5;0;5;1;2;3;4;6;10;7;11;19;8;9;13;18;14;15;12;22;17;21;16;20
6;0;5;1;2;3;4;6;10;7;11;18;8;9;13;17;14;15;12;ab;16;21;19;20
7;0;5;1;2;3;4;6;9;7;11;18;8;10;13;16;14;15;12;ab;17;ab;19;20
8;0;5;1;2;3;4;6;9;7;11;18;8;10;13;16;14;15;12;ab;17;ab;19;20
9;0;5;1;2;3;4;6;9;7;11;18;8;10;13;15;14;16;12;ab;17;ab;19;20
10;0;4;1;2;3;5;6;9;7;11;18;8;10;13;15;14;16;12;ab;17;ab;19;20
11;0;4;1;2;3;5;6;9;7;11;18;8;10;13;15;14;16;12;ab;17;ab;19;20
12;0;4;1;2;3;7;5;10;6;9;17;8;11;13;15;14;19;12;ab;16;ab;18;20
13;0;4;1;2;3;13;5;16;6;9;15;7;17;10;12;11;20;8;ab;14;ab;18;19
14;0;3;1;2;4;10;5;15;6;16;14;7;17;9;12;11;19;8;ab;13;ab;20;18
15;0;2;1;3;6;8;4;13;10;14;16;5;15;11;18;9;19;7;ab;12;ab;20;17
16;0;2;1;3;4;6;7;10;8;13;19;11;14;17;16;9;18;5;ab;12;ab;20;15
17;0;2;1;3;4;6;7;10;8;12;18;11;14;17;15;9;19;5;ab;13;ab;20;16
18;0;2;1;3;4;5;6;9;8;12;18;10;13;17;15;11;19;7;ab;14;ab;20;16
19;0;2;1;3;4;5;6;9;8;12;18;10;13;16;15;11;19;7;ab;14;ab;20;17
20;0;2;1;3;4;5;6;9;8;11;18;10;13;16;15;12;19;7;ab;14;ab;20;17
21;0;2;1;3;4;5;6;8;7;11;17;10;12;16;15;13;19;9;ab;14;ab;20;18
22;0;2;1;3;4;5;6;8;7;11;17;10;12;16;14;13;19;9;ab;15;ab;20;18
23;0;2;1;3;4;5;6;8;7;11;15;9;12;14;13;17;18;10;ab;19;ab;20;16
24;0;1;2;3;4;5;6;8;7;11;15;9;12;14;13;16;18;10;ab;19;ab;20;17
25;0;4;1;2;3;5;6;8;7;10;15;9;12;14;13;16;17;11;ab;18;ab;20;19
26;0;4;1;2;3;5;6;8;7;10;14;9;12;ab;13;15;16;11;ab;17;ab;18;19
27;0;4;1;2;3;5;6;7;8;10;14;9;11;ab;13;15;16;12;ab;17;ab;18;19
28;0;4;1;2;3;5;6;7;11;9;13;8;10;ab;12;15;16;14;ab;17;ab;18;19
29;0;4;1;2;3;6;5;7;11;9;13;8;10;ab;12;15;16;14;ab;17;ab;18;19
30;0;4;1;2;3;9;5;6;11;8;13;7;10;ab;12;15;16;14;ab;17;ab;19;18
31;0;4;1;2;3;9;5;6;10;8;13;7;11;ab;12;15;16;14;ab;17;ab;19;18
32;0;4;1;3;2;8;5;6;10;9;13;7;12;ab;11;15;17;14;ab;16;ab;18;19
33;0;2;1;5;3;8;4;6;9;11;13;7;14;ab;10;15;17;12;ab;16;ab;18;19
34;0;2;1;4;5;8;3;6;9;11;16;7;13;ab;10;14;17;12;ab;15;ab;18;19
35;0;2;1;4;5;6;3;9;8;11;15;7;13;ab;10;14;17;12;ab;16;ab;18;19
36;0;2;1;3;5;6;4;8;7;11;15;10;13;ab;9;14;ab;12;ab;16;ab;17;18
37;0;2;1;3;4;5;6;8;7;11;15;9;13;ab;10;14;ab;12;ab;16;ab;17;18
38;0;2;1;3;4;5;6;8;7;10;15;9;12;ab;13;14;ab;11;ab;16;ab;17;18
39;0;2;1;3;4;5;6;8;7;10;14;9;12;ab;13;16;ab;11;ab;15;ab;17;18
40;0;2;1;3;4;5;6;8;7;10;14;9;12;ab;13;16;ab;11;ab;15;ab;17;18
41;0;2;1;3;4;5;6;8;7;10;14;9;12;ab;13;15;ab;11;ab;16;ab;17;18
42;0;2;1;3;4;5;6;8;7;10;14;9;12;ab;13;15;ab;11;ab;16;ab;17;18
43;0;2;1;3;4;5;6;8;7;10;14;9;13;ab;12;15;ab;11;ab;16;ab;17;18
44;0;2;1;3;4;5;6;8;7;10;14;9;13;ab;12;15;ab;11;ab;16;ab;17;18
45;0;2;1;3;4;5;6;8;7;10;14;9;13;ab;12;15;ab;11;ab;16;ab;17;18
46;0;2;1;3;4;6;5;8;7;10;14;9;13;ab;12;15;ab;11;ab;16;ab;17;18
47;0;2;1;3;4;6;5;7;8;10;14;9;13;ab;12;15;ab;11;ab;16;ab;17;18
48;0;2;1;3;4;6;5;7;8;10;14;9;13;ab;12;15;ab;11;ab;16;ab;17;18
49;0;2;1;3;4;6;5;7;8;10;13;9;14;ab;12;15;ab;11;ab;16;ab;17;18
50;0;2;1;3;4;6;5;7;8;10;13;9;14;ab;12;15;ab;11;ab;16;ab;17;18
51;0;2;1;3;4;6;5;7;8;10;13;9;14;ab;12;15;ab;11;ab;16;ab;17;ab
52;0;2;1;3;4;6;5;7;8;10;13;9;14;ab;12;15;ab;11;ab;16;ab;17;ab
