;sc;ROS;RIC;HAM;VER2;RAI;SAI;KVY2;HUL;ALO;BOT;MAS;BUT;GUT;GRO;ERI;MAG;NAS;PER;PAL;WEH;OCO;VET
0;1;1;2;3;8;4;7;6;ab;5;15;9;14;13;np;11;10;18;12;19;16;17;20
1;1;1;2;3;8;4;7;6;ab;5;19;9;20;12;np;11;10;16;13;17;14;15;18
2;0;1;2;3;8;4;7;6;ab;5;19;9;20;12;np;11;10;15;13;17;14;16;18
3;0;1;2;3;8;4;7;6;ab;5;19;9;20;12;np;11;10;14;13;18;15;16;17
4;0;1;2;3;8;4;7;6;ab;5;18;9;20;12;np;11;10;14;13;19;15;17;16
5;0;1;2;3;8;4;7;6;ab;5;18;9;20;12;np;11;10;14;13;19;16;17;15
6;0;1;2;3;7;4;13;6;ab;5;18;8;20;11;np;10;9;14;12;19;16;17;15
7;0;1;2;3;7;4;20;6;ab;5;17;8;19;10;np;14;9;12;11;18;15;16;13
8;0;1;2;3;7;4;19;6;ab;5;16;8;18;10;np;20;9;12;11;17;14;15;13
9;0;1;2;3;7;4;19;6;ab;5;16;8;18;10;np;20;9;12;11;17;14;15;13
10;0;1;2;3;7;4;18;6;ab;5;16;8;17;10;np;19;9;12;11;20;14;15;13
11;0;1;2;3;7;4;18;6;ab;5;16;8;17;10;np;19;9;12;11;20;14;15;13
12;0;1;2;3;9;4;18;6;ab;5;16;7;17;10;np;19;8;12;11;20;14;15;13
13;0;1;2;3;14;4;18;5;ab;7;16;6;17;9;np;19;8;12;10;20;13;15;11
14;0;1;2;4;14;3;16;6;ab;12;18;5;19;8;np;17;7;11;9;20;13;15;10
15;0;1;3;4;13;2;16;12;ab;11;19;6;20;7;np;17;5;10;8;18;14;15;9
16;0;2;3;4;11;1;15;10;ab;9;19;13;20;5;np;17;8;12;6;18;14;16;7
17;0;1;2;3;10;4;13;9;ab;8;19;11;20;7;np;15;12;17;5;18;14;16;6
18;0;1;2;3;9;4;12;8;ab;7;17;10;19;13;np;14;11;15;5;16;20;18;6
19;0;1;2;3;9;4;12;8;ab;7;17;10;18;13;np;14;11;15;5;16;19;20;6
20;0;1;2;3;9;4;12;8;ab;7;17;10;18;13;np;15;11;14;5;16;19;20;6
21;0;1;2;3;9;4;12;8;ab;7;17;10;18;13;np;15;11;14;5;16;19;20;6
22;0;1;2;3;9;4;12;8;ab;7;17;10;18;13;np;15;11;14;5;16;19;20;6
23;0;1;2;3;8;4;12;7;ab;6;17;9;18;13;np;15;11;14;5;16;19;20;10
24;0;1;2;3;7;4;11;6;ab;5;15;8;17;12;np;18;10;14;9;16;19;20;13
25;0;1;2;3;7;4;10;6;ab;5;15;8;17;11;np;19;9;14;13;16;18;20;12
26;0;1;2;3;9;4;14;6;ab;5;15;7;18;11;np;19;8;13;12;16;17;20;10
27;0;1;2;3;13;4;17;6;ab;5;14;8;19;10;np;18;7;12;11;15;16;20;9
28;0;1;2;3;11;4;16;6;ab;5;14;13;19;9;np;18;7;12;10;15;17;20;8
29;0;1;2;3;11;4;16;6;ab;5;15;13;19;9;np;18;7;12;10;14;17;20;8
30;0;1;2;3;10;4;15;6;ab;5;18;13;19;9;np;17;7;12;11;14;16;20;8
31;0;1;3;2;10;4;15;6;ab;5;19;12;18;9;np;17;7;13;11;14;16;20;8
32;0;1;4;2;9;3;14;6;ab;5;19;12;18;11;np;17;8;13;10;15;16;20;7
33;0;2;3;1;9;4;14;5;ab;6;19;12;18;11;np;16;8;13;10;17;15;20;7
34;0;1;2;4;8;3;14;5;ab;9;19;12;17;11;np;16;7;13;10;18;15;20;6
35;0;1;2;4;8;3;13;6;ab;9;ab;11;16;12;np;17;7;14;10;18;15;19;5
36;0;1;2;4;8;3;12;6;ab;9;ab;11;15;13;np;18;7;14;10;16;17;19;5
37;0;1;2;4;6;3;12;11;ab;7;ab;10;15;13;np;18;9;14;8;16;17;19;5
38;0;1;2;4;6;3;12;10;ab;7;ab;9;15;13;np;18;11;14;8;16;17;19;5
39;0;1;2;4;6;3;12;10;ab;7;ab;9;15;13;np;18;11;14;8;16;17;19;5
40;0;1;2;4;6;3;12;10;ab;7;ab;9;15;13;np;18;11;14;8;16;17;19;5
41;0;1;2;4;6;3;12;10;ab;7;ab;9;15;13;np;18;11;14;8;16;17;19;5
42;0;1;2;4;5;3;12;9;ab;7;ab;10;18;13;np;17;11;14;8;15;16;19;6
43;0;1;2;4;6;3;11;9;ab;7;ab;13;ab;12;np;17;10;14;8;15;16;18;5
44;0;1;2;4;9;3;11;8;ab;6;ab;13;ab;12;np;17;10;14;7;15;16;18;5
45;0;1;2;4;9;3;11;8;ab;6;ab;13;ab;12;np;17;10;14;7;15;16;18;5
46;0;1;2;3;9;4;11;8;ab;6;ab;13;ab;12;np;17;10;14;7;15;16;18;5
47;0;1;2;3;7;4;14;9;ab;6;ab;12;ab;11;np;17;10;13;8;15;16;18;5
48;0;1;2;3;7;4;14;9;ab;6;ab;12;ab;11;np;17;10;13;8;15;16;18;5
49;0;1;2;3;7;4;14;9;ab;6;ab;12;ab;11;np;17;10;13;8;15;16;18;5
50;0;1;2;3;7;4;14;9;ab;6;ab;12;ab;11;np;17;10;13;8;15;16;18;5
51;0;1;2;3;7;4;14;9;ab;6;ab;12;ab;11;np;17;10;13;8;15;16;18;5
52;0;1;2;3;7;4;14;9;ab;6;ab;12;ab;11;np;17;10;13;8;15;16;18;5
53;0;1;2;3;6;4;14;9;ab;7;ab;12;ab;11;np;17;10;13;8;15;16;18;5
54;0;1;2;3;6;4;14;9;ab;7;ab;12;ab;11;np;17;10;13;8;15;16;18;5
55;0;1;2;3;6;4;14;9;ab;7;ab;12;ab;11;np;17;10;13;8;15;16;18;5
56;0;1;2;3;6;4;14;9;ab;7;ab;12;ab;11;np;17;10;13;8;15;16;18;5
