;sc;ROS;HAM;VER2;RIC;PER;VET;GRO;RAI;HUL;GUT;BOT;MAS;KVY2;SAI;ALO;PAL;MAG;ERI;NAS;OCO;WEH;BUT
0;0;1;8;2;5;3;4;9;7;6;10;13;14;11;12;15;16;18;17;19;20;21;22
1;0;1;8;2;5;3;4;9;7;6;10;13;14;11;12;15;16;18;17;19;20;21;22
2;0;1;8;2;5;4;3;9;7;6;10;13;14;11;12;15;16;18;17;19;20;21;22
3;0;1;8;2;5;4;3;9;7;6;10;13;14;11;12;15;16;18;17;19;20;21;22
4;0;1;8;2;5;4;3;9;7;6;10;13;14;11;12;15;16;18;17;19;20;21;22
5;0;1;8;2;5;4;3;9;6;7;10;13;14;11;12;15;16;18;17;19;20;21;22
6;0;1;7;2;5;4;3;9;6;8;10;13;14;11;12;15;16;18;17;19;20;21;22
7;0;1;7;2;5;4;3;9;6;8;10;13;14;11;12;15;16;18;17;19;20;21;22
8;0;1;7;2;5;4;3;9;6;8;10;13;14;11;12;16;15;18;17;19;20;21;22
9;0;1;6;3;7;4;2;10;5;8;9;13;14;12;11;22;15;17;16;18;19;20;21
10;0;1;5;6;13;3;2;18;4;7;9;10;11;21;8;22;12;15;14;16;17;20;19
11;0;1;3;6;11;4;2;16;5;14;21;8;9;18;7;19;10;13;12;15;20;22;17
12;0;1;2;3;8;10;4;16;11;12;20;5;7;18;6;19;9;14;13;15;22;21;17
13;0;1;6;2;7;9;3;14;8;10;20;4;5;17;19;18;11;13;12;15;21;22;16
14;0;1;4;2;6;9;3;14;8;10;20;5;7;17;19;18;11;13;12;15;21;22;16
15;0;1;4;2;6;9;3;13;7;10;20;5;8;17;19;18;11;14;12;15;21;22;16
16;0;1;4;2;5;8;3;13;7;10;20;6;9;17;19;18;11;14;12;15;21;22;16
17;0;1;4;2;5;8;3;12;6;9;20;7;10;17;19;18;11;14;13;15;21;22;16
18;0;1;4;2;5;7;3;12;6;9;20;8;10;16;19;17;11;14;13;15;21;22;18
19;0;1;4;2;5;7;3;12;6;8;19;9;10;16;18;17;11;14;13;15;20;22;21
20;0;1;4;2;5;7;3;12;6;8;19;9;10;16;18;17;11;14;13;15;20;22;21
21;0;1;4;2;5;7;3;12;6;8;19;9;10;16;18;17;11;14;13;15;20;22;21
22;0;1;4;2;5;7;3;11;6;8;19;9;10;18;17;16;12;14;13;15;21;22;20
23;0;1;4;2;5;7;3;10;6;8;18;9;11;21;17;16;12;14;13;15;20;22;19
24;0;1;4;2;5;7;3;10;6;8;17;9;18;21;15;14;11;13;12;16;20;22;19
25;0;1;4;2;5;7;3;9;6;8;15;10;14;19;13;12;17;20;11;22;18;21;16
26;0;1;4;2;5;6;3;9;8;7;14;13;11;18;10;12;16;19;20;22;17;21;15
27;0;1;4;3;5;6;2;9;7;8;15;12;11;17;10;20;14;18;19;21;16;22;13
28;0;1;3;4;5;7;2;8;6;9;21;11;10;15;12;19;14;17;18;20;16;22;13
29;0;3;2;4;5;7;1;9;6;8;21;11;10;15;12;19;14;17;18;20;16;22;13
30;0;3;2;4;5;7;1;11;6;8;21;10;9;15;12;18;14;16;17;20;19;22;13
31;0;3;2;4;5;7;1;11;6;8;20;10;9;15;12;18;14;16;17;19;22;21;13
32;0;2;3;4;6;7;1;11;5;8;20;10;9;15;12;18;14;16;17;19;21;22;13
33;0;2;4;3;6;7;1;11;5;8;20;10;9;15;12;18;14;16;17;19;21;22;13
34;0;1;3;2;6;7;4;11;5;8;20;10;9;15;12;18;14;16;17;19;21;22;13
35;0;1;3;2;6;7;4;11;5;8;20;10;9;14;12;18;13;16;17;19;21;22;15
36;0;1;3;2;6;7;4;11;5;8;19;10;9;14;13;17;12;15;16;18;21;22;20
37;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
38;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
39;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
40;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
41;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
42;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
43;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
44;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
45;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
46;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
47;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
48;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
49;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
50;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
51;0;1;3;2;6;7;4;11;5;8;20;10;9;13;17;16;12;14;15;19;21;22;18
52;0;1;3;2;6;7;4;11;5;8;20;10;9;ab;17;16;12;14;15;19;ab;22;18
