;sc;HAM;ROS;RIC;VER2;RAI;VET;HUL;BOT;MAS;SAI;PER;ALO;KVY2;GUT;PAL;ERI;GRO;MAG;BUT;WEH;NAS;OCO
0;0;1;3;2;5;4;6;21;22;7;8;17;9;12;10;14;13;15;16;11;20;19;18
1;0;1;3;2;5;4;6;ab;21;7;8;16;9;12;10;17;13;14;15;11;19;20;18
2;0;1;3;2;5;4;6;ab;21;7;8;15;9;12;11;17;14;13;16;10;19;20;18
3;0;1;3;2;5;4;6;ab;21;7;8;15;9;12;11;17;14;13;16;10;18;20;19
4;0;1;3;2;5;4;6;ab;21;7;8;14;9;13;11;17;15;12;16;10;18;20;19
5;0;1;3;2;5;4;6;ab;21;7;8;13;9;14;11;17;15;12;16;10;18;20;19
6;0;1;3;2;5;4;6;ab;21;7;8;13;9;14;12;17;15;11;16;10;18;20;19
7;0;1;3;2;5;4;6;ab;21;7;8;12;9;14;13;17;15;11;16;10;18;19;20
8;0;1;2;8;3;9;4;ab;21;5;6;12;7;14;13;17;15;11;16;10;18;19;20
9;0;1;2;6;9;8;3;ab;21;4;5;12;7;14;13;17;15;11;16;10;18;19;20
10;0;1;6;4;8;7;2;ab;21;3;5;17;9;11;10;14;12;18;13;16;15;19;20
11;0;2;4;3;6;5;1;ab;21;7;10;17;13;8;9;14;11;18;12;16;15;19;20
12;0;2;4;3;5;6;1;ab;21;7;8;16;12;9;10;14;11;17;13;15;18;19;20
13;0;2;4;3;5;6;1;ab;21;7;8;13;10;9;17;15;11;14;19;12;20;16;18
14;0;1;3;2;4;5;6;ab;21;7;8;13;10;9;17;15;11;14;18;12;20;16;19
15;0;1;3;2;4;5;6;ab;20;7;8;13;10;9;21;18;11;14;16;12;19;15;17
16;0;1;3;2;4;5;6;ab;20;7;8;12;9;10;ab;17;14;13;16;11;19;15;18
17;0;1;3;2;4;5;6;ab;19;7;8;12;9;10;ab;16;17;13;15;11;18;14;20
18;0;1;3;2;4;5;6;ab;19;7;8;12;9;10;ab;16;17;13;15;11;18;14;20
