;sc;HAM;ROS;VER2;RIC;HUL;RAI;VET;BOT;MAS;SAI;ALO;PER;BUT;MAG;ERI;WEH;GUT;KVY2;NAS;OCO;PAL;GRO
0;1;1;2;3;6;4;5;8;9;7;11;12;10;14;13;21;ab;15;18;16;17;19;20
1;1;1;2;3;17;4;5;7;8;6;10;11;9;13;12;21;ab;14;18;15;16;20;19
2;1;1;2;3;17;4;5;7;8;6;10;11;9;13;12;21;ab;14;18;15;16;20;19
3;0;1;2;3;15;4;5;7;8;6;10;11;9;13;12;21;ab;14;17;16;18;20;19
4;0;1;2;3;15;4;5;7;8;6;10;11;9;13;12;20;ab;14;17;16;18;21;19
5;0;1;2;3;15;4;5;7;8;6;10;11;9;13;12;20;ab;14;17;16;18;21;19
6;0;1;2;3;14;4;5;7;8;6;10;11;9;13;12;20;ab;15;17;16;18;21;19
7;0;1;2;3;14;4;5;7;8;6;10;11;9;13;12;20;ab;15;17;16;18;21;19
8;0;1;2;3;13;4;5;7;8;6;10;11;9;14;12;20;ab;15;17;16;18;21;19
9;0;1;2;3;12;4;5;7;8;6;10;11;9;14;13;20;ab;15;17;16;18;21;19
10;0;1;2;3;12;4;5;7;8;6;10;11;9;14;13;19;ab;15;17;16;18;20;21
11;0;1;2;5;11;3;4;7;8;6;12;10;9;13;14;19;ab;16;17;15;18;20;21
12;0;1;2;11;9;3;4;6;7;5;18;10;8;12;19;16;ab;20;15;13;14;17;21
13;0;1;2;10;9;4;3;5;6;8;17;11;7;12;18;15;ab;19;20;13;14;16;21
14;0;1;2;8;7;10;3;4;5;13;17;9;6;11;18;14;ab;19;20;12;16;15;21
15;0;1;2;8;7;9;3;4;5;13;16;10;6;11;17;14;ab;18;19;12;21;15;20
16;0;1;2;8;7;9;3;4;5;12;15;16;6;10;17;13;ab;18;19;11;21;14;20
17;0;4;1;8;7;9;2;3;5;10;14;15;6;17;16;12;ab;18;19;11;21;13;20
18;0;4;1;7;6;9;2;3;8;10;14;15;5;17;16;12;ab;18;19;11;21;13;20
19;0;4;1;6;5;8;2;3;10;9;14;15;7;16;17;12;ab;18;19;11;21;13;20
20;0;2;3;5;4;7;6;1;9;8;14;15;10;16;17;12;ab;18;19;11;21;13;20
21;0;2;3;4;5;7;6;1;9;8;14;15;10;16;17;12;ab;19;18;11;21;13;20
