;sc;HAM;ROS;RAI;VER2;VET;RIC;GRO;HUL;PER;ALO;BOT;GUT;MAS;KVY2;SAI;PAL;BUT;MAG;WEH;ERI;NAS;OCO
0;1;1;2;3;4;5;6;np;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
1;1;1;2;3;4;5;6;np;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
2;1;1;2;3;4;5;6;np;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
3;1;1;2;3;4;5;6;np;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
4;1;1;2;3;4;5;6;np;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
5;1;1;2;3;4;5;6;np;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
6;1;1;2;3;4;5;6;np;7;9;8;11;12;10;13;14;15;16;21;18;19;17;20
7;0;1;2;4;3;5;6;np;7;9;8;10;19;11;12;13;14;20;21;18;16;15;17
8;0;1;2;4;3;5;6;np;7;8;9;11;17;13;15;10;18;21;20;16;19;12;14
9;0;1;2;4;3;11;5;np;6;7;14;15;12;19;18;8;20;17;16;13;21;9;10
10;0;1;2;4;3;19;5;np;6;7;13;14;11;18;17;8;21;16;15;12;20;9;10
11;0;1;2;4;3;19;5;np;6;7;13;14;12;18;17;8;20;16;15;11;ab;9;10
12;0;1;2;4;3;18;6;np;5;7;12;13;19;17;16;8;20;15;14;11;ab;9;10
13;1;1;2;3;4;18;9;np;5;6;12;13;19;17;16;7;20;15;14;11;ab;8;10
14;1;1;2;3;4;18;9;np;5;6;12;13;19;17;16;7;20;15;14;11;ab;8;10
15;1;1;2;3;4;18;9;np;5;6;12;13;19;17;16;7;20;15;14;11;ab;8;10
16;1;1;2;3;4;17;9;np;5;6;12;13;19;16;18;7;20;15;14;11;ab;8;10
17;1;1;2;3;4;17;9;np;5;6;12;13;18;16;19;7;20;15;14;11;ab;8;10
18;1;1;2;3;4;16;9;np;5;6;13;12;18;17;19;7;20;15;14;11;ab;8;10
19;1;1;2;ab;3;15;8;np;4;5;11;12;17;16;18;6;19;14;13;10;ab;7;9
20;1;1;2;ab;3;15;8;np;4;5;11;12;17;16;18;6;ab;14;13;10;ab;7;9
21;1;1;2;ab;3;15;8;np;6;4;11;12;17;16;18;5;ab;14;13;10;ab;7;9
22;1;1;2;ab;3;14;7;np;15;4;10;11;17;16;18;5;ab;13;12;9;ab;6;8
23;1;1;2;ab;3;14;7;np;15;4;10;11;17;16;18;5;ab;13;12;9;ab;6;8
24;1;1;2;ab;3;14;7;np;15;4;10;11;17;16;18;5;ab;13;12;9;ab;6;8
25;1;1;2;ab;3;14;7;np;15;4;10;11;17;16;18;5;ab;13;12;9;ab;6;8
26;1;1;2;ab;3;14;7;np;15;4;10;11;17;16;18;5;ab;13;12;9;ab;6;8
27;1;1;2;ab;3;14;7;np;15;4;10;11;17;16;18;5;ab;13;12;9;ab;6;8
28;1;1;2;ab;3;14;7;np;15;4;10;11;17;16;18;5;ab;13;12;9;ab;6;8
29;1;1;2;ab;3;14;7;np;15;4;10;11;17;16;18;5;ab;13;12;9;ab;6;8
30;1;1;2;ab;3;14;7;np;15;4;10;11;16;18;17;5;ab;13;12;9;ab;6;8
31;0;1;3;ab;2;12;6;np;15;4;9;11;16;18;17;5;ab;14;13;10;ab;7;8
32;0;1;3;ab;2;11;5;np;15;4;9;12;16;18;17;6;ab;14;13;10;ab;7;8
33;0;1;3;ab;2;10;5;np;14;4;9;12;15;18;16;6;ab;17;13;11;ab;7;8
34;0;1;3;ab;2;10;5;np;14;4;8;12;15;17;16;6;ab;18;13;11;ab;7;9
35;0;1;3;ab;2;10;5;np;12;4;8;11;15;17;16;6;ab;18;14;13;ab;7;9
36;0;1;3;ab;2;9;5;np;12;4;8;11;15;17;16;6;ab;18;14;13;ab;7;10
37;0;1;3;ab;2;9;5;np;11;4;8;12;15;17;16;6;ab;18;13;14;ab;7;10
38;0;1;3;ab;2;9;5;np;11;4;8;17;14;16;15;6;ab;18;12;13;ab;7;10
39;0;1;3;ab;2;9;6;np;11;4;8;17;13;16;15;5;ab;18;12;14;ab;7;10
40;0;1;3;ab;2;8;11;np;10;4;7;17;12;16;14;5;ab;18;13;15;ab;6;9
41;0;1;3;ab;2;7;11;np;10;4;8;16;12;15;13;5;ab;17;18;14;ab;6;9
42;0;1;2;ab;3;7;11;np;9;4;8;16;12;14;13;5;ab;17;18;15;ab;6;10
