;sc;ROS;RIC;RAI;VET;BOT;KVY;PER;SAI;VER;MAS;ALO;BUT;HUL;GRO;ERI;NAS;MAG;GUT;PAL;HAR;WEH;HAM
0;0;2;1;20;8;10;3;4;6;12;7;13;9;5;19;11;22;14;17;16;18;15;21
1;0;2;1;19;7;10;3;4;6;11;9;13;8;5;21;12;22;14;17;16;18;15;20
2;0;1;14;19;6;8;2;3;5;10;9;12;7;4;21;11;22;13;17;16;18;15;20
3;1;1;18;19;5;9;2;3;7;11;4;10;8;6;21;13;22;15;14;16;17;12;20
4;1;1;17;19;15;10;6;9;12;18;2;3;11;13;21;14;22;16;5;7;8;4;20
5;1;1;17;19;15;10;6;9;12;18;2;3;11;13;21;14;22;16;5;7;8;4;20
6;1;1;17;19;15;10;6;9;12;18;2;3;11;13;20;14;22;16;5;7;8;4;21
7;1;1;17;19;15;10;6;8;12;18;2;3;11;13;20;14;22;16;5;7;9;4;21
8;0;1;15;18;12;8;3;7;11;20;2;4;10;13;21;16;22;17;6;9;14;5;19
9;0;1;14;17;9;8;3;7;11;19;2;4;10;13;21;18;22;20;6;12;15;5;16
10;0;1;12;15;8;9;3;6;11;17;2;4;10;13;21;19;22;20;7;16;18;5;14
11;0;1;12;15;6;7;2;5;11;16;3;4;9;14;21;19;22;20;10;17;18;8;13
12;0;1;11;15;5;7;2;6;10;16;3;4;8;13;21;17;22;19;14;18;20;9;12
13;0;1;10;17;4;7;2;6;9;15;3;5;8;13;20;16;22;18;14;21;19;12;11
14;0;1;10;22;4;7;2;6;8;13;3;5;9;12;19;15;20;16;14;21;18;17;11
15;0;1;8;19;4;6;2;5;7;13;3;9;11;12;17;15;20;16;14;22;18;21;10
16;0;1;8;19;5;6;2;4;7;11;3;17;10;13;16;14;20;15;12;22;18;21;9
17;0;1;7;17;11;4;2;6;5;10;3;16;9;18;15;13;19;14;12;22;20;21;8
18;0;1;7;17;10;3;2;12;6;9;4;15;8;18;16;11;19;14;13;21;22;20;5
19;0;1;14;13;6;2;4;8;12;7;9;11;5;15;17;10;20;16;19;21;22;18;3
20;0;1;11;13;4;2;3;7;10;15;8;12;6;14;21;9;22;19;16;18;20;17;5
21;0;1;10;11;3;7;2;5;9;15;6;12;4;13;21;8;22;19;16;18;20;17;14
22;0;1;8;11;3;7;2;5;10;15;6;13;4;14;21;9;22;18;16;19;20;17;12
23;0;1;8;10;3;7;2;6;9;15;5;13;4;14;20;12;22;18;16;21;19;17;11
24;0;1;8;10;3;7;2;6;9;15;4;13;5;14;20;12;21;18;16;22;19;17;11
25;0;1;8;10;3;6;2;5;9;13;4;12;7;16;20;14;21;18;15;22;19;17;11
26;0;1;7;9;3;5;2;6;8;13;4;12;11;20;19;14;21;16;15;22;18;17;10
27;0;1;6;8;3;5;2;10;7;11;4;12;15;18;17;14;20;16;13;22;19;21;9
28;0;1;6;8;3;5;2;13;7;10;4;11;14;17;16;18;19;15;12;21;22;20;9
29;0;1;5;8;3;6;2;13;7;10;4;11;14;17;16;18;19;15;12;21;22;20;9
30;0;1;5;7;3;10;2;12;6;8;4;9;13;16;18;17;19;15;11;21;22;20;14
31;0;1;4;6;3;9;2;10;5;7;8;11;14;16;18;17;19;15;12;21;22;20;13
32;0;1;4;5;3;9;2;10;6;7;8;14;13;16;20;17;19;15;12;21;22;18;11
33;0;1;4;5;3;8;2;10;13;6;7;14;11;15;22;17;19;16;12;20;21;18;9
34;0;1;4;5;3;8;2;10;12;6;7;13;11;14;22;15;19;18;16;20;21;17;9
35;0;1;2;5;3;8;4;10;12;6;7;13;11;14;21;15;18;22;16;20;19;17;9
36;0;1;4;5;2;8;3;10;12;6;7;13;11;14;20;16;18;21;15;22;19;17;9
37;0;1;8;11;2;6;3;9;12;4;5;13;10;14;19;16;18;21;15;22;20;17;7
38;0;1;7;10;2;5;3;9;12;8;4;13;11;14;19;16;18;21;15;22;20;17;6
39;0;1;6;9;2;7;3;8;11;12;4;13;10;14;18;16;19;20;15;22;21;17;5
40;0;1;6;8;2;7;3;9;10;12;4;13;11;14;18;16;20;19;15;22;21;17;5
41;0;1;6;8;2;7;3;9;10;12;4;13;11;14;18;16;20;19;15;22;21;17;5
42;0;1;4;8;2;7;3;9;10;12;5;13;11;14;18;16;20;19;15;22;21;17;6
43;0;1;4;7;2;8;3;9;10;11;5;13;12;14;18;15;19;17;16;22;21;20;6
44;0;1;4;7;2;8;3;9;10;11;5;12;14;13;20;15;19;17;16;22;21;18;6
45;0;1;4;6;2;8;3;9;10;11;5;12;13;14;20;15;19;17;16;22;21;18;7
46;0;1;4;5;2;8;3;9;10;11;6;12;13;16;19;14;20;17;15;22;21;18;7
47;0;1;4;5;2;8;3;9;11;10;6;12;13;16;19;14;20;17;15;22;21;18;7
48;0;1;4;5;2;8;3;11;10;9;6;12;13;16;19;14;20;17;15;22;21;18;7
49;0;1;4;5;2;8;3;11;10;9;6;12;13;16;19;15;20;17;14;22;21;18;7
50;0;1;4;5;2;8;3;11;10;9;6;12;13;15;19;16;20;17;14;22;21;18;7
51;0;1;4;5;2;8;3;11;10;9;6;12;13;15;19;16;20;17;14;22;21;18;7
52;0;1;4;5;2;8;3;11;10;9;6;12;13;15;19;16;20;17;14;22;21;18;7
53;0;1;4;5;2;9;3;11;10;8;6;12;13;15;19;16;20;17;14;22;21;18;7
54;0;1;4;5;2;9;3;11;10;8;6;12;13;15;19;16;20;17;14;22;21;18;7
55;0;1;4;5;2;10;3;11;9;8;6;12;13;15;19;16;20;17;14;22;21;18;7
