;sc;ROS;BOT;RAI;MAS;RIC;PER;VET;KVY;VER;HAM;SAI;BUT;HUL;ALO;GRO;GUT;MAG;PAL;NAS;WEH;HAR;ERI
0;1;1;3;2;4;14;18;ab;8;6;5;12;15;ab;7;9;19;10;11;13;16;ab;17
1;1;1;3;2;4;17;18;ab;15;6;5;11;13;ab;7;8;19;9;10;12;14;ab;16
2;1;1;3;2;4;17;18;ab;15;6;5;11;13;ab;7;8;19;9;10;12;14;ab;16
3;0;1;2;3;5;17;18;ab;15;6;4;11;13;ab;7;8;19;9;10;12;14;ab;16
4;0;1;2;3;5;17;18;ab;15;6;4;11;13;ab;7;8;19;9;10;12;14;ab;16
5;0;1;2;3;5;18;17;ab;16;6;4;11;13;ab;7;8;19;9;10;12;14;ab;15
6;0;1;2;4;5;18;16;ab;17;6;3;11;13;ab;7;8;19;9;10;12;14;ab;15
7;0;1;2;4;5;17;15;ab;19;6;3;11;12;ab;7;8;18;9;10;13;14;ab;16
8;0;1;2;4;5;17;13;ab;19;6;3;11;12;ab;7;8;18;9;10;14;15;ab;16
9;0;1;2;4;5;17;13;ab;19;6;3;11;12;ab;7;8;18;9;10;15;14;ab;16
10;0;1;2;4;5;17;12;ab;19;6;3;14;11;ab;7;8;18;9;10;15;13;ab;16
11;0;1;2;4;5;15;12;ab;19;6;3;17;11;ab;7;8;18;9;10;16;13;ab;14
12;0;1;2;4;5;14;12;ab;19;6;3;16;11;ab;7;8;18;9;10;17;15;ab;13
13;0;1;2;4;5;14;12;ab;19;6;3;15;10;ab;7;8;18;9;11;16;17;ab;13
14;0;1;2;4;5;13;11;ab;19;6;3;15;10;ab;7;8;18;9;14;16;17;ab;12
15;0;1;4;3;5;13;11;ab;19;6;2;15;10;ab;7;8;18;9;14;16;17;ab;12
16;0;1;7;2;4;12;10;ab;19;5;3;15;9;ab;6;8;18;13;14;16;17;ab;11
17;0;1;6;2;3;11;9;ab;18;4;7;15;8;ab;5;13;19;12;14;16;17;ab;10
18;0;1;6;2;7;11;9;ab;18;3;4;15;8;ab;5;13;19;12;14;16;17;ab;10
19;0;1;5;2;7;11;8;ab;18;3;4;15;9;ab;6;13;19;12;14;16;17;ab;10
20;0;1;5;4;7;10;8;ab;18;2;3;14;15;ab;6;12;19;11;13;16;17;ab;9
21;0;1;5;3;6;10;7;ab;18;4;2;13;15;ab;9;12;19;11;14;16;17;ab;8
22;0;1;4;3;5;10;6;ab;18;7;2;13;15;ab;9;12;19;11;14;16;17;ab;8
23;0;1;4;3;5;10;6;ab;18;7;2;13;15;ab;8;12;19;11;14;16;17;ab;9
24;0;1;4;3;5;10;6;ab;18;7;2;13;15;ab;8;12;19;11;14;16;17;ab;9
25;0;1;4;3;5;10;6;ab;18;7;2;13;15;ab;8;12;19;11;14;16;17;ab;9
26;0;1;4;3;5;10;7;ab;17;6;2;13;15;ab;8;12;19;11;14;16;18;ab;9
27;0;1;4;3;5;8;13;ab;17;6;2;11;15;ab;7;10;19;9;14;16;18;ab;12
28;0;1;4;3;5;14;11;ab;17;6;2;10;13;ab;7;9;19;8;12;16;18;ab;15
29;0;1;4;3;5;18;11;ab;16;6;2;10;12;ab;7;9;19;8;13;15;17;ab;14
30;0;1;4;3;5;16;10;ab;15;6;2;11;12;ab;7;9;19;8;13;17;18;ab;14
31;0;1;4;3;5;15;10;ab;16;6;2;11;12;ab;7;9;19;8;13;17;18;ab;14
32;0;1;4;3;5;15;10;ab;16;6;2;11;12;ab;7;9;19;8;13;17;18;ab;14
33;0;1;4;3;5;14;9;ab;15;ab;2;10;11;ab;6;8;18;7;12;16;17;ab;13
34;0;1;4;3;5;14;9;ab;15;ab;2;10;11;ab;6;8;18;7;12;16;17;ab;13
35;0;1;4;3;5;14;9;ab;15;ab;2;10;11;ab;6;8;18;7;12;16;17;ab;13
36;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;18;7;12;16;17;ab;14
37;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;18;7;12;16;17;ab;14
38;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
39;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
40;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
41;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
42;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
43;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
44;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
45;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
46;0;1;4;3;5;13;9;ab;15;ab;2;10;11;ab;6;8;17;7;12;16;18;ab;14
47;0;1;4;3;5;13;9;ab;15;ab;2;11;10;ab;6;8;17;7;12;16;18;ab;14
48;0;1;4;3;5;12;9;ab;15;ab;2;11;10;ab;6;8;17;7;13;16;18;ab;14
49;0;1;4;3;5;12;9;ab;15;ab;2;11;10;ab;6;8;17;7;13;16;18;ab;14
50;0;1;4;3;5;12;9;ab;15;ab;2;11;10;ab;6;8;17;7;13;16;18;ab;14
51;0;1;4;3;5;12;9;ab;15;ab;2;11;10;ab;6;8;17;7;13;16;18;ab;14
52;0;1;4;3;5;11;9;ab;15;ab;2;12;10;ab;6;8;17;7;13;16;18;ab;14
