;sc;HAM;ROS;VET;RIC;VER2;RAI;BOT;MAS;HUL;ALO;PER;BUT;GUT;GRO;KVY2;PAL;WEH;NAS;HAR;SAI;ERI;MAG
0;0;2;10;1;4;3;5;6;7;9;8;12;11;13;15;14;18;17;22;21;16;19;20
1;0;2;10;1;4;3;5;6;7;8;9;12;11;13;14;15;18;17;22;21;16;19;20
2;0;2;9;1;4;3;5;6;7;8;10;12;11;13;14;15;18;17;22;21;16;19;20
3;0;2;9;1;4;3;5;6;7;8;10;12;11;13;14;15;19;17;22;21;16;18;20
4;0;2;9;1;4;3;5;6;7;8;10;12;11;13;14;15;19;17;22;21;16;18;20
5;0;2;9;1;4;3;5;6;7;8;10;12;11;13;14;15;19;17;22;21;16;18;20
6;0;2;9;1;4;3;5;6;7;8;10;12;11;13;14;15;19;17;22;20;16;18;21
7;0;2;9;1;4;3;5;6;7;8;10;12;11;13;14;15;19;17;22;20;16;18;21
8;0;2;9;1;4;3;5;6;7;8;10;12;11;14;13;15;19;17;22;20;16;18;21
9;0;2;9;1;4;3;5;6;7;8;10;11;ab;13;12;14;18;16;21;19;15;17;20
10;1;1;7;4;3;2;15;5;6;8;9;10;ab;13;11;12;16;20;21;17;14;18;19
11;0;1;7;4;3;2;14;5;6;8;9;10;ab;15;11;12;16;20;21;17;13;18;19
12;0;1;7;4;3;2;13;5;6;8;9;10;ab;19;11;12;14;20;21;15;18;16;17
13;0;1;7;4;3;2;13;5;6;8;9;10;ab;18;11;12;14;19;21;15;17;20;16
14;0;1;7;4;3;2;12;5;6;8;9;10;ab;17;11;13;14;18;21;20;16;19;15
15;0;1;7;4;3;2;11;5;6;8;9;10;ab;17;12;13;14;18;20;21;15;19;16
16;0;1;7;3;4;2;10;5;6;8;15;9;ab;16;12;13;ab;17;19;20;11;18;14
17;0;1;7;2;4;3;9;5;6;8;15;10;ab;16;12;14;ab;17;19;20;11;18;13
18;0;1;7;2;4;3;9;5;6;8;15;10;ab;16;12;13;ab;17;19;20;11;18;14
19;0;1;6;2;3;8;9;4;5;7;15;10;ab;16;12;13;ab;17;19;20;11;18;14
20;0;1;9;2;6;5;7;3;4;10;14;8;ab;15;12;13;ab;17;19;20;11;18;16
21;0;1;9;2;6;4;5;3;8;10;14;7;ab;15;12;13;ab;17;19;20;11;18;16
22;0;1;8;2;6;3;4;5;9;10;14;7;ab;15;12;13;ab;17;19;20;11;18;16
23;0;2;7;1;5;3;4;6;9;10;14;8;ab;15;12;13;ab;17;19;20;11;18;16
24;0;2;7;1;5;3;4;6;9;10;14;8;ab;15;12;13;ab;17;19;20;11;18;16
25;0;2;7;1;5;3;4;6;9;10;14;8;ab;15;12;13;ab;17;19;20;11;18;16
26;0;2;7;1;5;3;4;6;9;10;14;8;ab;15;12;13;ab;17;19;20;11;18;16
27;0;2;7;1;5;3;4;6;9;10;14;8;ab;15;12;13;ab;17;19;20;11;18;16
28;0;2;7;1;5;3;4;6;9;10;14;8;ab;15;12;13;ab;17;19;20;11;18;16
29;0;2;7;1;5;3;4;6;8;9;14;11;ab;15;12;13;ab;17;19;20;10;18;16
30;0;2;7;1;5;3;4;6;8;9;14;12;ab;15;11;13;ab;17;19;20;10;18;16
31;0;2;7;1;5;3;4;6;8;9;14;12;ab;15;11;13;ab;17;19;20;10;18;16
32;0;2;6;1;4;3;8;5;7;9;14;12;ab;15;11;13;ab;18;19;20;10;17;16
33;0;2;6;1;4;3;8;5;7;9;14;12;ab;15;11;13;ab;18;19;20;10;16;17
34;0;2;6;1;4;3;8;5;7;9;14;12;ab;15;11;13;ab;18;20;19;10;16;17
35;0;2;6;1;5;3;7;4;ab;8;13;11;ab;14;10;12;ab;17;19;18;9;15;16
36;0;1;6;2;5;3;7;4;ab;8;13;10;ab;14;11;12;ab;17;19;18;9;15;16
37;0;1;5;2;7;3;6;4;ab;8;13;10;ab;14;11;12;ab;17;19;18;9;15;16
38;0;1;5;2;7;3;6;4;ab;8;12;10;ab;14;13;11;ab;17;19;18;9;15;16
39;0;1;5;2;7;3;6;4;ab;8;12;10;ab;14;13;11;ab;17;19;18;9;15;16
40;0;1;5;2;7;3;6;4;ab;8;12;10;ab;14;13;11;ab;17;19;18;9;15;16
41;0;1;5;2;7;3;6;4;ab;8;12;10;ab;14;13;11;ab;17;19;18;9;15;16
42;0;1;5;2;7;3;6;4;ab;8;12;10;ab;14;13;11;ab;17;19;18;9;15;16
43;0;1;5;2;7;3;6;4;ab;8;11;10;ab;14;13;12;ab;17;18;19;9;15;16
44;0;1;5;2;7;3;6;4;ab;8;11;10;ab;14;13;12;ab;17;18;19;9;15;16
45;0;1;4;2;7;5;6;3;ab;8;10;11;ab;13;14;12;ab;17;18;19;9;15;16
46;0;1;4;2;7;5;6;3;ab;8;10;12;ab;13;14;11;ab;17;18;19;9;15;16
47;0;1;4;2;7;5;6;3;ab;8;10;12;ab;13;14;11;ab;17;18;19;9;15;16
48;0;1;4;2;7;5;6;3;ab;8;10;12;ab;13;14;11;ab;17;18;19;9;15;16
49;0;1;4;2;7;5;6;3;ab;8;10;12;ab;13;14;11;ab;17;18;19;9;15;16
50;0;1;7;2;6;4;5;3;ab;8;10;12;ab;13;14;11;ab;17;18;19;9;15;16
51;0;1;7;2;6;4;5;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
52;0;1;7;2;6;4;5;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
53;0;1;6;2;7;4;5;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
54;0;1;6;2;7;4;5;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
55;0;1;6;2;7;4;5;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
56;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
57;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
58;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
59;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
60;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
61;0;1;5;2;7;4;6;3;ab;8;12;10;ab;13;14;11;ab;17;18;19;9;15;16
62;0;1;5;2;7;4;6;3;ab;8;12;10;ab;13;14;11;ab;17;18;19;9;15;16
63;0;1;5;2;7;4;6;3;ab;8;12;10;ab;13;14;11;ab;17;18;19;9;15;16
64;0;1;5;2;7;4;6;3;ab;8;12;10;ab;13;14;11;ab;17;18;19;9;15;16
65;0;1;5;2;7;4;6;3;ab;8;12;10;ab;13;14;11;ab;17;18;19;9;15;16
66;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
67;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
68;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;12;ab;17;18;19;9;15;16
69;0;1;5;2;7;4;6;3;ab;8;11;10;ab;13;14;ab;ab;17;18;19;9;15;16
