;sc;HAM;STR;OCO;BOT;RAI;VET;MAS;KVY;MAG;PER;ERI;WEH;VER;HUL;SAI;RIC;PAL;VAN;ALO;GRO
0;0;1;3;2;4;5;6;7;11;10;9;14;20;8;12;13;15;19;16;17;18
1;0;1;3;2;4;5;6;7;11;10;9;16;19;8;12;13;14;20;15;17;18
2;0;1;4;2;3;6;5;7;10;9;8;16;17;20;11;13;12;18;14;15;19
3;0;1;4;3;2;6;5;7;10;9;8;16;17;20;11;13;12;18;14;15;19
4;0;1;5;3;2;6;4;7;10;9;8;16;18;20;12;13;11;17;14;15;19
5;0;1;5;3;2;6;4;7;11;9;8;16;18;20;12;14;10;17;13;15;19
6;0;1;5;3;2;6;4;7;11;10;8;17;18;20;12;14;9;16;13;15;19
7;0;1;5;4;2;6;3;7;11;10;8;17;18;20;12;14;9;16;13;15;19
8;0;1;5;4;2;6;3;7;11;10;8;17;18;20;15;13;9;16;12;14;19
9;0;1;5;4;2;6;3;7;11;10;8;16;17;20;18;13;9;15;12;14;19
10;0;1;5;4;2;6;3;7;10;12;8;16;17;20;18;13;9;15;11;14;19
11;0;1;5;4;2;6;3;7;10;17;8;15;16;20;18;12;9;14;11;13;19
12;0;1;5;4;2;6;3;7;10;17;8;15;16;20;18;13;9;12;11;14;19
13;0;1;5;4;2;6;3;7;10;16;8;14;15;20;17;18;9;12;11;13;19
14;0;1;5;4;2;8;3;6;10;16;7;14;15;19;17;18;9;12;11;13;20
15;0;1;4;5;2;11;3;6;9;16;7;14;15;19;17;18;8;12;10;13;20
16;0;1;5;10;2;11;3;4;8;15;7;14;17;19;16;18;6;12;9;13;20
17;0;1;11;9;2;10;3;4;7;14;6;18;16;19;15;17;5;12;8;13;20
18;0;1;11;8;2;9;3;4;10;14;6;20;16;18;15;17;5;12;7;13;19
19;0;1;10;8;2;9;3;4;15;13;6;20;18;17;14;16;5;11;7;12;19
20;0;1;10;7;2;8;3;6;15;13;5;19;20;17;14;16;4;11;9;12;18
21;0;1;8;6;2;7;3;10;15;13;5;19;20;17;14;16;4;11;9;12;18
22;0;1;8;6;2;7;3;10;15;13;5;19;20;17;14;16;4;11;9;12;18
23;0;1;8;6;2;7;3;9;15;13;5;19;20;17;14;16;4;11;10;12;18
24;0;1;8;6;2;7;3;9;15;13;5;19;20;17;14;16;4;11;10;12;18
25;0;1;8;7;2;6;3;9;14;12;5;19;20;16;13;15;4;17;10;11;18
26;0;1;8;7;2;6;3;9;14;12;5;19;20;16;13;15;4;17;10;11;18
27;0;1;8;7;2;6;3;9;14;12;5;19;20;18;13;15;4;16;10;11;17
28;0;1;8;7;2;6;3;9;14;12;5;19;20;18;13;15;4;17;10;11;16
29;0;1;8;7;2;6;3;9;14;11;5;18;19;17;12;15;4;ab;10;13;16
30;0;1;8;7;2;6;3;9;13;11;5;19;18;16;12;14;4;ab;10;15;17
31;0;2;8;7;1;6;4;9;13;11;5;19;18;16;12;14;3;ab;10;15;17
32;0;2;7;6;1;5;4;8;12;10;9;19;18;15;11;14;3;ab;13;16;17
33;0;1;7;6;2;5;4;8;12;10;9;18;17;14;11;13;3;ab;ab;15;16
34;0;1;7;6;2;5;4;8;12;10;9;18;16;14;11;13;3;ab;ab;15;17
35;0;1;7;6;2;5;4;8;11;10;9;18;16;14;12;13;3;ab;ab;15;17
36;0;1;7;6;2;5;4;8;11;10;9;18;17;14;12;13;3;ab;ab;15;16
37;0;1;7;6;2;4;3;8;11;10;9;18;17;14;12;13;5;ab;ab;15;16
38;0;1;7;6;2;4;3;8;11;10;9;18;17;14;12;13;5;ab;ab;15;16
39;0;1;7;6;2;4;3;8;11;10;9;18;17;14;12;13;5;ab;ab;15;16
40;0;1;7;6;2;5;3;8;11;10;9;18;17;14;12;13;4;ab;ab;15;16
41;0;1;7;6;2;5;3;8;11;10;9;18;17;13;12;14;4;ab;ab;15;16
42;0;1;7;6;2;5;3;8;11;10;9;18;17;12;13;14;4;ab;ab;15;16
43;0;1;7;6;2;5;3;8;11;10;9;18;17;12;13;14;4;ab;ab;15;16
44;0;1;7;6;2;5;3;8;12;10;9;18;17;11;13;14;4;ab;ab;15;16
45;0;1;7;6;2;5;3;8;12;11;9;18;17;10;13;14;4;ab;ab;15;16
46;0;1;7;6;2;5;3;8;12;11;9;18;17;10;13;14;4;ab;ab;15;16
47;0;1;7;6;2;5;3;8;12;11;9;18;17;10;13;14;4;ab;ab;15;16
48;0;1;7;6;2;5;3;8;12;11;9;18;17;10;13;14;4;ab;ab;15;16
49;0;1;7;6;2;5;3;8;12;11;9;18;17;10;13;14;4;ab;ab;15;16
50;0;1;7;6;2;5;3;8;12;11;9;18;16;10;13;14;4;ab;ab;17;15
51;0;1;7;6;2;5;3;8;12;11;9;18;16;10;13;14;4;ab;ab;17;15
52;0;1;7;6;2;5;3;8;12;11;9;18;16;10;13;14;4;ab;ab;17;15
