;sc;HAM;RAI;VER;RIC;BOT;OCO;VAN;HUL;PER;ALO;MAS;PAL;STR;SAI;GAS;GRO;MAG;WEH;ERI;VET
0;0;1;np;2;4;3;7;5;12;6;11;9;14;8;15;16;19;10;17;18;13
1;0;1;np;2;4;3;11;5;13;6;10;8;14;7;15;16;18;9;17;19;12
2;0;1;np;2;4;3;19;5;12;6;10;8;13;7;14;15;16;9;17;18;11
3;0;2;np;1;4;3;19;5;12;6;10;8;13;7;14;15;16;9;17;18;11
4;0;2;np;1;4;3;19;5;12;6;10;8;13;7;14;15;16;9;17;18;11
5;0;2;np;1;4;3;19;5;12;6;10;8;13;7;14;15;16;9;17;18;11
6;0;2;np;1;4;3;19;5;12;6;10;8;13;7;14;15;16;9;17;18;11
7;0;2;np;1;4;3;18;6;12;5;11;8;13;7;14;15;16;9;17;19;10
8;0;2;np;1;3;4;18;6;15;5;11;8;12;7;13;14;16;10;17;19;9
9;0;2;np;1;3;4;17;6;19;5;10;8;11;7;13;14;15;12;16;18;9
10;0;2;np;1;3;4;15;6;19;5;10;9;11;7;12;13;14;18;16;17;8
11;0;2;np;1;3;4;13;6;18;5;9;15;10;8;11;12;19;17;14;16;7
12;0;2;np;1;3;4;11;7;17;5;8;13;10;14;9;18;19;16;12;15;6
13;0;2;np;1;3;4;9;10;15;5;7;13;17;12;8;18;19;14;11;16;6
14;0;2;np;1;3;4;9;10;15;5;7;13;16;11;8;18;19;14;12;17;6
15;0;2;np;1;3;4;9;10;15;5;7;12;16;11;8;18;19;14;13;17;6
16;0;2;np;1;3;4;9;10;15;5;7;12;16;11;8;17;19;14;13;18;6
17;0;2;np;1;3;4;9;10;14;5;7;12;16;11;8;17;19;13;15;18;6
18;0;2;np;1;3;4;9;10;14;5;7;12;15;11;8;17;18;13;16;19;6
19;0;2;np;1;3;4;9;10;14;5;7;12;15;11;8;17;18;13;16;19;6
20;0;2;np;1;3;4;9;10;14;6;7;12;15;11;8;17;18;13;16;19;5
21;0;2;np;1;3;4;9;10;14;6;7;12;15;11;8;17;18;13;16;19;5
22;0;2;np;1;3;4;9;10;14;6;7;12;15;11;8;16;18;13;17;19;5
23;0;2;np;1;3;4;9;10;14;6;7;12;15;11;8;16;18;13;17;19;5
24;0;2;np;1;3;4;12;9;14;6;7;11;15;10;8;16;18;13;17;19;5
25;0;2;np;1;3;4;12;9;14;6;8;11;15;10;7;16;18;13;17;19;5
26;0;3;np;1;2;4;11;8;13;6;15;10;14;9;7;16;18;12;17;19;5
27;0;3;np;2;1;4;11;8;12;5;15;10;14;9;7;16;18;13;17;19;6
28;0;3;np;2;1;6;11;7;12;4;15;10;13;8;9;16;18;14;17;19;5
29;0;2;np;1;3;6;10;7;11;4;14;9;12;8;ab;15;17;13;16;18;5
30;0;2;np;1;3;5;10;7;11;6;14;9;12;8;ab;15;17;13;16;18;4
31;0;2;np;1;3;5;10;7;11;6;13;9;12;8;ab;15;17;14;16;18;4
32;0;2;np;1;3;5;10;7;11;6;13;9;12;8;ab;15;17;14;16;18;4
33;0;2;np;1;3;5;10;7;11;6;13;9;12;8;ab;15;17;14;16;18;4
34;0;2;np;1;3;5;10;7;11;6;13;9;12;8;ab;15;17;14;16;18;4
35;0;2;np;1;3;5;10;7;11;6;13;9;12;8;ab;15;17;14;16;18;4
36;0;2;np;1;3;5;10;7;11;6;12;9;13;8;ab;15;17;14;16;18;4
37;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
38;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
39;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
40;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
41;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
42;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
43;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
44;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
45;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
46;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
47;0;2;np;1;3;5;10;7;11;6;12;9;15;8;ab;14;16;13;17;18;4
48;0;2;np;1;3;5;10;7;11;6;12;9;16;8;ab;14;15;13;17;18;4
49;0;2;np;1;3;5;10;7;14;6;11;9;16;8;ab;13;15;12;17;18;4
50;0;2;np;1;3;5;10;7;16;6;11;9;15;8;ab;13;14;12;17;18;4
51;0;2;np;1;3;5;10;7;16;6;11;9;15;8;ab;13;14;12;17;18;4
52;0;2;np;1;3;5;10;7;16;6;11;9;15;8;ab;13;14;12;17;18;4
53;0;2;np;1;3;5;10;7;16;6;11;9;15;8;ab;14;13;12;17;18;4
54;0;2;np;1;3;5;10;7;16;6;11;9;15;8;ab;14;13;12;17;18;4
55;0;2;np;1;3;5;10;7;16;6;11;9;15;8;ab;ab;13;12;17;18;4
