;sc;HAM;VET;RIC;VER;OCO;BOT;PER;MAS;VAN;RAI;HUL;MAG;GRO;GAS;STR;ERI;WEH;PAL;SAI;ALO
0;0;1;3;5;2;4;6;7;8;18;15;9;10;13;12;11;16;19;14;ab;17
1;1;1;6;4;2;3;5;7;8;18;14;9;10;12;13;11;16;19;15;ab;17
2;1;1;6;4;2;3;5;7;8;18;14;9;10;12;13;11;16;19;15;ab;17
3;0;1;15;4;2;3;5;6;7;17;11;8;9;10;12;18;14;19;13;ab;16
4;0;1;ab;4;2;3;5;6;7;16;9;8;10;11;12;17;14;18;13;ab;15
5;0;1;ab;4;2;3;5;6;7;16;9;8;10;11;12;17;14;18;13;ab;15
6;0;1;ab;4;2;3;5;6;7;16;9;8;10;11;12;17;14;18;13;ab;15
7;0;1;ab;4;2;3;5;6;7;15;8;9;10;11;12;16;ab;17;13;ab;14
8;1;1;ab;4;2;3;5;6;7;15;8;9;10;11;12;16;ab;17;13;ab;14
9;1;1;ab;4;2;3;5;6;7;16;8;9;10;11;12;15;ab;17;13;ab;14
10;0;1;ab;3;2;4;5;6;7;16;8;9;10;11;12;15;ab;17;13;ab;14
11;0;1;ab;3;2;5;4;6;7;16;8;9;10;11;12;15;ab;17;13;ab;14
12;0;1;ab;3;2;5;4;6;7;16;8;9;10;11;12;15;ab;17;13;ab;14
13;0;1;ab;3;2;5;4;6;8;16;7;9;10;11;12;15;ab;17;13;ab;14
14;0;1;ab;3;2;5;4;6;8;16;7;9;10;11;12;15;ab;17;13;ab;14
15;0;1;ab;3;2;5;4;6;8;16;7;9;10;11;12;15;ab;17;13;ab;14
16;0;1;ab;3;2;5;4;6;9;16;7;8;10;11;12;15;ab;17;13;ab;14
17;0;1;ab;3;2;5;4;6;14;16;7;8;9;10;11;15;ab;17;12;ab;13
18;0;1;ab;3;2;5;4;6;14;16;7;8;10;9;11;15;ab;17;12;ab;13
19;0;1;ab;3;2;6;4;7;13;16;5;8;14;9;10;15;ab;17;11;ab;12
20;0;1;ab;3;2;11;4;6;13;16;5;7;14;8;9;15;ab;17;10;ab;12
21;0;1;ab;2;4;10;3;12;13;16;5;6;14;7;8;15;ab;17;9;ab;11
22;0;3;ab;1;4;9;2;10;12;16;5;6;13;7;14;15;ab;17;8;ab;11
23;0;3;ab;1;4;7;2;9;11;16;5;6;12;13;14;15;ab;17;8;ab;10
24;0;3;ab;1;4;7;2;8;10;16;5;6;12;13;14;15;ab;17;9;ab;11
25;0;2;ab;5;3;7;1;8;10;15;4;6;11;12;13;14;ab;17;9;ab;16
26;0;2;ab;5;3;7;1;8;10;15;4;6;11;12;13;14;ab;17;9;ab;16
27;0;1;ab;4;3;7;2;8;10;16;5;6;11;12;13;14;ab;17;9;ab;15
28;0;1;ab;4;3;7;2;8;10;16;6;5;11;12;13;14;ab;17;9;ab;15
29;0;1;ab;4;2;7;3;8;10;16;6;5;11;12;13;14;ab;17;9;ab;15
30;0;1;ab;3;2;7;4;8;10;16;6;5;11;12;13;14;ab;17;9;ab;15
31;0;1;ab;3;2;7;4;8;10;16;6;5;11;12;13;14;ab;17;9;ab;15
32;0;1;ab;3;2;7;4;8;10;16;5;6;11;12;13;14;ab;17;9;ab;15
33;0;1;ab;3;2;7;4;8;10;16;5;6;11;12;13;14;ab;17;9;ab;15
34;0;1;ab;3;2;7;4;8;10;16;5;6;11;12;13;15;ab;17;9;ab;14
35;0;1;ab;3;2;7;4;8;10;16;5;6;11;12;13;15;ab;17;9;ab;14
36;0;1;ab;3;2;7;4;8;10;16;5;6;11;12;13;15;ab;17;9;ab;14
37;0;1;ab;3;2;6;4;7;10;16;5;8;11;12;13;15;ab;17;9;ab;14
38;0;1;ab;3;2;6;4;7;8;16;5;12;10;11;13;15;ab;17;9;ab;14
39;0;1;ab;3;2;6;4;7;8;16;5;11;9;10;14;15;ab;17;13;ab;12
40;0;1;ab;3;2;6;4;7;8;15;5;ab;9;10;13;14;ab;16;12;ab;11
41;0;1;ab;3;2;6;4;7;10;15;5;ab;8;9;13;14;ab;16;12;ab;11
42;0;1;ab;3;2;6;4;7;10;15;5;ab;8;9;13;14;ab;16;12;ab;11
43;0;1;ab;3;2;6;4;7;10;15;5;ab;8;9;13;14;ab;16;12;ab;11
44;0;1;ab;3;2;6;4;7;10;15;5;ab;8;9;13;14;ab;16;12;ab;11
45;0;1;ab;3;2;6;4;7;10;14;5;ab;8;9;13;ab;ab;15;12;ab;11
46;0;1;ab;3;2;6;4;7;10;14;5;ab;8;9;13;ab;ab;15;12;ab;11
47;1;1;ab;3;2;6;4;7;10;14;5;ab;8;9;13;ab;ab;15;12;ab;11
48;1;1;ab;3;2;6;4;7;10;14;5;ab;8;9;13;ab;ab;15;12;ab;11
49;0;1;ab;3;2;6;4;7;10;14;5;ab;8;9;13;ab;ab;15;12;ab;11
50;0;1;ab;3;2;6;4;7;10;14;5;ab;8;9;13;ab;ab;15;12;ab;11
51;0;1;ab;3;2;6;4;7;10;14;5;ab;8;9;13;ab;ab;15;12;ab;11
52;0;1;ab;3;2;6;4;7;10;14;5;ab;8;9;ab;ab;ab;15;12;ab;11
