;sc;HAM;VET;BOT;RIC;RAI;OCO;SAI2;ALO;PER;MAS;KVY;GRO;ERI;WEH;STR;VER;MAG;HUL;HAR;VAN
0;0;2;1;3;4;6;5;8;7;10;9;11;12;14;19;15;13;18;16;20;17
1;0;2;1;3;4;5;6;8;7;10;9;12;13;14;19;15;11;20;16;18;17
2;0;2;1;3;4;5;6;8;7;11;9;12;13;14;19;15;10;20;17;18;16
3;0;2;1;3;4;5;6;8;7;11;10;12;13;16;19;14;9;18;ab;17;15
4;0;2;1;3;4;5;6;8;7;11;10;12;13;16;19;14;9;18;ab;17;15
5;0;1;2;3;4;5;6;9;7;11;10;12;13;16;ab;14;8;18;ab;17;15
6;0;1;2;3;4;5;6;9;8;11;10;12;13;16;ab;14;7;18;ab;17;15
7;0;1;2;3;4;5;6;9;8;11;10;12;13;16;ab;15;7;18;ab;17;14
8;0;1;2;3;4;5;6;9;8;11;10;12;13;16;ab;15;7;17;ab;18;14
9;0;1;2;3;4;5;7;9;8;11;10;12;13;16;ab;15;6;17;ab;18;14
10;0;1;2;3;4;5;7;9;8;11;10;12;13;15;ab;18;6;16;ab;17;14
11;0;1;2;3;4;5;7;9;8;11;10;12;13;15;ab;18;6;16;ab;17;14
12;0;1;2;3;9;4;6;8;7;15;10;11;12;14;ab;18;5;16;ab;17;13
13;0;1;2;3;8;4;6;9;7;15;10;11;12;14;ab;18;5;16;ab;17;13
14;0;1;2;3;ab;4;11;6;12;14;7;8;9;13;ab;16;5;15;ab;17;10
15;0;1;2;3;ab;4;11;6;12;13;7;8;9;14;ab;16;5;15;ab;17;10
16;0;1;5;2;ab;3;10;6;11;12;7;8;15;13;ab;16;4;14;ab;17;9
17;0;1;5;2;ab;3;8;6;10;11;7;13;15;12;ab;16;4;14;ab;17;9
18;0;1;4;5;ab;2;8;6;10;11;7;13;14;12;ab;16;3;15;ab;17;9
19;0;3;4;5;ab;1;7;11;8;9;6;12;14;13;ab;16;2;15;ab;17;10
20;0;2;3;4;ab;5;7;11;8;9;6;12;14;13;ab;16;1;15;ab;17;10
21;0;2;3;4;ab;5;7;11;8;9;6;12;13;17;ab;15;1;14;ab;16;10
22;0;1;3;4;ab;5;7;10;8;9;6;12;13;17;ab;15;2;14;ab;16;11
23;0;1;3;4;ab;5;7;9;14;8;6;10;12;17;ab;15;2;13;ab;16;11
24;0;1;2;3;ab;4;7;9;ab;8;6;10;12;16;ab;14;5;13;ab;15;11
25;0;1;2;3;ab;4;7;9;ab;8;6;10;11;16;ab;13;5;12;ab;14;15
26;0;1;2;3;ab;4;7;9;ab;8;6;10;11;16;ab;13;5;12;ab;14;15
27;0;1;2;3;ab;4;7;9;ab;8;6;10;11;16;ab;13;5;12;ab;15;14
28;0;1;2;3;ab;4;7;9;ab;8;6;10;11;16;ab;14;5;12;ab;15;13
29;0;1;2;3;ab;4;6;8;ab;7;12;9;10;16;ab;14;5;11;ab;15;13
30;0;1;2;3;ab;4;6;8;ab;7;12;9;10;16;ab;14;5;11;ab;15;13
31;0;1;2;3;ab;4;6;8;ab;7;11;9;10;16;ab;14;5;12;ab;15;13
32;0;1;2;3;ab;4;6;7;ab;8;11;9;10;16;ab;14;5;12;ab;15;13
33;0;1;2;3;ab;4;6;7;ab;8;11;9;10;16;ab;14;5;12;ab;15;13
34;0;1;2;3;ab;4;6;7;ab;8;11;9;10;16;ab;14;5;13;ab;15;12
35;0;1;2;3;ab;4;6;7;ab;8;11;9;10;15;ab;14;5;13;ab;16;12
36;0;1;2;3;ab;4;6;7;ab;8;11;9;10;14;ab;15;5;13;ab;16;12
37;0;1;2;3;ab;4;6;7;ab;8;11;9;10;14;ab;15;5;13;ab;16;12
38;0;1;4;2;ab;3;6;7;ab;8;10;9;11;14;ab;15;5;13;ab;16;12
39;0;1;4;2;ab;3;6;7;ab;8;10;9;11;14;ab;15;5;13;ab;16;12
40;0;1;4;2;ab;3;6;7;ab;8;10;9;11;14;ab;15;5;13;ab;16;12
41;0;1;4;3;ab;2;6;7;ab;8;10;9;11;14;ab;15;5;13;ab;16;12
42;0;1;4;3;ab;2;6;7;ab;8;10;9;11;14;ab;15;5;13;ab;16;12
43;0;1;4;3;ab;2;6;7;ab;8;10;9;11;14;ab;15;5;13;ab;16;12
44;0;1;4;3;ab;2;6;7;ab;8;10;9;11;14;ab;15;5;13;ab;16;12
45;0;1;4;3;ab;2;6;7;ab;8;10;9;11;13;ab;14;5;16;ab;15;12
46;0;1;4;3;ab;2;6;7;ab;8;10;9;11;14;ab;13;5;16;ab;15;12
47;0;1;4;3;ab;2;6;7;ab;8;10;9;11;14;ab;13;5;16;ab;15;12
48;0;1;4;3;ab;2;6;7;ab;8;10;9;11;15;ab;13;5;16;ab;14;12
49;0;1;4;3;ab;2;6;7;ab;8;10;9;11;15;ab;13;5;16;ab;14;12
50;0;1;3;4;ab;2;6;7;ab;8;10;9;11;15;ab;13;5;16;ab;14;12
51;0;1;2;5;ab;3;6;7;ab;8;9;10;11;15;ab;13;4;16;ab;14;12
52;0;1;2;5;ab;3;6;7;ab;8;9;10;11;15;ab;13;4;16;ab;14;12
53;0;1;2;5;ab;3;6;7;ab;8;9;10;14;15;ab;12;4;16;ab;13;11
54;0;1;2;5;ab;3;6;7;ab;8;9;10;14;15;ab;11;4;16;ab;13;12
55;0;1;2;5;ab;4;6;7;ab;8;9;10;14;15;ab;11;3;16;ab;ab;12
