;sc;VET;VER;HAM;BOT;RAI;OCO;HUL;SAI2;PER;MAS;STR;ERI;WEH;MAG;GRO;RIC;HAR;ALO;VAN;GAS
0;0;8;1;20;2;9;3;4;5;6;7;10;14;17;12;15;11;18;16;13;19
1;0;19;1;20;2;7;3;4;18;5;6;8;11;15;10;13;9;16;14;12;17
2;0;18;1;20;2;6;3;4;19;5;9;8;11;15;10;13;7;16;14;12;17
3;0;18;1;20;2;6;3;4;19;5;17;8;10;15;9;12;7;14;13;11;16
4;0;17;1;20;2;6;3;4;19;5;15;7;9;18;8;11;16;13;12;10;14
5;0;16;1;19;2;6;3;4;18;5;15;7;9;17;8;11;ab;13;12;10;14
6;0;16;1;19;2;6;3;4;18;5;15;7;9;17;8;11;ab;13;12;10;14
7;0;16;1;19;2;6;3;4;18;5;15;7;9;17;8;11;ab;13;12;10;14
8;0;16;1;19;2;6;3;4;18;5;15;7;9;17;8;13;ab;12;11;10;14
9;0;16;1;19;2;6;3;4;18;5;15;7;9;17;8;13;ab;12;11;10;14
10;0;16;1;19;2;6;3;4;18;5;15;7;9;17;8;13;ab;12;11;10;14
11;0;15;1;19;2;6;3;4;18;5;16;7;9;17;8;13;ab;12;11;10;14
12;0;15;1;19;2;6;3;4;18;5;16;7;9;17;8;13;ab;12;11;10;14
13;0;15;1;19;2;6;3;4;18;5;16;7;9;17;8;13;ab;12;11;10;14
14;0;15;1;19;2;6;3;4;18;5;16;7;9;17;8;13;ab;12;11;10;14
15;0;14;1;19;2;6;3;4;18;5;16;7;9;17;8;13;ab;12;11;10;15
16;0;14;1;19;2;6;3;4;18;5;16;7;9;17;8;13;ab;12;11;10;15
17;0;13;1;19;2;5;3;4;18;6;16;7;9;17;8;14;ab;12;10;11;15
18;0;13;1;19;2;5;3;4;18;8;16;6;9;17;7;14;ab;12;10;11;15
19;0;13;1;19;2;4;3;7;18;8;16;5;9;17;6;14;ab;12;10;11;15
20;0;12;1;19;2;3;5;7;18;8;16;4;9;17;6;14;ab;13;10;11;15
21;0;12;1;19;2;3;5;7;18;8;16;4;9;17;6;14;ab;13;10;11;15
22;0;11;1;19;2;3;5;7;18;8;16;4;9;17;6;14;ab;13;10;12;15
23;0;11;1;19;2;3;5;8;18;7;16;4;9;17;6;14;ab;13;10;12;15
24;0;10;1;18;2;3;5;ab;17;7;15;4;8;16;6;13;ab;12;9;11;14
25;0;10;1;18;2;3;5;ab;17;7;15;4;8;16;6;13;ab;12;9;11;14
26;0;10;1;17;2;3;5;ab;18;7;15;4;8;16;6;13;ab;12;9;11;14
27;0;9;1;17;2;3;5;ab;18;7;15;4;11;16;6;13;ab;12;8;10;14
28;0;9;1;16;2;3;5;ab;18;7;14;4;15;17;6;12;ab;11;8;10;13
29;0;8;1;16;2;3;5;ab;18;6;14;4;15;17;7;12;ab;11;9;10;13
30;0;8;1;15;2;3;5;ab;17;6;11;4;14;16;7;13;ab;ab;9;10;12
31;1;7;1;16;2;3;5;ab;17;6;10;4;12;14;9;15;ab;ab;8;11;13
32;1;8;1;16;2;3;4;ab;17;6;10;5;12;14;7;15;ab;ab;9;11;13
33;0;8;1;16;2;3;4;ab;17;6;10;5;12;14;7;15;ab;ab;9;11;13
34;0;8;1;15;2;3;4;ab;17;6;10;5;12;14;7;16;ab;ab;9;11;13
35;0;8;1;15;2;3;4;ab;17;6;10;5;12;14;7;16;ab;ab;9;11;13
36;0;7;1;14;2;3;4;ab;17;6;10;5;12;15;8;16;ab;ab;9;11;13
37;0;7;1;14;2;3;4;ab;17;6;10;5;12;15;8;16;ab;ab;9;11;13
38;0;7;1;14;2;3;4;ab;17;6;10;5;12;15;8;16;ab;ab;9;11;13
39;0;7;1;14;2;3;4;ab;17;6;10;5;12;15;8;16;ab;ab;9;11;13
40;0;7;1;14;2;3;4;ab;17;6;10;5;12;15;8;16;ab;ab;9;11;13
41;0;7;1;13;2;3;4;ab;17;6;10;5;12;15;8;16;ab;ab;9;11;14
