;sc;BOT;VET;RAI;VER;PER;ALO;HUL;SAI2;MAS;OCO;GRO;VAN;MAG;RIC;WEH;ERI;STR;HAR;GAS;HAM
0;1;2;1;3;4;7;5;8;9;6;ab;15;ab;ab;17;14;11;13;12;10;16
1;1;2;1;3;4;7;5;8;9;6;ab;16;ab;ab;17;15;11;13;12;10;14
2;1;2;1;3;4;7;5;8;9;6;ab;16;ab;ab;17;15;11;13;12;10;14
3;1;2;1;3;4;7;5;8;9;6;ab;16;ab;ab;17;15;11;13;12;10;14
4;1;2;1;3;4;7;6;8;9;5;ab;16;ab;ab;17;15;11;13;12;10;14
5;0;2;1;3;4;7;6;8;9;5;ab;16;ab;ab;17;15;11;12;14;10;13
6;0;2;1;3;4;7;6;8;9;5;ab;17;ab;ab;15;16;12;13;14;10;11
7;0;2;1;3;4;7;6;8;9;5;ab;17;ab;ab;15;16;12;13;14;11;10
8;0;2;1;3;4;7;6;8;10;5;ab;17;ab;ab;14;16;12;13;15;11;9
9;0;2;1;3;4;7;6;8;10;5;ab;17;ab;ab;14;16;12;13;15;11;9
10;0;2;1;3;4;7;6;9;10;5;ab;17;ab;ab;12;16;13;14;15;11;8
11;0;2;1;3;4;7;6;9;10;5;ab;17;ab;ab;12;16;13;14;15;11;8
12;0;2;1;3;4;7;6;9;10;5;ab;17;ab;ab;11;16;13;14;15;12;8
13;0;2;1;3;4;8;6;9;11;5;ab;17;ab;ab;10;16;14;13;15;12;7
14;0;2;1;3;4;8;6;9;11;5;ab;17;ab;ab;10;16;15;13;14;12;7
15;0;2;1;3;4;8;6;9;11;5;ab;17;ab;ab;10;16;15;13;14;12;7
16;0;2;1;3;4;8;6;9;11;5;ab;17;ab;ab;10;16;15;13;14;12;7
17;0;2;1;3;4;8;6;9;11;5;ab;17;ab;ab;10;16;15;13;14;12;7
18;0;2;1;3;4;8;6;10;11;5;ab;17;ab;ab;9;16;15;13;14;12;7
19;0;2;1;3;4;8;7;10;11;5;ab;17;ab;ab;9;16;15;13;14;12;6
20;0;2;1;3;4;8;7;10;11;6;ab;17;ab;ab;9;15;16;13;14;12;5
21;0;2;1;3;4;8;7;10;11;6;ab;17;ab;ab;9;15;16;13;14;12;5
22;0;2;1;3;4;8;7;10;11;6;ab;17;ab;ab;9;15;16;13;14;12;5
23;0;2;1;3;4;8;7;10;11;6;ab;17;ab;ab;9;15;16;13;14;12;5
24;0;2;1;3;4;8;7;10;11;6;ab;17;ab;ab;9;15;16;13;14;12;5
25;0;2;1;3;4;8;7;10;11;6;ab;17;ab;ab;9;15;16;13;14;12;5
26;0;3;1;2;4;7;6;10;11;9;ab;17;ab;ab;8;14;16;13;15;12;5
27;0;5;1;2;4;6;8;9;10;11;ab;16;ab;ab;7;14;15;13;17;12;3
28;0;4;3;1;7;6;11;8;9;10;ab;15;ab;ab;5;13;14;16;17;12;2
29;0;3;2;4;6;7;11;8;9;10;ab;15;ab;ab;5;13;14;16;17;12;1
30;0;3;2;4;6;7;9;13;10;8;ab;15;ab;ab;5;12;14;16;17;11;1
31;0;3;2;4;6;7;9;12;14;8;ab;15;ab;ab;5;11;13;16;17;10;1
32;0;3;2;4;5;7;9;11;13;8;ab;15;ab;ab;6;12;14;16;17;10;1
33;0;3;2;4;5;7;9;11;13;8;ab;15;ab;ab;6;12;14;16;17;10;1
34;0;3;2;4;5;7;9;11;13;8;ab;15;ab;ab;6;12;14;16;17;10;1
35;0;3;2;4;5;9;8;11;13;7;ab;15;ab;ab;6;12;14;16;17;10;1
36;0;3;2;4;5;9;8;11;12;7;ab;15;ab;ab;6;13;14;16;17;10;1
37;0;3;2;4;5;9;8;11;12;7;ab;15;ab;ab;6;13;14;16;17;10;1
38;0;3;2;4;5;9;8;10;12;7;ab;15;ab;ab;6;13;14;16;17;11;1
39;0;3;2;4;5;9;8;10;12;7;ab;15;ab;ab;6;13;14;16;17;11;1
40;0;3;2;4;5;9;8;10;12;7;ab;15;ab;ab;6;13;14;16;ab;11;1
41;0;3;2;4;5;9;8;10;11;7;ab;15;ab;ab;6;13;14;16;ab;12;1
42;0;3;1;4;5;9;8;10;11;7;ab;15;ab;ab;6;13;14;16;ab;12;2
43;0;2;1;3;4;9;7;10;11;6;ab;15;ab;ab;8;12;14;16;ab;13;5
44;0;2;1;3;4;9;8;10;11;6;ab;14;ab;ab;7;12;16;13;ab;15;5
45;0;2;1;3;4;9;8;10;11;6;ab;15;ab;ab;7;12;16;13;ab;14;5
46;0;2;1;3;4;9;8;10;11;7;ab;15;ab;ab;6;12;16;14;ab;13;5
47;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
48;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
49;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
50;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
51;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
52;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
53;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
54;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
55;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
56;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;12;15;14;ab;13;5
57;0;2;1;3;4;9;8;10;11;7;ab;16;ab;ab;6;13;15;14;ab;12;5
58;0;2;1;3;5;9;8;10;11;7;ab;16;ab;ab;6;13;15;14;ab;12;4
59;0;2;1;3;5;9;8;10;11;7;ab;16;ab;ab;6;13;15;14;ab;12;4
60;0;2;1;3;5;9;8;10;11;7;ab;16;ab;ab;6;13;15;14;ab;12;4
61;0;2;1;3;5;9;8;10;11;7;ab;16;ab;ab;6;13;15;14;ab;12;4
62;0;2;1;3;5;9;8;10;11;7;ab;16;ab;ab;6;13;15;14;ab;12;4
