;sc;HAM;VET;BOT;RAI;RIC;MAS;HUL;PER;KVY;STR;SAI;MAG;ALO;ERI;VAN;VER;OCO;GIO;GRO;PAL
0;0;1;2;3;5;4;9;11;10;6;ab;18;12;8;13;16;7;14;17;15;19
1;1;1;2;3;5;4;9;19;10;7;ab;14;11;8;12;17;6;13;16;15;18
2;1;1;6;2;4;3;11;18;12;10;ab;7;13;9;16;15;5;8;17;19;14
3;1;1;6;2;4;3;11;16;12;10;ab;7;13;9;17;15;5;8;ab;18;14
4;1;1;6;5;3;2;10;16;11;9;ab;7;12;8;17;15;4;13;ab;18;14
5;1;1;6;5;3;2;10;16;11;9;ab;8;12;7;17;15;4;13;ab;18;14
6;1;1;5;12;3;2;9;16;10;8;ab;7;11;6;17;15;4;13;ab;18;14
7;0;1;5;11;4;2;12;16;8;10;ab;6;9;7;18;15;3;13;ab;17;14
8;0;1;5;11;4;2;13;15;8;10;ab;6;9;7;18;14;3;12;ab;17;16
9;0;1;5;10;4;2;13;14;8;11;ab;6;9;7;18;15;3;12;ab;17;16
10;0;1;5;10;4;3;14;13;8;11;ab;6;9;7;18;15;2;12;ab;17;16
11;0;1;5;10;4;3;14;13;8;11;ab;6;9;7;18;15;2;12;ab;17;16
12;0;1;5;10;4;3;14;13;8;11;ab;6;9;7;18;15;2;12;ab;17;16
13;0;1;5;10;4;3;14;13;8;11;ab;6;9;7;18;15;2;12;ab;17;16
14;0;1;5;10;4;3;14;13;8;11;ab;6;9;7;18;15;2;12;ab;17;16
15;0;1;5;10;4;3;14;13;8;11;ab;6;9;7;18;17;2;12;ab;16;15
16;0;1;5;10;4;3;14;13;8;11;ab;6;9;7;17;18;2;12;ab;16;15
17;0;1;5;9;4;3;14;13;8;11;ab;6;10;7;17;ab;2;12;ab;16;15
18;0;1;5;9;4;3;13;12;8;ab;ab;6;10;7;16;ab;2;11;ab;15;14
19;0;1;4;9;5;3;13;12;8;ab;ab;6;10;7;16;ab;2;11;ab;15;14
20;0;1;4;8;5;3;13;12;11;ab;ab;6;9;7;16;ab;2;10;ab;15;14
21;0;1;3;8;5;4;13;12;10;ab;ab;6;9;7;16;ab;2;11;ab;15;14
22;0;1;3;8;5;4;13;12;10;ab;ab;6;9;7;16;ab;2;11;ab;15;14
23;0;1;3;8;5;4;13;12;10;ab;ab;6;9;7;16;ab;2;11;ab;15;14
24;0;1;3;7;5;4;15;12;10;ab;ab;6;9;8;16;ab;2;11;ab;14;13
25;0;1;3;7;5;4;15;12;10;ab;ab;6;9;8;16;ab;2;11;ab;14;13
26;0;1;3;7;5;4;15;12;10;ab;ab;6;9;8;16;ab;2;11;ab;13;14
27;0;1;2;7;5;4;15;12;10;ab;ab;6;9;8;16;ab;3;11;ab;13;14
28;0;1;2;6;4;3;15;12;10;ab;ab;8;9;7;16;ab;5;11;ab;13;14
29;0;1;2;5;4;3;14;12;10;ab;ab;8;9;7;16;ab;6;11;ab;13;15
30;0;1;2;5;4;3;14;12;10;ab;ab;8;9;7;15;ab;6;11;ab;13;16
31;0;1;2;5;4;3;14;12;9;ab;ab;8;10;7;15;ab;6;11;ab;13;16
32;0;1;2;6;3;4;14;12;9;ab;ab;7;11;8;16;ab;5;10;ab;13;15
33;0;1;2;5;3;6;12;13;8;ab;ab;7;10;ab;15;ab;4;9;ab;11;14
34;0;1;3;6;2;5;11;13;8;ab;ab;7;10;ab;15;ab;4;9;ab;12;14
35;0;1;3;7;2;5;11;12;8;ab;ab;6;10;ab;15;ab;4;9;ab;13;14
36;0;1;3;7;2;5;11;12;8;ab;ab;6;10;ab;15;ab;4;9;ab;13;14
37;0;1;3;7;2;5;11;13;8;ab;ab;6;10;ab;15;ab;4;9;ab;12;14
38;0;1;2;7;3;5;11;13;8;ab;ab;6;9;ab;15;ab;4;10;ab;12;14
39;0;1;2;7;6;4;11;13;8;ab;ab;5;9;ab;15;ab;3;10;ab;12;14
40;0;1;2;7;5;4;11;13;8;ab;ab;6;9;ab;15;ab;3;10;ab;12;14
41;0;1;2;7;5;4;11;13;8;ab;ab;6;9;ab;15;ab;3;10;ab;12;14
42;0;1;2;7;5;4;10;13;8;ab;ab;6;9;ab;15;ab;3;11;ab;12;14
43;0;1;2;6;5;4;10;13;8;ab;ab;7;9;ab;15;ab;3;11;ab;12;14
44;0;1;2;6;5;4;11;13;8;ab;ab;7;9;ab;15;ab;3;10;ab;12;14
45;0;1;2;6;5;4;11;13;8;ab;ab;7;9;ab;15;ab;3;10;ab;12;14
46;0;1;2;6;5;4;11;13;8;ab;ab;7;9;ab;15;ab;3;10;ab;12;14
47;0;1;2;6;5;4;13;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;14
48;0;1;2;6;5;4;14;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;13
49;0;1;2;6;5;4;14;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;13
50;0;1;2;6;5;4;14;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;13
51;0;1;2;6;5;4;14;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;13
52;0;1;2;6;5;4;14;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;13
53;0;1;2;6;5;4;14;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;13
54;0;1;2;6;5;4;14;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;13
55;0;1;2;6;5;4;14;12;9;ab;ab;7;8;ab;15;ab;3;10;ab;11;13
