;sc;BOT;HAM;VET;RIC;RAI;VER;HUL;MAS;GRO;PAL;KVY;STR;WEH;OCO;ALO;SAI;VAN;PER;ERI;MAG
0;0;1;3;2;5;7;4;8;6;9;12;18;14;17;10;15;11;np;13;19;16
1;0;1;3;2;5;7;4;8;6;9;12;18;14;17;10;15;11;np;13;19;16
2;0;1;3;2;5;7;4;8;6;9;12;18;14;17;10;15;11;np;13;19;16
3;0;1;3;2;5;7;4;8;6;9;12;18;14;17;10;15;11;np;13;19;16
4;0;1;3;2;5;7;4;8;6;9;13;18;14;17;10;15;11;np;12;19;16
5;0;1;3;2;5;7;4;8;6;9;13;18;14;17;10;15;11;np;12;19;16
6;0;1;3;2;5;7;4;8;6;9;13;18;14;17;10;15;11;np;12;19;16
7;0;1;3;2;5;6;4;8;7;9;13;18;17;16;10;14;11;np;12;19;15
8;0;1;3;2;5;6;4;8;7;9;13;16;18;15;10;14;11;np;12;17;ab
9;0;1;2;5;4;6;3;8;7;9;13;16;18;15;10;14;11;np;12;17;ab
10;0;1;2;11;3;5;4;7;6;8;13;15;18;17;12;14;9;np;10;16;ab
11;0;1;2;7;3;4;ab;6;5;8;11;13;16;17;15;12;10;np;9;14;ab
12;1;1;2;5;3;8;ab;6;4;13;9;11;ab;15;14;10;ab;np;7;12;ab
13;1;2;4;1;3;6;ab;7;5;10;13;14;ab;15;11;12;ab;np;9;8;ab
14;1;2;4;1;3;6;ab;7;5;10;13;14;ab;15;11;12;ab;np;9;8;ab
15;1;2;4;1;3;6;ab;7;5;10;13;14;ab;15;11;12;ab;np;9;8;ab
16;0;2;3;1;6;5;ab;8;4;9;13;14;ab;15;10;12;ab;np;7;11;ab
17;0;2;3;1;6;5;ab;8;4;9;13;14;ab;15;10;12;ab;np;7;11;ab
18;0;2;3;1;6;5;ab;8;4;9;13;14;ab;15;10;11;ab;np;7;12;ab
19;0;2;3;1;6;5;ab;8;4;9;12;13;ab;15;10;11;ab;np;7;14;ab
20;0;2;3;1;6;5;ab;8;4;9;12;13;ab;15;10;11;ab;np;7;14;ab
21;0;2;3;1;6;5;ab;8;4;9;12;13;ab;14;10;11;ab;np;7;15;ab
22;0;2;3;1;6;5;ab;8;4;9;12;13;ab;14;10;11;ab;np;7;15;ab
23;0;2;3;1;6;4;ab;8;5;9;11;12;ab;14;10;13;ab;np;7;15;ab
24;0;2;3;1;6;4;ab;8;5;9;11;12;ab;14;10;13;ab;np;7;15;ab
25;0;2;3;1;6;4;ab;8;5;9;11;12;ab;14;10;13;ab;np;7;15;ab
26;0;3;2;1;6;4;ab;8;5;9;11;12;ab;14;10;13;ab;np;7;15;ab
27;0;3;2;1;6;4;ab;8;5;9;11;12;ab;14;10;13;ab;np;7;15;ab
28;0;3;2;1;5;4;ab;8;6;9;11;12;ab;14;10;13;ab;np;7;15;ab
29;0;3;2;1;5;4;ab;8;6;9;13;11;ab;14;10;12;ab;np;7;15;ab
30;0;7;2;1;4;3;ab;8;5;10;13;11;ab;14;9;12;ab;np;6;15;ab
31;0;6;2;1;4;3;ab;8;5;14;12;10;ab;13;9;11;ab;np;7;15;ab
32;0;6;2;1;4;3;ab;8;5;14;12;10;ab;13;9;11;ab;np;7;15;ab
33;0;5;1;3;4;2;ab;8;6;13;12;10;ab;14;9;11;ab;np;7;15;ab
34;0;5;1;3;4;2;ab;8;6;12;13;10;ab;14;9;11;ab;np;7;15;ab
35;0;5;1;2;4;3;ab;9;6;11;12;10;ab;14;8;13;ab;np;7;15;ab
36;0;4;1;2;5;3;ab;13;6;10;12;9;ab;11;7;14;ab;np;8;15;ab
37;0;3;1;2;4;5;ab;11;6;8;15;9;ab;10;12;13;ab;np;7;14;ab
38;0;3;1;2;4;5;ab;11;6;8;15;9;ab;10;12;13;ab;np;7;14;ab
39;0;3;1;2;5;4;ab;10;6;8;15;9;ab;12;11;13;ab;np;7;14;ab
40;0;3;1;2;5;4;ab;10;6;8;15;9;ab;12;11;13;ab;np;7;14;ab
41;0;2;3;1;5;4;ab;9;6;8;15;14;ab;11;10;12;ab;np;7;13;ab
42;0;2;3;1;5;4;ab;9;6;8;15;14;ab;11;10;12;ab;np;7;13;ab
43;0;2;3;1;5;4;ab;9;6;8;15;13;ab;11;10;12;ab;np;7;14;ab
44;0;2;3;1;5;4;ab;9;6;8;15;13;ab;11;10;12;ab;np;7;14;ab
45;0;2;3;1;5;4;ab;9;6;8;15;13;ab;11;10;12;ab;np;7;14;ab
46;0;3;2;1;5;4;ab;9;6;8;15;13;ab;11;10;12;ab;np;7;14;ab
47;0;3;2;1;5;4;ab;9;6;8;15;13;ab;11;10;12;ab;np;7;14;ab
48;0;3;2;1;5;4;ab;9;6;8;15;13;ab;11;10;12;ab;np;7;14;ab
49;0;3;2;1;5;4;ab;9;6;8;15;13;ab;11;10;12;ab;np;7;14;ab
50;0;3;2;1;5;4;ab;9;6;8;14;13;ab;11;10;12;ab;np;7;ab;ab
51;0;3;2;1;5;4;ab;9;6;8;14;13;ab;11;10;12;ab;np;7;ab;ab
52;0;3;2;1;5;4;ab;9;6;8;14;13;ab;11;10;12;ab;np;7;ab;ab
53;0;3;2;1;5;4;ab;9;6;8;13;12;ab;11;10;14;ab;np;7;ab;ab
54;0;3;2;1;5;4;ab;9;6;8;13;12;ab;11;10;14;ab;np;7;ab;ab
55;0;3;2;1;5;4;ab;9;6;8;13;12;ab;11;10;14;ab;np;7;ab;ab
56;0;3;2;1;5;4;ab;9;6;8;13;12;ab;11;10;14;ab;np;7;ab;ab
