;sc;RAI;VET;BOT;VER;RIC;SAI;PER;GRO;KVY;HUL;MAG;VAN;HAM;MAS;OCO;PAL;STR;WEH;ERI;BUT
0;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
1;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
2;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
3;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
4;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
5;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
6;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
7;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
8;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
9;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
10;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
11;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
12;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
13;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
14;0;1;2;3;4;5;6;7;8;11;10;9;13;12;14;15;16;17;19;18;20
15;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
16;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
17;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
18;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
19;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
20;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
21;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
22;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
23;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
24;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
25;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
26;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
27;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
28;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
29;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
30;0;1;2;3;4;5;6;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
31;0;1;2;3;6;4;5;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
32;0;1;2;5;6;3;4;16;7;9;ab;8;11;10;12;13;14;15;18;17;19
33;0;3;1;5;6;2;4;15;7;9;ab;8;11;10;12;13;14;16;18;17;19
34;0;3;1;5;6;2;4;15;7;9;ab;8;11;10;12;13;14;16;18;17;19
35;0;3;1;5;6;2;4;14;7;12;ab;8;10;9;11;16;13;15;18;17;19
36;0;3;1;4;5;2;9;14;6;12;ab;10;8;7;11;16;13;15;18;17;19
37;0;2;1;4;5;3;9;13;6;11;ab;10;8;7;16;15;12;14;18;17;19
38;0;2;1;4;5;3;9;13;6;11;ab;10;8;7;15;16;12;14;18;17;19
39;0;2;1;4;5;3;8;13;9;11;ab;10;7;6;15;17;12;14;18;16;19
40;0;2;1;4;5;3;8;13;9;11;ab;10;7;6;14;17;12;15;18;16;19
41;0;2;1;4;5;3;8;11;9;10;ab;13;7;6;12;17;14;15;18;16;19
42;0;2;1;4;5;3;7;11;8;9;ab;13;10;6;12;17;14;15;18;16;19
43;0;2;1;4;5;3;7;11;8;9;ab;13;10;6;12;17;14;15;18;16;19
44;0;2;1;4;5;3;7;11;8;9;ab;13;10;6;12;17;14;15;18;16;19
45;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
46;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
47;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
48;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
49;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
50;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
51;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
52;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
53;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
54;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
55;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
56;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;18;16;19
57;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;ab;16;ab
58;0;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;ab;16;ab
59;1;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;ab;16;ab
60;1;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;ab;16;ab
61;1;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;ab;16;ab
62;1;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;17;14;15;ab;16;ab
63;1;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;16;14;15;ab;ab;ab
64;1;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;16;14;15;ab;ab;ab
65;1;2;1;4;5;3;6;11;8;9;ab;13;10;7;12;15;14;16;ab;ab;ab
66;0;2;1;4;5;3;6;9;8;10;ab;12;ab;7;11;14;13;15;ab;ab;ab
67;0;2;1;4;5;3;6;10;8;9;ab;12;ab;7;11;14;13;15;ab;ab;ab
68;0;2;1;4;5;3;6;10;8;9;ab;12;ab;7;11;14;13;15;ab;ab;ab
69;0;2;1;4;5;3;6;10;8;9;ab;12;ab;7;11;14;13;15;ab;ab;ab
70;0;2;1;4;5;3;6;10;8;9;ab;12;ab;7;11;14;13;15;ab;ab;ab
71;0;2;1;4;5;3;6;13;8;14;ab;10;ab;7;9;12;11;15;ab;ab;ab
72;0;2;1;4;5;3;6;13;8;14;ab;10;ab;7;9;12;11;15;ab;ab;ab
73;0;2;1;4;5;3;6;13;8;14;ab;10;ab;7;9;12;11;15;ab;ab;ab
74;0;2;1;4;5;3;6;13;8;14;ab;10;ab;7;9;12;11;15;ab;ab;ab
75;0;2;1;4;5;3;6;13;8;14;ab;10;ab;7;9;12;11;15;ab;ab;ab
76;0;2;1;4;5;3;6;13;8;14;ab;10;ab;7;9;12;11;15;ab;ab;ab
77;0;2;1;4;5;3;6;13;8;14;ab;10;ab;7;9;12;11;15;ab;ab;ab
