;sc;BOT;VET;RAI;RIC;VER;GRO;PER;HAM;OCO;SAI;HUL;ALO;VAN;KVY;MAG;PAL;MAS;STR;ERI;WEH
0;0;1;2;5;3;ab;4;6;7;8;9;15;19;14;18;13;12;10;11;16;17
1;0;1;2;5;3;ab;4;6;7;8;9;15;ab;14;18;12;13;10;11;16;17
2;0;1;2;4;3;ab;5;6;7;8;10;15;ab;14;18;12;13;9;11;16;17
3;0;1;2;4;3;ab;5;6;7;8;10;15;ab;14;18;12;13;9;11;16;17
4;0;1;2;4;3;ab;5;6;7;8;11;15;ab;14;18;12;13;9;10;17;16
5;0;1;2;4;3;ab;5;7;6;8;13;15;ab;14;18;11;12;9;10;17;16
6;0;1;2;4;3;ab;5;7;6;8;14;15;ab;13;18;11;12;9;10;17;16
7;0;1;2;4;3;ab;6;7;5;8;15;14;ab;13;18;11;12;9;10;17;16
8;0;1;2;4;3;ab;6;7;5;8;15;14;ab;13;18;11;12;9;10;17;16
9;0;1;2;4;3;ab;6;7;5;8;15;14;ab;13;18;11;12;9;10;17;16
10;0;1;2;4;3;ab;6;7;5;8;15;14;ab;13;18;11;12;9;10;17;16
11;0;1;2;4;3;ab;6;7;5;8;15;14;ab;13;18;11;12;9;10;17;16
12;0;1;2;4;3;ab;6;7;5;8;15;14;ab;13;18;11;12;9;10;17;16
13;0;1;2;4;3;ab;6;7;5;8;14;16;ab;13;18;11;12;9;10;17;15
14;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
15;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
16;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
17;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
18;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
19;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
20;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
21;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
22;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
23;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
24;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
25;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
26;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
27;0;1;2;4;3;ab;6;7;5;8;14;17;ab;13;18;11;12;9;10;16;15
28;0;1;2;4;3;ab;6;7;5;8;13;17;ab;12;18;16;11;9;10;15;14
29;0;1;2;4;3;ab;6;7;5;8;13;16;ab;12;17;ab;11;9;10;15;14
30;0;1;2;4;3;ab;6;7;5;8;12;16;ab;13;17;ab;11;9;10;15;14
31;0;1;2;4;3;ab;6;7;5;8;12;16;ab;15;17;ab;11;9;10;14;13
32;0;1;2;4;3;ab;6;7;5;8;12;16;ab;14;17;ab;11;9;10;15;13
33;0;1;2;3;4;ab;6;7;5;8;11;16;ab;14;17;ab;12;9;10;15;13
34;0;1;3;2;4;ab;6;8;5;7;11;15;ab;14;17;ab;12;9;10;16;13
35;0;1;3;2;4;ab;6;9;5;7;10;14;ab;13;17;ab;12;8;11;16;15
36;0;1;3;2;4;ab;8;9;5;6;10;14;ab;13;17;ab;12;7;11;16;15
37;0;1;3;2;4;ab;8;9;5;6;10;14;ab;13;17;ab;12;7;11;16;15
38;0;1;3;2;4;ab;8;9;5;6;10;14;ab;13;17;ab;12;7;11;16;15
