;sc;HAM;RAI;VET;VER;MAG;GRO;HUL;RIC;SAI;ALO;VAN;PER;STR;OCO;BOT;HAR;ERI;LEC;SIR;GAS
0;0;1;2;3;5;4;6;7;8;9;10;11;12;14;13;15;20;16;18;19;17
1;0;1;2;3;5;4;6;7;8;9;10;11;12;14;13;15;20;16;18;19;17
2;0;1;2;3;5;4;6;7;8;9;10;11;12;14;13;15;20;16;18;19;17
3;0;1;2;3;5;4;6;7;8;9;10;11;12;15;13;14;20;16;18;19;17
4;0;1;2;3;5;4;6;8;7;9;10;11;12;15;13;14;19;16;18;ab;17
5;0;1;2;3;5;4;6;8;7;9;10;11;12;15;13;14;18;ab;17;ab;16
6;0;1;2;3;5;4;6;8;7;9;10;11;12;15;13;14;18;ab;17;ab;16
7;0;1;2;3;5;4;6;8;7;9;10;11;12;15;13;14;18;ab;17;ab;16
8;0;1;2;3;5;4;6;8;7;9;10;11;12;15;14;13;18;ab;17;ab;16
9;0;1;2;3;8;4;5;7;6;9;10;11;12;15;14;13;18;ab;17;ab;16
10;0;1;2;3;8;4;5;7;6;9;10;11;12;15;14;13;18;ab;17;ab;16
11;0;1;2;3;8;4;5;7;6;9;10;11;12;15;14;13;18;ab;17;ab;16
12;0;1;2;3;8;4;5;7;6;9;10;11;12;15;14;13;18;ab;17;ab;16
13;0;1;2;3;8;4;5;7;6;9;10;11;12;15;14;13;17;ab;16;ab;ab
14;0;1;2;3;8;4;5;7;6;9;10;11;12;15;14;13;17;ab;16;ab;ab
15;0;1;2;3;8;4;5;7;6;9;10;11;12;15;14;13;17;ab;16;ab;ab
16;0;1;2;3;8;4;5;7;6;9;10;11;12;15;14;13;17;ab;16;ab;ab
17;0;1;3;2;8;4;5;7;6;9;10;11;12;15;14;13;17;ab;16;ab;ab
18;0;2;3;1;8;4;5;7;6;9;10;11;12;15;14;13;17;ab;16;ab;ab
19;0;2;3;1;8;4;5;7;6;9;10;11;12;15;14;13;16;ab;17;ab;ab
