;sc;VET;BOT;RAI;VER;MAG;GRO;HUL;SAI;LEC;PER;ALO;SIR;ERI;HAM;OCO;HAR;STR;VAN;RIC;GAS
0;0;1;2;3;4;5;7;6;9;10;8;11;14;15;13;12;17;16;20;19;18
1;0;1;2;3;4;5;7;6;9;10;8;11;14;15;12;13;17;16;20;19;18
2;0;1;2;3;4;5;7;6;9;10;8;12;15;14;11;13;17;16;19;18;20
3;0;1;2;3;4;5;7;6;9;11;8;12;15;14;10;13;18;16;19;17;20
4;0;1;2;3;4;5;7;6;9;11;8;12;15;14;10;13;18;17;19;16;20
5;0;1;2;3;4;5;7;6;10;11;8;12;16;14;9;13;18;17;19;15;20
6;0;1;2;3;4;5;8;6;10;11;7;12;16;14;9;13;18;17;19;15;20
7;0;1;2;3;4;5;9;6;10;11;7;12;16;14;8;13;18;17;19;15;20
8;0;1;2;3;4;5;9;6;10;11;8;12;16;15;7;13;18;17;19;14;20
9;0;1;2;3;4;5;9;6;10;11;8;12;16;15;7;14;18;17;19;13;20
10;0;1;2;3;4;5;9;7;10;11;8;12;16;15;6;14;18;17;19;13;20
11;0;1;2;3;4;5;9;7;10;11;8;12;16;15;6;14;18;17;19;13;20
12;0;1;2;3;4;5;9;7;10;11;8;12;16;15;6;14;18;17;19;13;20
13;0;1;2;4;3;6;9;7;10;11;8;12;16;15;5;14;18;17;19;13;20
14;0;1;2;4;3;6;9;7;10;11;8;12;16;15;5;14;18;17;19;13;20
15;0;1;2;4;3;6;9;7;10;11;8;12;16;15;5;14;18;17;19;13;20
16;0;1;2;4;3;6;9;7;10;11;8;13;16;15;5;14;18;17;20;12;19
17;0;1;2;4;3;6;9;8;10;11;7;13;16;15;5;14;18;17;20;12;19
18;0;1;2;4;3;6;8;15;9;11;7;12;16;14;5;13;18;17;20;10;19
19;0;1;2;4;3;6;8;15;10;12;7;11;16;14;5;13;18;17;20;9;19
20;0;1;2;4;3;10;8;13;17;19;6;9;14;12;5;11;16;15;20;7;18
21;0;1;2;4;3;9;15;10;16;19;6;8;13;11;5;12;17;14;20;7;18
22;0;1;2;4;3;8;13;9;16;18;14;7;12;10;5;11;17;15;20;6;19
23;0;1;2;4;3;8;12;9;15;17;13;7;14;10;5;11;18;16;20;6;19
24;0;1;2;4;3;8;11;9;14;16;12;7;15;10;5;13;18;17;20;6;19
25;0;4;1;3;2;8;11;9;13;14;12;7;15;10;5;20;16;17;19;6;18
26;0;4;1;3;2;8;11;9;13;14;12;7;15;10;5;20;16;19;18;6;17
27;0;4;1;3;2;7;10;8;12;13;11;6;15;9;5;18;16;19;17;ab;14
28;0;2;5;1;3;7;9;8;12;13;11;6;19;10;4;15;17;18;16;ab;14
29;0;2;4;1;5;6;9;8;12;13;10;7;18;11;3;15;16;17;19;ab;14
30;0;2;4;1;5;6;8;7;12;13;9;10;18;11;3;15;16;17;19;ab;14
31;0;2;4;1;5;6;8;7;11;12;9;15;18;10;3;14;16;17;19;ab;13
32;0;2;4;1;5;6;8;7;10;12;9;15;18;11;3;14;16;17;19;ab;13
33;0;2;4;1;5;6;8;7;10;11;9;15;18;12;3;14;16;17;19;ab;13
34;0;2;4;1;5;6;8;7;10;11;9;15;18;12;3;14;16;17;19;ab;13
35;0;2;4;1;5;6;8;7;10;11;9;15;18;12;3;14;16;17;19;ab;13
36;0;2;4;1;5;6;8;7;10;11;9;15;18;12;3;14;16;17;19;ab;13
37;0;2;4;1;5;6;8;7;10;11;9;15;18;12;3;14;16;17;19;ab;13
38;0;1;4;2;5;6;8;7;10;11;9;14;18;15;3;13;16;17;19;ab;12
39;0;1;4;2;5;6;8;7;10;11;9;14;18;15;3;12;16;17;19;ab;13
40;0;1;4;2;5;6;8;7;10;11;9;13;18;15;3;12;16;17;19;ab;14
41;0;1;3;2;5;6;8;7;10;11;9;13;18;14;4;12;16;17;19;ab;15
42;0;1;3;2;4;6;8;7;10;11;9;14;18;13;5;12;15;17;19;ab;16
43;0;1;3;2;4;6;8;7;10;13;9;17;16;12;5;11;14;15;19;ab;18
44;0;1;3;2;4;6;8;7;10;16;9;17;15;12;5;11;14;13;19;ab;18
45;0;1;3;2;4;6;8;7;10;16;9;17;15;12;5;11;14;13;18;ab;19
46;0;1;3;2;5;6;8;7;10;17;9;18;15;12;4;11;14;13;16;ab;19
47;0;1;3;2;5;6;8;7;10;17;9;18;15;12;4;11;14;13;16;ab;19
48;0;1;3;2;5;7;8;6;10;17;9;18;15;12;4;11;14;13;16;ab;19
49;0;1;3;2;5;8;7;6;11;17;9;18;14;12;4;10;13;15;16;ab;19
50;0;1;2;3;5;9;8;6;12;17;7;18;14;11;4;10;13;15;16;ab;19
51;1;ab;1;2;4;11;9;5;10;15;6;16;ab;8;3;7;12;13;14;ab;17
52;1;ab;3;2;4;11;9;5;10;15;6;16;ab;8;1;7;12;13;14;ab;17
53;1;ab;2;3;4;11;10;5;9;14;6;15;ab;8;1;7;12;ab;13;ab;16
54;1;ab;2;3;4;12;11;5;8;14;6;15;ab;9;1;7;10;ab;13;ab;16
55;1;ab;2;3;4;12;11;5;10;14;6;15;ab;8;1;7;9;ab;13;ab;16
56;1;ab;2;3;4;12;10;5;11;16;6;14;ab;8;1;7;9;ab;13;ab;15
