;sc;HAM;BOT;RAI;VET;SAI;GAS;VER;HAR;MAG;GRO;ALO;RIC;HUL;ERI;STR;VAN;LEC;OCO;PER;SIR
0;0;1;2;4;3;8;6;5;9;7;12;11;16;10;18;19;13;ab;14;15;17
1;0;1;2;4;3;8;6;5;9;7;12;11;16;10;18;19;13;ab;14;15;17
2;0;1;2;4;3;8;6;5;9;7;12;11;15;10;18;19;13;ab;14;16;17
3;0;1;2;4;3;8;6;5;9;7;12;11;14;10;18;19;13;ab;15;16;17
4;0;1;2;4;3;8;6;5;9;7;12;11;14;10;18;19;13;ab;15;16;17
5;1;1;2;4;3;7;5;ab;8;6;11;10;12;9;18;17;13;ab;14;15;16
6;1;1;2;4;3;7;5;ab;8;6;10;11;12;9;18;17;13;ab;14;15;16
7;0;1;2;4;3;7;5;ab;8;6;10;11;12;9;18;17;13;ab;14;15;16
8;0;1;2;4;3;7;5;ab;8;6;10;12;11;9;18;17;13;ab;14;15;16
9;0;1;2;4;3;7;5;ab;8;6;10;12;11;9;18;17;13;ab;14;15;16
10;0;1;2;4;3;7;5;ab;8;6;11;12;10;9;18;17;13;ab;14;15;16
11;0;1;2;4;3;7;5;ab;8;6;11;12;10;9;18;17;13;ab;14;15;16
12;0;1;2;4;3;7;5;ab;8;6;11;12;9;10;18;17;13;ab;14;15;16
13;0;1;2;4;3;7;5;ab;9;6;11;12;8;10;18;17;13;ab;14;15;16
14;0;1;2;6;3;7;4;ab;9;5;11;12;8;10;18;17;13;ab;14;15;16
15;0;1;4;6;2;8;3;ab;9;5;11;12;7;10;18;17;13;ab;14;15;16
16;0;1;4;5;2;8;3;ab;9;6;11;12;7;10;18;17;13;ab;14;15;16
17;0;1;3;5;2;8;4;ab;9;6;11;12;7;10;18;17;13;ab;14;15;16
18;0;1;3;5;2;8;4;ab;9;6;11;12;7;10;18;17;13;ab;14;15;16
19;0;1;3;5;2;8;4;ab;9;6;11;12;7;10;18;17;13;ab;14;15;16
20;0;1;3;5;2;8;4;ab;9;7;11;12;6;10;18;17;13;ab;14;15;16
21;0;1;3;4;2;8;5;ab;9;7;11;12;6;10;18;17;13;ab;14;15;16
22;0;1;3;4;2;8;5;ab;9;7;10;12;6;11;17;16;13;ab;14;18;15
23;0;1;3;4;2;8;5;ab;10;7;9;11;6;14;17;16;12;ab;13;18;15
24;0;1;3;4;2;8;5;ab;13;7;9;10;6;14;18;16;11;ab;12;17;15
25;0;2;3;4;1;12;5;ab;13;7;8;9;6;14;18;16;10;ab;11;17;15
