;sc;RAI;VET;HAM;BOT;VER;GRO;SAI;OCO;GAS;STR;MAG;SIR;ALO;PER;LEC;HAR;VAN;ERI;RIC;HUL
0;1;1;18;2;4;3;5;6;7;11;8;12;9;10;13;14;ab;15;19;17;16
1;1;1;18;2;4;3;5;6;7;11;8;12;9;10;13;14;ab;15;19;17;16
2;1;1;18;2;4;3;5;6;7;11;8;12;9;10;13;14;ab;15;19;17;16
3;0;1;17;2;4;3;5;6;7;11;8;19;9;10;12;13;ab;14;18;16;15
4;0;1;16;2;4;3;5;6;7;11;8;19;9;10;12;13;ab;17;18;15;14
5;0;1;15;2;4;3;5;6;7;12;8;19;9;10;11;13;ab;17;18;14;16
6;0;1;15;2;4;3;5;6;7;12;8;19;9;10;11;13;ab;17;18;14;16
7;0;1;15;2;4;3;5;6;7;13;8;19;9;11;10;12;ab;17;18;14;16
8;0;1;12;2;4;3;5;6;7;11;8;19;9;18;10;13;ab;16;17;14;15
9;0;1;11;2;4;3;5;6;7;12;8;18;9;ab;10;14;ab;16;17;13;15
10;0;1;11;2;4;3;5;6;7;12;8;18;9;ab;10;15;ab;16;17;13;14
11;0;1;11;2;4;3;5;6;7;13;8;18;9;ab;10;15;ab;16;17;12;14
12;0;1;11;2;4;3;5;6;7;13;8;18;10;ab;9;15;ab;16;17;12;14
13;0;1;10;2;4;3;5;7;6;13;8;18;11;ab;9;15;ab;16;17;12;14
14;0;1;10;2;4;3;5;7;6;13;9;18;11;ab;8;15;ab;16;17;12;14
15;0;1;9;2;4;3;5;7;6;13;10;18;11;ab;8;15;ab;16;17;12;14
16;0;1;9;2;4;3;5;7;6;14;10;18;11;ab;8;15;ab;16;17;12;13
17;0;1;8;2;4;3;5;7;6;14;10;18;11;ab;9;15;ab;16;17;12;13
18;0;1;8;2;4;3;5;7;6;14;10;18;11;ab;9;15;ab;16;17;12;13
19;0;2;7;1;4;3;5;8;6;14;10;18;11;ab;9;15;ab;16;17;12;13
20;0;4;7;1;3;2;5;8;6;14;10;18;11;ab;9;15;ab;16;17;12;13
21;0;4;7;1;3;2;5;8;6;14;10;18;12;ab;9;15;ab;16;17;11;13
22;0;4;6;1;3;2;7;8;5;14;10;18;12;ab;9;15;ab;16;17;11;13
23;0;4;5;1;3;2;11;8;6;13;9;17;10;ab;7;14;ab;16;15;ab;12
24;0;4;5;1;3;2;11;8;6;13;9;17;10;ab;7;14;ab;16;15;ab;12
25;0;4;5;1;2;3;11;8;6;13;9;17;10;ab;7;14;ab;16;15;ab;12
26;0;3;4;1;2;6;11;8;5;13;9;17;10;ab;7;14;ab;16;15;ab;12
27;0;3;4;1;2;6;11;8;5;13;9;17;10;ab;7;14;ab;16;15;ab;12
28;0;2;5;3;1;4;11;8;6;13;9;17;10;ab;7;14;ab;16;15;ab;12
29;0;2;10;3;1;4;11;7;5;13;8;17;9;ab;6;14;ab;16;15;ab;12
30;0;2;9;3;1;4;11;7;5;13;8;17;10;ab;6;14;ab;16;15;ab;12
31;0;2;8;3;1;4;11;7;5;13;9;17;10;ab;6;14;ab;16;15;ab;12
32;0;2;8;3;1;4;11;7;5;13;9;17;10;ab;6;14;ab;16;15;ab;12
33;0;2;7;3;1;4;11;8;5;13;9;17;10;ab;6;15;ab;16;14;ab;12
34;0;2;7;3;1;4;10;8;5;16;11;17;9;ab;6;15;ab;14;13;ab;12
35;0;1;7;2;3;4;9;8;5;16;13;17;10;ab;6;14;ab;15;12;ab;11
36;0;1;7;2;4;3;9;8;5;16;13;17;10;ab;6;14;ab;15;12;ab;11
37;0;1;5;2;4;3;9;8;7;16;12;17;13;ab;6;14;ab;15;11;ab;10
38;0;1;5;2;4;3;8;7;9;16;11;17;13;ab;6;14;ab;15;12;ab;10
39;0;1;5;2;4;3;6;9;7;16;11;17;13;ab;8;14;ab;15;12;ab;10
40;0;1;5;2;4;3;6;9;7;16;10;17;11;ab;8;14;ab;15;13;ab;12
41;0;1;5;2;4;3;6;9;7;15;10;17;11;ab;8;13;ab;14;12;ab;16
42;0;1;5;2;4;3;6;9;7;14;10;17;11;ab;8;12;ab;13;16;ab;15
43;0;1;5;2;4;3;6;9;7;14;10;17;11;ab;8;12;ab;13;16;ab;15
44;0;2;5;1;4;3;6;9;7;14;10;17;11;ab;8;12;ab;13;16;ab;15
45;0;2;5;1;4;3;6;9;7;14;10;17;11;ab;8;12;ab;13;16;ab;15
46;0;2;5;1;4;3;6;9;7;14;10;17;11;ab;8;12;ab;13;16;ab;15
47;0;2;5;1;4;3;6;9;7;14;10;17;11;ab;8;12;ab;13;16;ab;15
48;0;2;5;1;4;3;6;9;7;15;10;17;11;ab;8;12;ab;13;16;ab;14
49;0;2;5;1;4;3;6;9;7;15;10;17;11;ab;8;12;ab;13;16;ab;14
50;0;2;5;1;4;3;6;9;7;15;10;17;11;ab;8;12;ab;13;16;ab;14
51;0;2;5;1;4;3;6;9;7;15;10;17;11;ab;8;12;ab;13;16;ab;14
52;0;2;5;1;4;3;6;9;7;14;9;16;10;ab;8;11;ab;12;15;ab;13
