;sc;BOT;HAM;VET;RAI;MAG;OCO;LEC;PER;GRO;ERI;SAI;HUL;SIR;STR;VAN;ALO;GAS;RIC;VER;HAR
0;0;1;2;3;4;5;7;6;8;9;10;11;12;15;14;17;16;20;18;13;19
1;0;1;2;3;4;6;7;5;8;9;10;12;13;15;14;18;17;20;16;11;19
2;0;1;2;3;4;6;7;5;8;10;11;12;13;16;15;18;17;19;14;9;20
3;0;1;2;3;4;6;7;5;9;10;11;12;14;16;15;18;17;19;13;8;20
4;0;1;2;3;4;6;8;5;9;10;11;13;14;16;15;17;18;ab;12;7;ab
5;0;1;2;3;4;7;8;5;9;10;11;14;13;16;15;17;18;ab;12;6;ab
6;0;1;2;3;4;7;8;5;9;10;11;14;13;16;17;15;18;ab;12;6;ab
7;0;1;2;3;4;7;8;6;9;14;10;13;12;16;18;15;17;ab;11;5;ab
8;0;1;2;3;4;9;7;6;8;16;11;13;12;15;18;14;17;ab;10;5;ab
9;0;1;2;3;4;13;8;6;7;15;11;12;10;17;18;14;16;ab;9;5;ab
10;0;1;2;3;4;12;13;11;6;14;10;9;8;18;17;15;16;ab;7;5;ab
11;0;3;1;2;4;11;12;10;7;13;14;9;8;18;16;17;15;ab;6;5;ab
12;0;5;1;2;3;10;11;9;12;13;14;8;7;18;16;17;15;ab;6;4;ab
13;0;4;1;5;2;10;11;8;12;13;14;9;7;18;16;17;15;ab;6;3;ab
14;0;3;5;4;1;10;11;8;12;13;14;9;7;18;16;17;15;ab;6;2;ab
15;0;3;4;5;1;10;11;8;12;13;14;9;7;18;16;17;15;ab;6;2;ab
16;0;3;4;5;1;10;11;8;12;13;14;9;7;18;16;17;15;ab;6;2;ab
17;0;3;4;5;1;9;10;8;11;13;14;12;7;18;16;17;15;ab;6;2;ab
18;0;2;3;4;5;9;10;8;11;13;14;12;7;18;16;17;15;ab;6;1;ab
19;0;2;3;4;5;9;10;8;11;13;14;12;7;18;16;17;15;ab;6;1;ab
20;0;2;3;4;5;9;10;8;11;13;14;12;7;18;16;17;15;ab;6;1;ab
21;0;2;3;4;5;9;10;8;11;13;14;12;7;18;16;17;15;ab;6;1;ab
22;0;2;3;4;5;9;10;8;11;13;14;12;7;18;16;17;15;ab;6;1;ab
23;0;2;3;4;5;9;10;8;11;13;14;12;7;18;16;17;15;ab;6;1;ab
24;0;3;2;4;5;9;10;8;11;12;13;14;7;18;16;17;15;ab;6;1;ab
25;0;3;2;4;5;9;11;8;10;12;13;14;7;18;16;17;15;ab;6;1;ab
26;0;3;2;4;5;9;11;8;10;12;13;14;7;18;16;17;15;ab;6;1;ab
27;0;3;2;4;5;9;11;8;10;12;13;14;7;18;16;17;15;ab;6;1;ab
28;0;3;2;4;5;9;11;8;10;12;13;14;7;18;16;17;15;ab;6;1;ab
29;0;3;2;4;5;9;11;8;10;12;13;14;7;18;16;17;15;ab;6;1;ab
30;0;3;2;4;5;9;11;8;10;12;13;14;7;18;16;17;15;ab;6;1;ab
31;0;3;2;4;5;9;11;8;10;12;13;14;7;18;16;17;15;ab;6;1;ab
32;0;3;2;4;5;9;11;8;10;12;13;16;7;18;15;17;14;ab;6;1;ab
33;0;3;2;4;5;9;11;8;10;12;13;16;7;18;15;17;14;ab;6;1;ab
34;0;3;2;4;5;9;11;8;10;12;13;16;7;18;15;17;14;ab;6;1;ab
35;0;3;2;4;5;8;10;7;9;12;13;16;11;18;15;17;14;ab;6;1;ab
36;0;3;2;4;5;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;1;ab
37;0;3;2;4;5;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;1;ab
38;0;3;2;4;5;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;1;ab
39;0;3;2;4;5;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;1;ab
40;0;3;2;4;5;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;1;ab
41;0;3;2;4;5;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;1;ab
42;0;2;1;3;5;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;4;ab
43;0;2;1;3;4;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;5;ab
44;0;2;1;3;4;8;9;7;10;12;13;16;11;18;15;17;14;ab;6;5;ab
45;0;2;1;3;4;8;9;7;10;11;13;16;12;18;15;17;14;ab;6;5;ab
46;0;2;1;3;4;8;9;7;10;11;13;16;12;18;15;17;14;ab;6;5;ab
47;0;2;1;3;4;8;9;7;10;11;13;16;12;18;15;17;14;ab;6;5;ab
48;0;2;1;3;4;8;9;7;10;11;13;16;12;18;15;17;14;ab;6;5;ab
49;0;2;1;3;4;8;9;7;10;11;13;16;12;18;15;17;14;ab;6;5;ab
50;0;2;1;3;4;8;9;7;10;11;13;17;12;18;15;16;14;ab;6;5;ab
51;0;2;1;3;4;8;9;7;10;11;13;17;12;18;15;16;14;ab;6;5;ab
52;0;2;1;3;4;8;9;7;10;11;13;17;12;18;15;16;14;ab;6;5;ab
