;sc;HAM;BOT;VER;RAI;GRO;HAR;GAS;VET;PER;LEC;OCO;MAG;SAI;STR;RIC;HUL;SIR;ALO;VAN;ERI
0;0;1;2;3;5;6;10;7;4;8;13;9;12;11;17;14;16;18;15;19;20
1;0;1;2;3;5;6;10;7;4;8;13;9;20;12;16;11;15;18;14;19;17
2;0;1;2;3;5;6;11;7;4;8;13;9;20;12;16;10;15;18;14;19;17
3;1;1;2;3;5;6;12;7;4;8;11;9;20;13;16;10;15;17;14;19;18
4;1;1;2;3;5;6;11;7;4;8;19;9;20;12;15;10;14;17;13;16;18
5;1;1;2;3;5;6;11;7;4;8;18;9;20;12;15;10;14;17;13;16;19
6;1;1;2;3;5;6;11;7;4;8;18;9;20;12;15;10;14;17;13;16;19
7;0;1;2;3;4;5;12;6;19;7;15;8;20;10;14;9;13;16;11;17;18
8;0;1;2;3;4;5;11;6;19;7;15;9;ab;10;14;8;13;16;12;18;17
9;0;1;2;3;4;5;11;6;18;7;15;9;ab;10;14;8;13;16;12;19;17
10;0;1;2;3;4;5;11;6;18;8;15;9;ab;10;14;7;13;16;12;19;17
11;0;1;2;3;4;5;11;6;16;8;15;9;ab;10;14;7;13;17;12;19;18
12;0;1;2;3;4;6;11;7;15;8;14;9;ab;10;16;5;13;17;12;19;18
13;0;1;2;3;4;6;11;7;15;8;14;9;ab;10;17;5;13;18;12;19;16
14;0;1;2;3;4;6;11;7;14;8;15;9;ab;10;19;5;13;17;12;18;16
15;0;1;2;3;4;6;11;7;13;8;15;9;ab;10;19;5;14;17;12;18;16
16;0;1;2;3;4;6;11;7;13;8;15;9;ab;10;19;5;14;17;12;18;16
17;0;1;2;3;9;5;11;6;13;7;15;8;ab;10;19;4;14;17;12;18;16
18;0;1;2;3;9;5;11;6;12;7;15;8;ab;10;19;4;14;17;13;18;16
19;0;1;2;3;8;5;11;6;12;7;15;9;ab;10;19;4;14;17;13;18;16
20;0;1;2;3;7;5;12;6;11;8;15;9;ab;10;19;4;14;17;13;18;16
21;0;1;2;4;6;5;12;7;11;8;15;9;ab;10;19;3;14;17;13;18;16
22;0;1;2;4;5;6;12;7;11;8;15;9;ab;10;19;3;14;17;13;18;16
23;0;1;2;3;5;6;12;7;11;9;15;8;ab;10;18;4;14;17;13;19;16
24;0;1;2;3;5;6;11;7;10;17;14;8;ab;9;18;4;13;16;12;19;15
25;0;1;2;3;5;6;11;7;10;17;14;9;ab;8;18;4;12;16;13;19;15
26;0;1;2;3;5;6;9;7;16;13;11;15;ab;8;17;4;10;14;19;18;12
27;0;1;2;3;5;6;9;7;15;11;10;14;ab;8;17;4;12;16;18;19;13
28;0;1;2;3;5;6;17;8;12;10;9;11;ab;7;16;4;13;15;18;19;14
29;0;1;2;3;5;7;17;13;10;8;9;11;ab;6;16;4;14;15;18;19;12
30;0;1;2;3;5;7;16;13;9;8;11;10;ab;6;15;4;19;14;17;18;12
31;0;1;2;3;5;7;16;13;8;9;11;10;ab;6;15;4;19;14;17;18;12
32;0;1;2;3;5;6;16;11;7;8;10;9;ab;13;15;4;19;14;17;18;12
33;0;1;2;3;5;7;16;10;6;8;11;9;ab;13;15;4;19;14;17;18;12
34;0;1;2;3;5;7;15;10;6;8;13;9;ab;11;16;4;19;14;17;18;12
35;0;1;2;3;5;7;13;10;6;8;19;9;ab;11;15;4;18;14;16;17;12
36;0;1;2;3;5;7;13;10;6;8;18;9;ab;11;16;4;19;14;15;17;12
37;0;1;2;3;5;7;13;10;6;8;18;9;ab;11;15;4;ab;17;14;16;12
38;0;1;2;3;5;7;13;10;6;8;ab;9;ab;11;16;4;ab;17;14;15;12
39;0;1;2;3;5;7;13;10;6;8;ab;9;ab;11;17;4;ab;16;14;15;12
40;1;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
41;1;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
42;0;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
43;0;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
44;0;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
45;0;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
46;0;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
47;0;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
48;0;1;2;3;5;8;13;10;6;7;ab;9;ab;11;17;4;ab;16;14;15;12
49;0;1;2;3;5;8;13;11;6;7;ab;9;ab;10;17;4;ab;16;14;15;12
50;0;1;2;3;5;8;13;11;6;7;ab;9;ab;10;17;4;ab;16;14;15;12
51;0;1;2;3;5;8;13;11;6;7;ab;9;ab;10;17;4;ab;16;14;15;12
52;0;1;2;3;5;8;13;11;6;7;ab;9;ab;10;17;4;ab;16;14;15;12
