;sc;HAM;RAI;BOT;RIC;VET;OCO;HUL;GRO;LEC;PER;SAI;MAG;ALO;SIR;STR;ERI;VAN;VER;GAS;HAR
0;0;2;1;3;4;15;7;5;19;17;8;6;10;20;11;18;16;13;9;14;12
1;0;2;1;3;4;13;7;5;19;17;8;6;10;ab;11;18;16;14;9;15;12
2;0;2;1;3;4;11;7;5;ab;17;9;6;10;ab;12;18;16;14;8;15;13
3;0;2;1;3;4;11;8;5;ab;17;9;6;10;ab;12;18;15;14;7;16;13
4;0;2;1;3;4;10;8;5;ab;17;9;6;11;ab;12;18;15;14;7;16;13
5;0;2;1;3;4;9;8;5;ab;17;10;7;11;ab;12;18;15;14;6;16;13
6;0;2;1;3;4;8;9;6;ab;17;10;7;11;ab;12;18;15;14;5;16;13
7;0;2;1;3;4;8;9;6;ab;17;10;7;11;ab;12;18;15;14;5;16;13
8;0;2;1;3;ab;7;8;5;ab;16;9;6;10;ab;11;17;14;13;4;15;12
9;0;2;1;3;ab;6;8;5;ab;16;9;7;10;ab;11;17;15;13;4;14;12
10;1;1;2;3;ab;6;8;5;ab;16;9;7;10;ab;13;17;12;14;4;15;11
11;1;3;1;2;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
12;0;3;1;2;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
13;0;2;1;3;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
14;0;2;1;3;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
15;0;2;1;3;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
16;0;2;1;3;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
17;0;2;1;3;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
18;0;2;1;3;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
19;0;2;1;3;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
20;0;2;1;3;ab;5;8;6;ab;16;9;7;10;ab;13;17;12;14;4;15;11
21;0;1;5;2;ab;4;8;6;ab;16;9;7;10;ab;13;17;12;14;3;15;11
22;0;1;4;2;ab;3;14;6;ab;16;8;7;9;ab;12;17;11;13;5;15;10
23;0;1;3;5;ab;2;14;9;ab;16;7;6;8;ab;12;17;11;13;4;15;10
24;0;1;2;5;ab;3;13;8;ab;16;6;11;7;ab;12;17;10;14;4;15;9
25;0;1;2;5;ab;4;11;7;ab;16;15;9;6;ab;12;17;10;13;3;14;8
26;0;1;2;4;ab;5;11;7;ab;16;15;8;6;ab;12;17;10;13;3;14;9
27;0;1;2;4;ab;5;9;7;ab;16;13;8;6;ab;11;17;10;12;3;14;15
28;0;1;2;4;ab;5;9;7;ab;16;12;8;6;ab;11;17;10;13;3;14;15
29;0;1;2;4;ab;5;9;7;ab;16;11;8;6;ab;15;17;10;12;3;13;14
30;0;1;2;4;ab;5;8;6;ab;16;10;7;9;ab;14;17;15;11;3;12;13
31;0;1;2;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;14;11;3;12;13
32;0;1;2;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;14;11;3;12;13
33;0;1;2;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;14;11;3;12;13
34;0;1;2;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;14;11;3;13;12
35;0;1;2;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;13;11;3;14;12
36;0;1;2;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;13;11;3;15;12
37;0;4;1;3;ab;5;8;6;ab;ab;10;7;9;ab;14;16;13;11;2;15;12
38;0;4;1;3;ab;5;8;6;ab;ab;10;7;9;ab;14;16;13;11;2;15;12
39;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;13;11;2;15;12
40;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
41;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
42;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
43;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
44;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
45;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
46;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
47;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
48;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;14;16;12;13;2;15;11
49;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;12;13;2;14;11
50;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;12;13;2;14;11
51;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;12;13;2;14;11
52;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;12;13;2;14;11
53;0;3;1;4;ab;5;8;6;ab;ab;10;7;9;ab;15;16;12;13;2;14;11
54;0;3;1;5;ab;4;8;6;ab;ab;10;7;9;ab;15;14;12;13;2;14;11
55;0;3;1;5;ab;4;8;6;ab;ab;10;7;9;ab;13;14;10;11;2;12;9
