;sc;RIC;VER;HAM;VET;BOT;RAI;HUL;SAI;LEC;ERI;OCO;ALO;PER;HAR;VAN;MAG;STR;GRO;SIR;GAS
0;0;3;1;2;4;5;7;8;6;9;10;16;12;11;20;19;14;13;18;15;17
1;0;3;1;2;4;5;6;8;7;9;10;20;12;11;19;17;14;13;18;15;16
2;0;3;1;2;4;5;6;8;7;9;10;20;12;11;19;17;14;13;18;15;16
3;0;3;1;2;4;5;6;8;7;9;10;19;ab;11;18;14;13;12;16;15;17
4;1;3;1;2;4;5;6;8;7;9;10;19;ab;11;18;14;13;12;16;15;17
5;0;3;1;2;4;5;6;8;7;9;10;18;ab;11;17;14;13;12;16;15;19
6;0;3;1;2;4;5;6;8;7;9;10;18;ab;11;17;14;13;12;16;15;19
7;0;3;1;2;4;5;6;8;7;9;10;18;ab;11;17;14;13;12;16;15;19
8;0;3;1;2;4;5;6;8;7;9;10;18;ab;11;17;14;13;12;16;15;19
9;0;3;1;2;4;5;6;8;7;9;10;18;ab;11;17;13;12;14;16;15;19
10;0;2;1;4;3;6;5;7;8;9;10;17;ab;11;16;13;12;19;14;15;18
11;0;3;1;5;2;7;4;6;12;8;9;16;ab;10;15;13;11;18;14;19;17
12;0;5;1;4;2;6;3;13;11;7;8;15;ab;9;14;18;10;17;12;19;16
13;0;5;3;4;1;6;2;12;9;15;8;14;ab;7;13;17;10;18;11;19;16
14;0;5;2;4;1;6;3;10;8;15;9;14;ab;7;13;17;11;18;12;19;16
15;0;5;2;4;1;6;3;9;8;13;14;15;ab;7;12;17;10;18;11;19;16
16;0;4;2;3;1;6;5;9;8;12;19;14;ab;7;13;16;10;17;11;18;15
17;0;3;1;2;4;5;6;9;8;11;19;14;ab;7;13;16;10;17;12;18;15
18;0;3;1;2;4;5;6;9;8;11;19;14;ab;7;13;16;10;17;12;18;15
19;0;3;1;2;4;5;6;9;8;11;19;14;ab;7;13;16;10;17;12;18;15
20;0;3;1;2;4;5;6;9;8;11;19;14;ab;7;13;16;10;17;12;18;15
21;0;3;1;2;4;5;6;9;8;11;19;14;ab;7;13;16;10;17;12;18;15
22;0;3;1;2;4;5;6;9;8;11;19;14;ab;7;13;16;10;17;12;18;15
23;0;3;1;2;4;5;6;9;8;11;18;13;ab;7;15;16;10;19;12;17;14
24;0;3;1;2;4;5;6;9;8;10;17;13;ab;7;18;14;11;19;12;16;15
25;0;3;1;2;4;5;6;9;8;10;17;13;ab;7;18;14;11;19;12;16;15
26;0;3;1;2;4;5;6;9;8;10;16;13;ab;7;17;14;11;18;12;15;19
27;0;3;1;2;4;5;6;9;8;10;16;13;ab;7;17;14;11;18;12;15;19
28;0;3;1;2;4;5;6;8;ab;9;14;12;ab;7;16;13;10;17;11;15;18
29;0;3;1;2;4;5;6;8;ab;9;14;13;ab;7;16;12;10;17;11;15;18
30;1;3;1;2;4;5;6;7;ab;8;13;16;ab;9;14;12;10;17;11;15;18
31;1;3;1;2;4;5;6;7;ab;8;13;15;ab;9;14;12;10;16;11;17;18
32;0;3;1;2;4;5;6;7;ab;8;13;15;ab;9;14;11;10;16;12;17;18
33;0;4;1;2;3;5;6;7;ab;9;13;15;ab;8;14;11;10;16;12;17;18
34;0;4;1;2;3;5;6;7;ab;9;13;15;ab;8;14;11;10;16;12;17;18
35;0;4;1;2;3;5;6;7;ab;9;13;15;ab;8;14;11;10;16;12;17;18
36;0;4;1;2;3;5;6;7;ab;8;13;15;ab;9;14;11;10;16;12;17;18
37;0;4;1;2;3;5;6;7;ab;8;12;14;ab;17;13;10;9;15;11;16;18
38;0;4;1;3;2;5;6;7;ab;8;12;14;ab;ab;13;10;9;15;11;16;17
39;0;4;1;3;2;5;6;7;ab;8;12;14;ab;ab;13;10;9;15;11;16;17
40;0;4;1;3;2;5;6;7;ab;8;12;14;ab;ab;13;10;9;15;11;16;17
41;0;4;1;3;2;5;6;7;ab;8;12;14;ab;ab;13;10;9;15;11;16;17
42;0;4;1;3;2;5;6;7;ab;8;12;14;ab;ab;13;9;10;15;11;16;17
43;0;4;1;3;2;5;6;7;ab;8;10;12;ab;ab;11;9;17;13;14;15;16
44;0;4;1;3;2;5;6;7;ab;8;10;12;ab;ab;11;9;16;13;17;15;14
45;0;4;1;3;2;5;6;7;ab;8;10;12;ab;ab;11;9;16;13;17;15;14
