;sc;HAM;VET;BOT;RAI;VER;ERI;LEC;GRO;GAS;MAG;RIC;PER;HUL;SIR;SAI;HAR;ALO;OCO;STR;VAN
0;0;1;3;2;4;5;9;6;7;8;11;10;12;14;17;13;16;15;19;18;20
1;0;1;3;2;4;5;10;6;7;8;11;9;12;14;17;13;16;15;19;18;20
2;0;1;3;2;5;4;10;6;7;9;11;8;12;14;17;13;16;15;18;19;20
3;0;1;5;2;4;3;10;6;8;9;11;7;12;14;18;13;16;15;17;19;20
4;0;1;5;2;4;3;10;7;8;9;11;6;12;14;18;13;16;15;17;19;20
5;0;1;5;2;4;3;10;7;8;9;11;6;12;14;18;13;16;15;17;19;20
6;0;1;5;2;4;3;10;7;8;9;11;6;12;14;18;13;16;15;17;19;20
7;0;1;5;2;4;3;10;7;8;9;11;6;12;14;18;13;16;15;17;19;20
8;0;1;5;2;4;3;14;7;8;9;10;6;11;13;18;12;17;15;16;19;20
9;0;1;5;3;4;2;14;7;8;9;10;6;11;13;18;12;17;15;16;19;20
10;0;1;5;3;4;2;14;7;8;9;10;6;11;13;18;12;17;15;16;19;20
11;0;1;5;3;4;2;14;7;8;9;10;6;11;13;18;12;17;15;16;19;20
12;0;1;5;3;4;2;14;7;8;10;9;6;11;13;18;12;17;15;16;19;20
13;0;1;5;3;4;2;14;7;8;10;9;6;11;13;18;12;17;16;15;19;20
14;0;1;5;3;4;2;14;7;8;10;9;6;11;13;17;12;16;20;15;18;19
15;0;1;5;3;4;2;15;7;8;10;9;6;11;13;19;12;16;20;14;17;18
16;0;1;5;3;4;2;15;7;8;10;9;6;11;13;19;12;16;20;14;18;17
17;0;1;4;5;3;2;17;7;8;11;9;6;10;13;18;12;15;20;14;19;16
18;0;2;4;9;3;1;18;6;7;11;8;5;10;13;17;12;15;20;14;19;16
19;0;6;3;9;2;1;20;5;7;11;8;4;10;13;17;12;15;19;14;18;16
20;0;6;3;9;2;1;ab;5;7;11;8;4;10;13;17;12;15;19;14;18;16
21;0;6;3;9;2;1;ab;5;7;14;8;4;10;12;17;11;15;19;13;18;16
22;0;6;3;8;2;1;ab;5;7;16;9;4;10;12;17;11;14;19;13;18;15
23;0;5;3;8;2;1;ab;6;7;16;9;4;10;12;17;11;14;19;13;18;15
24;0;5;3;8;2;1;ab;6;7;16;9;4;10;11;17;13;14;19;12;18;15
25;0;5;3;8;2;1;ab;6;7;15;9;4;10;11;17;16;13;19;12;18;14
26;0;5;4;8;2;1;ab;6;7;15;9;3;10;11;17;16;13;19;12;18;14
27;0;4;9;7;2;1;ab;5;6;14;8;3;10;11;17;15;13;19;12;18;16
28;0;4;8;6;2;1;ab;5;7;14;9;3;10;11;16;15;13;18;12;17;19
29;0;4;8;6;2;1;ab;5;7;14;9;3;10;11;16;15;13;18;12;17;19
30;0;4;7;6;3;1;ab;5;8;14;9;2;10;11;16;15;13;19;12;17;18
31;0;3;6;5;7;1;ab;4;9;14;8;2;10;12;16;15;13;19;11;17;18
32;0;3;6;5;7;1;ab;4;11;13;8;2;9;ab;15;14;12;18;10;16;17
33;0;3;6;5;7;1;ab;4;10;13;8;2;9;ab;15;14;12;18;11;16;17
34;0;3;6;4;5;1;ab;7;10;13;8;2;9;ab;15;14;12;18;11;16;17
35;0;2;6;4;5;3;ab;9;10;13;7;1;8;ab;15;14;12;18;11;16;17
36;0;2;6;4;5;3;ab;8;10;13;7;1;9;ab;15;14;12;18;11;16;17
37;0;2;6;4;5;3;ab;8;10;13;7;1;9;ab;15;14;12;18;11;16;17
38;0;3;6;4;5;2;ab;8;9;13;7;1;10;ab;15;14;12;18;11;16;17
39;0;2;5;3;4;1;ab;8;9;13;7;6;12;ab;15;14;11;18;10;16;17
40;0;2;5;3;4;1;ab;8;9;12;7;6;11;ab;15;13;10;18;14;16;17
41;0;2;5;3;4;1;ab;7;8;12;9;6;10;ab;15;13;11;18;14;16;17
42;0;2;5;3;4;1;ab;7;8;12;9;6;10;ab;14;13;11;18;16;15;17
43;0;1;5;4;3;2;ab;7;8;12;9;6;10;ab;14;13;11;18;16;15;17
44;0;1;5;4;3;2;ab;7;8;12;9;6;10;ab;14;13;11;18;16;15;17
45;0;1;6;4;3;2;ab;7;8;12;9;5;10;ab;14;13;11;18;16;15;17
46;0;1;6;4;3;2;ab;7;8;12;9;5;10;ab;14;13;11;18;15;16;17
47;0;1;6;4;3;2;ab;7;8;12;9;5;10;ab;15;13;11;18;14;16;17
48;0;1;6;4;3;2;ab;7;8;12;9;5;10;ab;15;13;11;18;14;16;17
49;0;1;6;4;3;2;ab;7;8;11;9;5;10;ab;15;13;12;18;14;16;17
50;0;1;6;4;3;2;ab;7;8;11;9;5;10;ab;15;13;12;18;14;16;17
51;0;1;6;4;3;2;ab;7;8;11;9;5;10;ab;15;13;12;18;14;16;17
52;0;1;6;4;3;2;ab;7;8;11;9;5;10;ab;15;13;12;18;14;16;17
53;0;1;7;4;3;2;ab;6;8;11;9;5;10;ab;15;13;12;18;14;16;17
54;0;1;7;4;3;2;ab;6;8;11;9;5;10;ab;15;13;12;18;14;17;16
55;0;1;7;4;3;2;ab;6;8;11;9;5;10;ab;15;13;12;18;14;17;16
56;0;1;7;4;3;2;ab;6;8;11;9;5;10;ab;15;13;12;18;14;17;16
57;0;1;6;4;3;2;ab;7;8;11;9;5;10;ab;14;13;12;18;17;16;15
58;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;14;13;12;18;17;16;15
59;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;15;13;12;18;17;16;14
60;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;15;13;12;18;16;17;14
61;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;15;13;12;18;16;17;14
62;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;16;13;12;18;15;17;14
63;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;16;13;12;17;15;18;14
64;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;16;13;12;17;15;18;14
65;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;16;13;12;17;15;18;14
66;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;16;13;12;17;15;18;14
67;0;1;6;5;3;2;ab;7;8;11;9;4;10;ab;17;13;12;16;15;18;14
68;0;1;6;5;3;2;ab;7;8;12;9;4;10;ab;17;13;11;16;15;18;14
69;0;1;6;5;3;2;ab;7;8;13;9;4;10;ab;16;12;11;17;15;18;14
70;0;1;6;5;3;2;ab;7;8;13;9;4;10;ab;16;12;11;17;14;18;15
