;sc;HAM;BOT;VET;RAI;RIC;VER;GRO;LEC;OCO;HUL;SAI;ERI;MAG;PER;ALO;HAR;GAS;VAN;SIR;STR
0;1;1;2;3;4;6;9;7;5;8;ab;11;12;16;10;14;19;13;17;18;15
1;1;1;2;3;4;6;9;7;5;8;ab;11;12;16;10;14;19;13;17;18;15
2;1;1;2;3;4;6;9;7;5;8;ab;11;12;16;10;14;19;13;17;18;15
3;1;1;2;3;4;6;9;7;5;8;ab;11;12;16;10;14;19;13;17;18;15
4;0;1;2;3;4;6;9;7;5;8;ab;11;12;15;10;14;19;13;17;18;16
5;0;1;2;3;11;5;7;6;4;8;ab;10;12;15;9;14;19;13;17;18;16
6;1;1;2;3;ab;5;6;7;4;8;ab;11;10;14;9;13;18;12;16;17;15
7;1;5;1;2;ab;3;4;18;14;6;ab;9;8;12;7;11;17;10;15;16;13
8;0;5;1;2;ab;3;4;17;13;6;ab;9;8;12;7;11;18;10;15;16;14
9;0;5;1;2;ab;3;4;17;12;6;ab;9;8;13;7;11;18;10;15;16;14
10;0;5;1;2;ab;3;4;16;12;6;ab;9;8;13;7;11;18;10;15;17;14
11;0;5;1;2;ab;3;4;16;12;6;ab;9;8;13;7;11;18;10;15;17;14
12;0;5;1;2;ab;3;4;16;12;6;ab;9;8;13;7;11;18;10;15;17;14
13;0;5;1;2;ab;3;4;16;12;6;ab;8;9;13;7;11;18;10;15;17;14
14;0;5;1;3;ab;2;4;16;12;6;ab;8;9;13;7;11;18;10;15;17;14
15;0;4;1;5;ab;2;3;16;12;7;ab;8;9;13;6;11;18;10;15;17;14
16;0;3;4;5;ab;1;2;16;12;7;ab;8;9;13;6;11;18;10;15;17;14
17;0;2;3;4;ab;1;5;16;12;8;ab;7;9;13;6;11;18;10;15;17;14
18;0;2;3;4;ab;1;5;15;11;18;ab;7;8;12;6;10;17;9;14;16;13
19;0;2;3;4;ab;1;5;15;11;18;ab;7;8;12;6;10;17;9;14;16;13
20;0;2;3;4;ab;1;5;15;11;18;ab;7;8;12;6;10;17;9;14;16;13
21;0;2;3;4;ab;1;5;15;11;17;ab;7;8;12;6;10;18;9;14;16;13
22;0;2;3;4;ab;1;5;15;11;16;ab;7;8;12;6;10;18;9;14;17;13
23;0;2;3;4;ab;1;5;15;11;16;ab;7;8;12;6;10;18;9;14;17;13
24;0;2;3;4;ab;1;5;14;10;15;ab;7;ab;11;6;9;16;8;13;17;12
25;0;2;3;4;ab;1;5;14;9;15;ab;6;ab;11;7;10;16;8;13;17;12
26;0;2;3;4;ab;1;5;14;8;15;ab;6;ab;11;9;10;16;7;13;17;12
27;0;2;3;4;ab;1;5;13;8;14;ab;6;ab;10;9;17;15;7;12;16;11
28;0;2;3;4;ab;1;5;13;8;14;ab;6;ab;10;9;17;15;7;12;16;11
29;0;2;3;4;ab;1;5;13;7;12;ab;6;ab;9;8;17;14;16;11;15;10
30;0;2;3;4;ab;1;5;13;7;11;ab;6;ab;9;8;17;14;15;12;16;10
31;0;2;3;4;ab;1;5;12;7;11;ab;6;ab;9;8;16;14;15;13;17;10
32;0;2;3;4;ab;1;5;12;7;11;ab;6;ab;9;8;16;15;14;13;17;10
33;0;1;2;3;ab;5;4;12;7;11;ab;6;ab;9;8;15;16;14;13;17;10
34;0;1;3;2;ab;5;4;12;7;11;ab;6;ab;9;8;14;16;13;15;17;10
35;0;1;3;2;ab;5;4;12;7;11;ab;6;ab;9;8;14;15;13;16;17;10
36;0;1;3;2;ab;5;4;12;7;11;ab;6;ab;9;8;14;15;13;16;17;10
37;0;1;4;2;ab;5;3;12;7;10;ab;6;ab;9;8;14;15;13;16;17;11
38;0;1;5;2;ab;4;3;12;7;10;ab;6;ab;9;8;14;15;13;16;17;11
39;0;1;5;2;ab;4;3;11;7;10;ab;6;ab;9;8;14;15;13;16;17;12
40;0;1;5;2;ab;4;3;11;7;10;ab;6;ab;9;8;13;14;12;16;17;15
41;0;1;5;2;ab;4;3;10;7;9;ab;6;ab;12;8;13;14;11;16;17;15
42;0;1;5;2;ab;4;3;10;7;9;ab;6;ab;12;8;13;14;11;16;17;15
43;0;1;5;2;ab;4;3;10;7;9;ab;6;ab;12;8;13;14;11;16;17;15
44;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;11;8;12;13;10;15;16;14
45;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;11;8;12;13;10;15;16;14
46;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
47;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
48;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
49;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
50;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
51;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
52;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
53;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
54;0;1;5;2;ab;4;3;9;7;ab;ab;6;ab;10;8;11;12;ab;14;15;13
