;sc;VET;HAM;BOT;RIC;VER;RAI;OCO;PER;SAI;STR;SIR;ALO;LEC;HUL;MAG;VAN;GAS;ERI;HAR;GRO
0;1;1;2;3;4;5;6;ab;9;7;8;ab;16;12;10;17;13;11;18;15;14
1;1;1;2;3;4;5;13;ab;9;6;7;ab;17;11;8;16;12;10;18;14;15
2;1;1;2;3;4;5;12;ab;15;6;7;ab;17;10;8;16;11;9;18;13;14
3;1;1;2;3;4;5;12;ab;15;6;7;ab;17;10;8;16;11;9;18;13;14
4;1;1;2;3;4;5;12;ab;15;6;8;ab;17;10;7;16;11;9;18;13;14
5;0;1;2;3;6;5;11;ab;15;4;9;ab;17;10;8;16;12;7;18;14;13
6;0;1;2;3;6;4;11;ab;14;5;10;ab;16;9;7;17;13;8;18;15;12
7;0;1;2;3;6;4;11;ab;14;5;8;ab;15;9;7;17;13;10;18;16;12
8;0;1;2;3;7;6;10;ab;14;4;8;ab;15;9;5;17;13;12;18;16;11
9;0;1;2;3;7;6;10;ab;12;4;8;ab;14;9;5;17;15;13;18;16;11
10;0;1;2;3;6;5;9;ab;11;4;8;ab;12;7;ab;17;14;13;16;15;10
11;0;1;2;3;6;5;9;ab;11;4;8;ab;12;7;ab;17;13;14;16;15;10
12;0;1;2;3;6;5;9;ab;10;4;8;ab;12;7;ab;16;13;17;14;15;11
13;0;1;2;3;6;5;9;ab;10;4;8;ab;12;7;ab;16;13;17;14;15;11
14;0;1;2;3;5;4;7;ab;10;9;8;ab;12;6;ab;16;13;17;14;15;11
15;0;1;2;3;5;4;7;ab;9;13;8;ab;11;6;ab;16;12;17;14;15;10
16;0;1;2;3;5;4;6;ab;9;12;8;ab;11;7;ab;16;13;17;14;15;10
17;0;1;2;3;5;4;6;ab;9;12;8;ab;11;7;ab;14;15;16;17;13;10
18;0;1;2;3;5;4;6;ab;9;12;8;ab;11;7;ab;14;15;16;17;13;10
19;0;1;2;3;5;4;6;ab;9;12;8;ab;11;7;ab;14;15;16;17;13;10
20;0;1;2;3;5;4;6;ab;8;12;9;ab;11;7;ab;14;15;16;17;13;10
21;0;1;3;2;5;4;6;ab;8;12;9;ab;11;7;ab;13;14;16;17;15;10
22;0;1;3;2;5;4;6;ab;8;11;10;ab;12;7;ab;13;14;15;17;16;9
23;0;1;3;2;5;4;6;ab;7;10;12;ab;11;8;ab;13;14;15;17;16;9
24;0;1;3;2;5;4;6;ab;7;9;12;ab;10;11;ab;13;14;15;17;16;8
25;0;1;3;2;5;4;6;ab;7;9;12;ab;11;10;ab;13;16;14;17;15;8
26;0;1;3;2;5;4;6;ab;7;9;12;ab;11;10;ab;13;16;14;17;15;8
27;0;1;3;2;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
28;0;1;3;2;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
29;0;1;3;2;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
30;0;2;3;1;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
31;0;2;3;1;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
32;0;2;3;1;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
33;0;2;3;1;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
34;0;2;3;1;4;5;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
35;0;2;3;1;4;5;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
36;0;2;3;1;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
37;0;2;3;1;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
38;0;2;3;1;5;4;6;ab;7;9;11;ab;12;10;ab;13;16;14;17;15;8
39;1;2;3;1;ab;ab;4;ab;5;7;9;ab;10;8;ab;11;14;12;15;13;6
40;1;2;3;1;ab;ab;4;ab;5;7;9;ab;10;8;ab;11;14;12;15;13;6
41;1;2;3;1;ab;ab;4;ab;5;7;9;ab;10;8;ab;11;14;12;15;13;6
42;1;2;3;1;ab;ab;4;ab;5;6;8;ab;9;7;ab;10;13;11;14;12;ab
43;1;2;3;1;ab;ab;4;ab;5;6;8;ab;9;7;ab;10;13;11;14;12;ab
44;1;2;3;1;ab;ab;4;ab;5;6;8;ab;9;7;ab;10;13;11;14;12;ab
45;1;2;3;1;ab;ab;4;ab;5;6;8;ab;9;7;ab;10;14;11;13;12;ab
46;1;2;3;1;ab;ab;4;ab;5;6;8;ab;9;7;ab;10;14;11;13;12;ab
47;0;4;2;1;ab;ab;3;ab;5;7;9;ab;8;6;ab;14;10;11;13;12;ab
48;0;4;1;14;ab;ab;2;ab;3;5;8;ab;7;6;ab;13;9;11;12;10;ab
49;0;4;1;14;ab;ab;2;ab;3;5;7;ab;8;6;ab;13;9;12;11;10;ab
50;0;4;1;14;ab;ab;2;ab;3;5;8;ab;7;6;ab;13;9;12;11;10;ab
