;sc;HAM;BOT;VET;RAI;VER;RIC;MAG;ALO;SAI;GRO;VAN;GAS;OCO;LEC;PER;HUL;ERI;STR;SIR;HAR
0;1;1;3;2;4;5;6;7;11;8;ab;14;ab;10;9;13;ab;16;12;17;15
1;1;1;3;2;4;5;6;7;11;8;ab;14;ab;10;9;13;ab;15;12;17;16
2;1;1;3;2;4;5;6;7;11;8;ab;14;ab;10;9;13;ab;15;12;17;16
3;1;1;3;2;4;5;6;7;11;8;ab;14;ab;10;9;13;ab;15;12;17;16
4;1;1;3;2;4;5;6;7;11;8;ab;14;ab;10;9;13;ab;15;12;17;16
5;1;1;3;2;4;5;6;7;11;8;ab;14;ab;10;9;13;ab;15;12;17;16
6;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
7;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
8;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
9;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
10;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
11;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
12;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
13;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
14;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
15;0;1;3;2;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
16;0;1;2;3;4;5;6;7;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
17;0;1;2;7;3;4;5;6;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
18;0;1;2;7;3;4;5;6;10;8;ab;14;ab;11;9;13;ab;15;12;16;17
19;0;1;7;5;2;3;4;6;9;8;ab;13;ab;11;10;12;ab;15;14;16;17
20;0;1;6;5;2;3;4;7;10;8;ab;12;ab;9;16;11;ab;13;17;14;15
21;0;1;6;5;2;3;4;7;16;8;ab;11;ab;9;15;10;ab;12;17;13;14
22;0;1;6;5;2;3;4;7;16;8;ab;11;ab;9;15;10;ab;12;17;13;14
23;0;1;6;5;3;2;4;7;15;8;ab;11;ab;9;14;10;ab;12;17;16;13
24;0;1;5;4;11;2;3;6;15;7;ab;10;ab;8;13;9;ab;12;16;17;14
25;0;2;5;4;ab;1;3;6;13;10;ab;8;ab;7;12;11;ab;9;15;16;14
26;0;2;5;4;ab;1;3;6;12;10;ab;8;ab;7;11;15;ab;9;14;16;13
27;0;2;5;4;ab;1;3;6;12;10;ab;8;ab;7;11;15;ab;9;14;16;13
28;0;2;5;4;ab;1;3;6;12;10;ab;8;ab;7;11;15;ab;9;14;16;13
29;0;2;5;4;ab;1;3;6;11;9;ab;7;ab;16;10;14;ab;8;13;15;12
