;sc;VET;BOT;VER;HAM;RAI;RIC;HUL;OCO;SAI;PER;MAG;HAR;LEC;ALO;VAN;STR;SIR;ERI;GAS;GRO
0;1;1;2;3;4;6;5;8;7;9;10;12;ab;11;14;18;ab;13;17;15;16
1;1;1;2;3;4;6;5;8;7;9;10;12;ab;11;14;18;ab;13;17;15;16
2;1;1;2;3;4;6;5;8;7;9;10;12;ab;11;14;18;ab;13;17;15;16
3;1;1;2;3;4;6;5;8;7;9;10;12;ab;11;14;18;ab;13;17;15;16
4;0;1;2;3;4;6;5;8;7;9;14;12;ab;10;11;18;ab;15;17;13;16
5;0;1;2;3;4;6;5;8;7;9;14;12;ab;10;11;18;ab;15;17;13;16
6;0;1;2;3;4;6;5;8;7;9;14;12;ab;10;11;18;ab;16;17;13;15
7;0;1;2;3;4;6;5;8;7;9;14;12;ab;10;11;18;ab;16;17;13;15
8;0;1;2;3;4;6;5;8;7;9;18;13;ab;10;11;17;ab;15;16;12;14
9;0;1;2;3;4;6;5;8;7;9;18;13;ab;10;11;17;ab;15;16;12;14
10;0;1;2;3;4;6;5;7;14;8;18;12;ab;9;10;17;ab;15;16;11;13
11;0;1;2;3;4;6;5;7;14;8;18;12;ab;9;10;17;ab;15;16;11;13
12;0;1;2;3;4;6;5;13;14;7;18;11;ab;8;9;17;ab;15;16;10;12
13;0;1;2;3;4;6;5;13;14;12;18;10;ab;7;8;17;ab;15;16;9;11
14;0;1;2;3;4;6;5;12;14;13;18;10;ab;7;8;17;ab;15;16;9;11
15;0;1;2;5;6;4;3;12;14;13;17;10;ab;7;8;18;ab;15;16;9;11
16;0;1;2;5;6;3;4;12;14;13;17;10;ab;7;8;18;ab;15;16;9;11
17;0;1;2;4;6;3;5;11;13;12;17;9;ab;7;14;18;ab;15;16;8;10
18;0;1;2;4;6;3;5;10;12;11;16;8;ab;13;14;18;ab;15;17;7;9
19;0;1;2;4;6;3;5;10;12;11;16;8;ab;14;13;18;ab;15;17;7;9
20;0;1;2;4;6;3;5;10;12;11;15;8;ab;14;13;18;ab;16;17;7;9
21;0;1;2;4;6;3;5;9;11;10;15;14;ab;13;12;18;ab;16;17;7;8
22;0;1;2;4;6;3;5;8;10;9;14;15;ab;13;11;18;ab;16;17;12;7
23;0;1;2;4;6;3;5;7;10;9;14;15;ab;12;11;18;ab;16;17;13;8
24;0;1;2;4;6;3;5;7;10;8;14;15;ab;12;11;17;ab;16;18;13;9
25;0;1;2;4;6;3;5;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
26;0;1;2;4;6;3;5;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
27;0;1;2;4;6;3;5;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
28;0;1;2;4;6;3;5;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
29;0;1;2;4;6;3;5;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
30;0;1;2;4;6;3;5;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
31;0;1;2;3;6;5;4;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
32;0;1;2;3;5;6;4;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
33;0;1;2;3;5;6;4;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
34;0;1;2;3;5;6;4;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
35;0;1;2;3;5;6;4;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
36;0;1;2;3;5;6;4;7;10;8;14;15;ab;12;11;16;ab;18;17;13;9
