;sc;HAM;BOT;VET;VER;RIC;RAI;SAI;LEC;MAG;GRO;OCO;HUL;PER;GAS;ERI;ALO;VAN;SIR;STR;HAR
0;1;1;18;17;2;4;7;3;6;5;8;ab;10;9;ab;11;16;12;15;14;13
1;1;1;18;17;2;4;7;3;6;5;8;ab;10;9;ab;11;16;12;15;14;13
2;1;1;18;17;2;4;7;3;6;5;8;ab;10;9;ab;11;16;12;15;14;13
3;1;1;18;17;2;4;7;3;6;5;8;ab;10;9;ab;11;16;12;15;14;13
4;1;1;18;17;2;4;7;3;6;5;8;ab;10;9;ab;11;16;12;15;14;13
5;0;1;16;15;2;4;6;3;7;5;8;ab;10;9;ab;11;18;12;17;14;13
6;0;1;16;13;2;4;6;3;7;5;8;ab;10;9;ab;11;18;12;17;15;14
7;0;1;14;12;2;4;5;3;7;6;8;ab;10;9;ab;13;18;11;17;16;15
8;0;1;13;11;2;3;5;4;7;6;8;ab;10;9;ab;15;18;12;17;16;14
9;0;1;13;11;2;3;4;5;7;6;8;ab;10;9;ab;15;18;12;17;16;14
10;0;1;12;10;2;3;4;5;7;6;8;ab;11;9;ab;15;17;13;18;16;14
11;0;1;12;10;2;3;4;5;7;6;8;ab;11;9;ab;15;17;13;18;16;14
12;0;1;12;9;2;3;4;5;7;6;8;ab;11;10;ab;15;17;13;18;16;14
13;0;1;12;8;2;3;4;5;7;6;9;ab;10;11;ab;15;17;13;18;16;14
14;0;1;11;8;2;3;4;5;7;6;9;ab;10;12;ab;15;17;13;18;16;14
15;0;1;11;8;2;3;4;5;7;6;10;ab;9;12;ab;15;17;13;18;16;14
16;0;1;11;7;2;3;4;5;8;6;10;ab;9;12;ab;15;17;13;18;16;14
17;0;1;11;6;2;3;4;5;8;7;10;ab;9;12;ab;15;16;13;18;17;14
18;0;1;10;6;2;3;4;5;8;7;11;ab;9;12;ab;15;16;13;18;17;14
19;0;1;10;5;2;3;4;6;8;7;11;ab;9;12;ab;15;16;13;18;17;14
20;0;1;10;5;2;3;4;6;8;7;11;ab;9;12;ab;15;16;13;18;17;14
21;0;1;10;5;2;3;4;6;8;7;11;ab;9;12;ab;15;16;13;18;17;14
22;0;1;10;5;2;3;4;6;8;7;11;ab;9;12;ab;15;16;13;18;17;14
23;0;1;10;5;2;3;4;6;9;7;11;ab;8;12;ab;15;16;13;18;17;14
24;0;1;10;5;4;2;3;6;9;7;11;ab;8;12;ab;15;16;13;18;17;14
25;0;1;9;5;4;2;3;14;8;6;10;ab;7;11;ab;15;16;12;18;17;13
26;0;1;9;5;4;2;3;14;8;6;10;ab;7;11;ab;15;16;12;18;17;13
27;0;1;7;5;3;4;2;13;8;11;9;ab;6;ab;ab;14;15;10;17;16;12
28;0;1;7;4;3;5;2;11;8;13;9;ab;6;ab;ab;14;15;10;17;16;12
29;0;1;7;4;3;5;2;11;8;12;9;ab;6;ab;ab;14;15;10;17;16;13
30;0;1;7;4;3;5;2;10;15;11;8;ab;6;ab;ab;13;14;9;17;16;12
31;0;1;7;4;3;5;2;10;15;11;8;ab;6;ab;ab;13;14;9;17;16;12
32;0;2;7;4;3;5;1;10;15;11;8;ab;6;ab;ab;13;14;9;17;16;12
33;0;1;6;4;2;3;5;9;14;10;16;ab;7;ab;ab;12;13;8;17;15;11
34;0;1;6;4;2;3;5;8;12;10;16;ab;7;ab;ab;17;13;9;15;14;11
35;0;1;6;4;2;3;5;8;12;10;15;ab;7;ab;ab;17;13;9;16;14;11
36;0;1;6;4;2;3;5;7;12;8;14;ab;10;ab;ab;17;13;9;16;15;11
37;0;1;6;4;2;3;5;7;11;8;13;ab;10;ab;ab;17;12;9;15;14;16
38;0;1;9;5;2;3;4;6;11;7;13;ab;10;ab;ab;16;12;8;15;14;17
39;0;1;8;5;2;3;4;6;10;7;11;ab;9;ab;ab;16;12;13;15;14;17
40;0;1;8;5;2;3;4;6;10;7;11;ab;9;ab;ab;16;12;13;15;14;17
41;0;1;8;5;2;3;4;6;10;7;11;ab;9;ab;ab;16;12;13;15;14;17
42;0;1;8;5;2;3;4;6;10;7;11;ab;9;ab;ab;16;12;13;15;14;17
43;0;1;8;5;2;3;4;6;10;7;11;ab;9;ab;ab;16;12;13;15;14;17
44;0;1;8;5;2;3;4;6;10;7;11;ab;9;ab;ab;16;13;12;15;14;17
45;0;1;8;5;2;3;4;6;10;7;11;ab;9;ab;ab;15;17;12;14;13;16
46;0;1;8;5;2;4;3;6;10;7;11;ab;9;ab;ab;14;17;12;15;13;16
47;0;1;8;5;2;4;3;6;10;7;11;ab;9;ab;ab;13;17;12;16;14;15
48;0;1;8;5;2;4;3;6;10;7;11;ab;9;ab;ab;13;16;12;15;17;14
49;0;1;7;5;2;4;3;8;10;6;11;ab;9;ab;ab;13;16;12;15;17;14
50;1;1;7;5;2;4;3;8;10;6;11;ab;9;ab;ab;13;16;12;15;17;14
51;1;1;7;5;2;4;3;8;10;6;11;ab;9;ab;ab;13;16;12;15;17;14
52;0;1;7;5;2;4;3;8;10;6;11;ab;9;ab;ab;13;16;12;15;17;14
