;sc;BOT;HAM;RAI;VER;GRO;VET;RIC;MAG;SAI;HUL;OCO;GAS;STR;VAN;PER;SIR;LEC;ERI;HAR;ALO
0;0;2;1;4;3;6;8;5;7;12;9;10;15;11;20;13;17;14;16;18;19
1;0;2;1;4;3;6;7;5;8;11;9;10;14;12;20;13;15;19;16;17;18
2;0;2;1;4;3;7;6;5;8;11;9;10;14;12;20;13;15;19;16;17;18
3;0;2;1;4;3;7;6;5;8;11;9;10;14;12;20;13;15;19;16;17;18
4;0;2;1;4;3;7;6;5;8;11;9;10;15;12;20;13;14;19;16;17;18
5;0;2;1;4;3;7;6;5;8;11;9;10;15;13;20;12;14;19;16;17;18
6;0;2;1;4;3;7;6;5;8;11;9;10;15;13;20;12;14;18;16;17;19
7;0;2;1;4;3;7;6;5;8;11;9;10;15;13;20;12;14;18;16;17;19
8;0;2;1;4;3;7;6;5;8;11;9;10;15;13;20;12;14;18;16;17;19
9;0;2;1;4;3;7;6;5;8;11;9;10;15;13;20;12;14;17;16;18;19
10;0;2;1;4;3;7;6;5;8;10;12;9;15;13;20;11;14;17;16;18;19
11;0;2;1;4;3;7;6;5;8;11;ab;9;13;12;19;10;14;16;15;17;18
12;0;2;1;4;3;7;6;5;8;11;ab;9;13;12;19;10;14;15;16;17;18
13;0;ab;1;3;2;6;5;4;7;10;ab;8;12;11;18;9;13;14;15;16;17
14;1;ab;1;3;2;6;5;4;7;9;ab;8;12;11;18;10;13;14;15;16;17
15;1;ab;1;3;2;8;5;4;6;10;ab;9;15;14;18;7;11;16;12;13;17
16;0;ab;1;3;2;8;5;4;6;10;ab;9;15;14;18;7;11;16;12;13;17
17;0;ab;1;3;2;8;5;4;6;10;ab;9;15;14;18;7;11;16;12;13;17
18;0;ab;1;3;2;8;5;4;6;10;ab;9;15;14;18;7;11;16;12;13;17
19;0;ab;1;4;2;8;5;3;6;10;ab;9;15;14;18;7;11;16;12;13;17
20;0;ab;1;4;2;8;5;3;6;10;ab;9;15;14;18;7;11;16;12;13;17
21;0;ab;1;4;2;8;5;3;6;10;ab;9;15;14;18;7;11;16;12;13;17
22;0;ab;1;4;2;8;5;3;6;10;ab;9;15;14;18;7;11;16;12;13;17
23;0;ab;1;4;2;8;5;3;6;10;ab;9;15;14;18;7;13;16;11;12;17
24;0;ab;1;4;2;8;5;3;6;10;ab;9;13;14;18;7;17;15;11;12;16
25;0;ab;4;3;1;8;5;2;6;10;ab;9;13;14;18;7;17;15;11;12;16
26;0;ab;4;3;1;7;5;2;6;10;ab;9;12;14;18;8;17;15;11;13;16
27;0;ab;4;3;1;7;5;2;6;9;ab;8;12;15;18;11;17;14;10;13;16
28;0;ab;4;3;1;6;5;2;9;8;ab;7;12;15;18;11;17;14;10;13;16
29;0;ab;4;3;1;6;5;2;9;8;ab;7;12;15;18;10;17;14;11;13;16
30;0;ab;4;3;1;6;5;2;9;8;ab;7;12;15;18;10;17;14;11;13;16
31;0;ab;4;3;1;6;5;2;8;9;ab;7;12;15;18;10;17;14;11;13;16
32;0;ab;4;3;1;6;5;2;8;9;ab;7;12;15;18;10;17;14;11;13;16
33;0;ab;4;3;1;6;5;2;8;12;ab;7;11;15;18;9;17;14;10;13;16
34;0;ab;4;3;1;6;5;2;8;17;ab;7;11;14;18;9;16;13;10;12;15
35;0;ab;4;3;1;6;5;2;8;17;ab;7;11;15;18;9;16;13;10;12;14
36;0;ab;4;3;1;6;5;2;8;16;ab;7;11;15;18;9;17;13;10;12;14
37;0;ab;3;2;1;6;4;5;8;16;ab;7;11;15;18;9;17;13;10;12;14
38;0;ab;4;2;1;6;3;5;8;16;ab;7;11;15;18;9;17;13;10;12;14
39;0;ab;4;2;1;6;3;5;8;16;ab;7;11;15;18;9;17;13;10;12;14
40;0;ab;4;2;1;6;3;5;8;16;ab;7;11;15;18;9;17;13;10;12;14
41;0;ab;4;2;1;6;3;5;8;16;ab;7;11;15;18;9;17;13;10;12;14
42;0;ab;4;2;1;6;3;5;8;16;ab;7;11;15;18;9;17;13;10;12;14
43;0;ab;4;2;1;6;3;5;8;16;ab;7;11;15;18;9;17;13;10;12;14
44;0;ab;4;2;1;6;3;5;8;15;ab;7;11;16;18;9;17;13;10;12;14
45;0;ab;4;2;1;6;3;5;8;15;ab;7;10;16;18;9;17;12;14;11;13
46;0;ab;4;2;1;6;3;5;8;15;ab;7;10;16;18;9;17;12;14;11;13
47;0;ab;4;2;1;6;3;5;7;15;ab;8;10;16;18;9;17;12;14;11;13
48;0;ab;4;2;1;6;3;5;7;15;ab;8;10;16;18;9;17;12;14;11;13
49;0;ab;4;2;1;6;3;5;7;15;ab;8;10;16;18;9;17;12;14;11;13
50;0;ab;4;2;1;6;3;5;7;15;ab;8;10;16;18;9;17;12;14;11;13
51;0;ab;4;2;1;6;3;5;7;15;ab;8;10;16;18;9;17;12;14;11;13
52;0;ab;5;2;1;6;3;4;7;15;ab;8;10;16;18;9;17;12;14;11;13
53;0;ab;4;2;1;5;3;ab;6;13;ab;7;9;14;17;8;16;10;12;15;11
54;0;ab;4;2;1;5;3;ab;6;13;ab;7;9;14;16;8;15;10;12;ab;11
55;0;ab;4;2;1;5;3;ab;6;13;ab;7;9;14;16;8;15;10;12;ab;11
56;0;ab;4;2;1;5;3;ab;6;13;ab;7;9;14;16;8;15;10;12;ab;11
57;0;ab;4;2;1;5;3;ab;6;13;ab;7;9;14;16;8;15;10;12;ab;11
58;0;ab;4;2;1;5;3;ab;6;13;ab;7;9;14;16;8;15;10;12;ab;11
59;0;ab;4;2;1;5;3;ab;6;13;ab;8;9;14;16;7;15;10;12;ab;11
60;0;ab;4;2;1;5;3;ab;6;13;ab;8;9;14;16;7;15;11;12;ab;10
61;0;ab;4;2;1;5;3;ab;6;13;ab;8;9;14;16;7;15;11;12;ab;10
62;0;ab;ab;2;1;4;3;ab;5;12;ab;7;8;13;15;6;14;10;11;ab;9
63;0;ab;ab;2;1;4;3;ab;5;12;ab;7;9;13;15;6;14;10;11;ab;8
64;0;ab;ab;2;1;4;3;ab;5;12;ab;7;11;13;15;6;14;9;10;ab;8
65;0;ab;ab;2;1;4;3;ab;5;12;ab;7;11;13;15;6;14;9;10;ab;8
66;0;ab;ab;2;1;4;3;ab;5;12;ab;7;11;13;15;6;14;10;9;ab;8
67;0;ab;ab;2;1;4;3;ab;5;12;ab;7;11;13;15;6;14;10;9;ab;8
68;0;ab;ab;2;1;4;3;ab;5;12;ab;7;11;13;15;6;14;10;9;ab;8
69;0;ab;ab;2;1;4;3;ab;5;12;ab;6;11;14;15;7;13;9;10;ab;8
70;0;ab;ab;2;1;4;3;ab;5;12;ab;6;11;14;15;7;13;9;10;ab;8
