;sc;BOT;HAM;LEC;VER;GAS;VET;RIC;NOR;ALB;HUL;GIO;RAI;SAI;GRO;PER;MAG;KVY;STR;RUS;KUB
0;0;1;2;3;4;6;5;8;7;10;9;13;12;11;19;14;20;16;15;17;18
1;0;1;2;3;4;6;5;8;7;10;9;13;12;11;19;14;20;16;15;17;18
2;0;1;2;3;4;6;5;8;7;10;9;15;12;11;19;13;20;16;14;17;18
3;0;1;2;3;4;6;5;8;7;10;9;16;12;11;19;13;20;15;14;17;18
4;0;1;2;3;4;6;5;8;7;10;9;16;13;11;19;12;20;15;14;17;18
5;0;1;2;3;4;6;5;8;7;10;9;16;13;11;19;12;20;15;14;17;18
6;0;1;2;3;4;6;5;8;7;10;9;16;13;11;19;12;ab;15;14;17;18
7;0;1;2;3;4;6;5;8;7;10;9;16;13;11;19;12;ab;15;14;17;18
8;0;1;2;3;4;6;5;8;7;10;9;16;13;11;19;12;ab;15;14;17;18
9;0;1;2;3;4;6;5;8;7;10;9;16;13;11;ab;12;ab;15;14;17;18
10;0;1;2;3;4;6;5;8;7;10;9;16;13;11;ab;12;ab;15;14;17;18
11;0;1;2;3;4;5;6;8;7;9;10;16;13;11;ab;12;ab;15;14;17;18
12;0;1;2;3;4;10;5;15;6;7;8;14;12;9;ab;11;ab;18;13;16;17
13;0;1;2;4;5;7;3;11;12;14;15;10;9;6;ab;8;ab;17;18;13;16
14;0;1;2;4;5;7;3;11;12;13;15;10;9;6;ab;8;ab;17;18;14;16
15;0;1;2;4;5;7;3;11;12;13;14;10;9;6;ab;8;ab;16;17;15;18
16;0;3;1;4;5;7;2;11;12;13;14;10;9;6;ab;8;ab;16;17;15;18
17;0;3;1;4;5;7;2;9;11;12;13;10;15;6;ab;8;ab;16;17;14;18
18;0;3;1;4;5;7;2;8;9;10;11;ab;15;6;ab;12;ab;13;16;14;17
19;1;3;1;5;4;7;2;8;9;10;11;ab;14;6;ab;12;ab;13;16;15;17
20;1;2;1;4;6;5;3;11;8;9;10;ab;15;7;ab;13;ab;12;16;14;17
21;1;2;1;6;5;4;3;11;8;9;10;ab;13;7;ab;12;ab;15;14;16;17
22;1;2;1;6;5;4;3;11;8;9;10;ab;13;7;ab;12;ab;15;14;16;17
23;0;2;1;6;5;4;3;10;8;9;12;ab;11;7;ab;17;ab;14;13;15;16
24;0;2;1;6;5;4;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
25;0;2;1;6;5;4;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
26;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
27;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
28;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
29;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
30;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
31;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
32;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
33;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
34;0;2;1;6;4;5;3;9;8;10;12;ab;11;7;ab;17;ab;14;13;15;16
35;0;2;1;5;4;6;3;8;14;9;11;ab;10;7;ab;17;ab;13;12;15;16
36;0;2;1;3;6;4;5;8;14;9;11;ab;10;7;ab;17;ab;13;12;15;16
37;0;2;1;3;5;4;14;7;13;8;10;ab;9;6;ab;17;ab;12;11;15;16
38;0;2;1;3;5;4;17;7;13;8;10;ab;9;6;ab;16;ab;11;12;14;15
39;0;2;1;3;5;4;17;7;12;8;10;ab;9;6;ab;16;ab;11;14;13;15
40;0;2;1;3;5;4;17;7;12;8;10;ab;9;6;ab;16;ab;11;13;14;15
41;0;2;1;3;5;4;17;7;12;8;10;ab;9;6;ab;16;ab;11;13;14;15
42;0;2;1;3;5;4;17;7;12;9;11;ab;8;6;ab;16;ab;10;13;14;15
43;0;2;1;3;5;4;17;7;12;9;11;ab;8;6;ab;16;ab;10;13;14;15
44;0;2;1;3;5;4;17;7;12;10;11;ab;8;6;ab;16;ab;9;13;14;15
45;0;2;1;3;5;4;17;7;12;10;11;ab;8;6;ab;16;ab;9;13;14;15
46;0;2;1;3;5;4;16;7;12;10;11;ab;8;6;ab;17;ab;9;13;14;15
47;0;2;1;3;5;4;16;7;12;10;11;ab;8;6;ab;17;ab;9;13;14;15
48;0;2;1;3;5;4;15;7;12;10;11;ab;8;6;ab;17;ab;9;13;14;16
49;0;2;1;3;5;4;15;7;12;10;11;ab;8;6;ab;17;ab;9;13;14;16
50;0;2;1;3;5;4;15;7;12;11;10;ab;8;6;ab;17;ab;9;13;14;16
51;0;2;1;3;5;4;16;7;11;12;10;ab;8;6;ab;17;ab;9;13;14;15
