;sc;HAM;VER;BOT;GAS;RAI;GRO;SAI;PER;HUL;LEC;GIO;MAG;RIC;KVY;STR;ALB;RUS;KUB;NOR;VET
0;0;1;4;2;8;3;7;9;11;5;6;12;10;13;17;15;16;18;20;19;14
1;0;1;3;2;8;4;7;9;ab;5;6;11;10;13;16;14;15;18;19;17;12
2;1;1;3;2;9;4;7;10;ab;5;6;12;8;13;16;11;19;15;17;14;18
3;1;1;4;3;18;11;15;13;ab;7;6;16;2;17;19;5;14;9;10;8;12
4;0;1;3;2;18;8;15;11;ab;6;5;16;4;17;19;7;13;12;14;9;10
5;0;1;3;2;19;7;15;10;ab;5;4;12;6;16;18;9;11;14;17;13;8
6;0;1;3;2;16;7;12;9;ab;5;4;11;6;14;15;13;10;17;19;18;8
7;0;1;3;2;15;6;11;8;ab;5;4;10;12;13;14;17;9;18;19;16;7
8;0;1;3;2;14;6;11;8;ab;5;4;10;16;12;13;17;9;18;19;15;7
9;0;1;3;2;14;6;11;8;ab;5;4;10;16;12;13;17;9;18;19;15;7
10;0;1;3;2;14;6;11;8;ab;5;4;10;16;12;13;17;9;18;19;15;7
11;0;1;3;2;14;6;11;8;ab;5;4;10;16;12;13;17;9;18;19;15;7
12;0;1;3;2;14;6;11;8;ab;5;4;10;16;12;13;17;9;18;19;15;7
13;0;1;3;2;12;6;11;8;ab;5;4;10;15;ab;13;16;9;17;18;14;7
14;1;1;3;2;12;6;11;8;ab;5;4;10;15;ab;13;16;9;17;18;14;7
15;1;1;3;2;12;5;11;8;ab;6;4;10;15;ab;13;16;9;17;18;14;7
16;0;1;3;2;12;5;11;8;ab;6;4;10;15;ab;13;16;9;17;18;14;7
17;0;1;3;2;10;6;11;14;ab;5;4;9;15;ab;12;16;8;17;18;13;7
18;0;1;3;2;10;6;11;14;ab;5;4;9;15;ab;12;16;8;17;18;13;7
19;0;1;3;2;10;6;11;14;ab;5;4;9;16;ab;12;15;8;17;18;13;7
20;0;1;3;2;10;6;11;14;ab;5;4;9;16;ab;12;15;8;17;18;13;7
21;0;1;3;2;10;6;11;14;ab;5;4;9;16;ab;12;15;8;17;18;13;7
22;0;1;3;2;10;6;11;14;ab;5;4;9;16;ab;12;15;7;17;18;13;8
23;0;1;3;2;9;6;10;14;ab;5;4;8;16;ab;12;15;7;17;18;13;11
24;0;1;3;2;9;6;10;12;ab;5;4;8;16;ab;13;15;7;17;18;14;11
25;0;1;4;2;9;6;11;12;ab;5;3;8;14;ab;13;15;7;16;17;ab;10
26;0;1;4;3;11;7;13;9;ab;5;2;10;14;ab;12;15;6;16;17;ab;8
27;1;1;3;2;9;6;13;8;ab;4;ab;10;12;ab;11;16;5;14;15;ab;7
28;1;1;3;2;9;7;13;6;ab;4;ab;10;11;ab;12;16;5;14;15;ab;8
29;1;5;1;2;9;7;13;6;ab;3;ab;10;12;ab;11;16;4;14;15;ab;8
30;1;5;1;3;9;7;13;6;ab;2;ab;10;12;ab;11;16;4;14;15;ab;8
31;1;5;1;3;9;7;13;6;ab;2;ab;10;12;ab;11;15;4;14;16;ab;8
32;1;5;1;3;9;7;13;6;ab;2;ab;10;12;ab;11;15;4;14;16;ab;8
33;0;5;1;3;9;7;12;6;ab;2;ab;10;13;ab;11;15;4;14;16;ab;8
34;0;5;1;3;9;7;12;6;ab;2;ab;10;13;ab;11;15;4;14;16;ab;8
35;0;4;1;3;9;7;12;6;ab;2;ab;10;13;ab;11;15;5;14;16;ab;8
36;0;4;1;2;9;7;12;6;ab;3;ab;10;13;ab;11;15;5;14;16;ab;8
37;0;3;1;2;9;7;12;6;ab;4;ab;10;13;ab;11;15;5;14;16;ab;8
38;0;3;1;2;8;9;12;6;ab;4;ab;10;13;ab;11;15;5;14;16;ab;7
39;0;3;1;2;7;8;11;5;ab;ab;ab;9;12;ab;10;13;4;14;15;ab;6
40;1;3;1;2;6;8;11;5;ab;ab;ab;9;12;ab;10;13;4;14;15;ab;7
41;1;3;1;2;6;7;12;5;ab;ab;ab;8;11;ab;9;14;4;13;15;ab;10
42;1;3;1;2;6;7;11;5;ab;ab;ab;8;12;ab;9;14;4;13;15;ab;10
43;1;3;1;2;6;7;11;5;ab;ab;ab;8;12;ab;9;14;4;13;15;ab;10
44;1;3;1;2;6;7;10;5;ab;ab;ab;8;14;ab;12;15;4;11;13;ab;9
