;sc;VER;BOT;HAM;LEC;VET;GAS;NOR;SAI;GRO;RAI;HUL;ALB;KVY;MAG;RUS;PER;GIO;STR;KUB;RIC
0;0;1;4;2;3;5;9;7;6;10;8;11;13;15;16;14;12;18;17;20;19
1;0;1;5;2;3;4;9;7;6;10;8;11;13;15;16;14;12;18;17;20;19
2;0;1;5;2;3;4;9;7;6;10;8;11;13;15;16;14;12;18;17;20;19
3;0;1;5;2;3;4;9;7;6;10;8;11;13;15;16;14;12;18;17;20;19
4;0;1;6;2;3;4;9;7;5;10;8;11;13;15;16;14;12;18;17;20;19
5;0;1;20;2;3;4;8;6;5;9;7;10;12;14;15;13;11;17;16;19;18
6;0;1;20;2;3;4;8;6;5;9;7;10;12;14;15;13;11;17;16;19;18
7;0;1;20;2;3;4;8;6;5;9;7;10;12;13;15;14;11;18;16;19;17
8;0;1;20;2;3;4;8;6;5;9;7;10;12;13;15;14;11;18;16;19;17
9;0;1;20;2;3;4;8;6;5;9;7;10;12;13;15;14;11;18;17;19;16
10;0;1;19;2;3;4;8;6;5;9;7;10;12;13;15;14;11;18;17;20;16
11;0;1;19;2;3;4;8;6;5;9;7;10;12;13;14;15;11;18;17;20;16
12;0;1;18;2;3;4;8;6;5;9;7;10;12;13;14;15;11;19;17;20;16
13;0;1;17;2;3;4;8;6;5;9;7;10;12;13;14;16;11;19;18;20;15
14;0;1;16;2;3;4;8;6;5;9;7;10;12;13;14;17;11;19;18;20;15
15;0;1;16;2;3;4;8;6;5;9;7;10;12;13;14;17;11;20;18;19;15
16;0;1;16;2;3;4;8;6;5;9;7;10;12;13;14;18;11;20;19;17;15
17;0;1;16;2;3;4;8;6;5;9;7;10;13;11;14;18;12;20;19;17;15
18;0;1;15;2;3;4;8;6;5;10;7;9;12;11;13;17;16;19;18;20;14
19;0;1;14;2;3;4;8;6;5;16;7;9;11;10;12;17;15;19;18;20;13
20;0;1;14;2;3;4;8;6;5;16;7;9;10;11;12;17;15;19;18;20;13
21;0;1;13;2;3;4;8;6;5;15;7;9;10;16;11;17;14;19;18;20;12
