;sc;LEC;HAM;BOT;VET;RIC;HUL;SAI;ALB2;STR;GIO;MAG;KVY;GRO;RUS;KUB;NOR;GAS2;PER;VER;RAI
0;0;1;2;3;5;6;4;8;9;7;10;11;12;16;15;13;18;14;17;20;19
1;0;1;2;3;4;6;5;8;9;7;10;11;12;16;15;14;18;13;17;20;19
2;0;1;2;3;4;6;5;8;11;7;9;10;12;17;15;14;18;13;16;20;19
3;0;1;2;3;4;6;5;8;11;7;9;10;12;17;16;14;18;13;15;20;19
4;0;1;2;3;4;5;6;8;11;7;9;10;12;16;18;15;17;13;14;20;19
5;0;1;2;3;19;4;5;6;9;12;7;8;10;13;18;15;16;14;11;20;17
6;0;1;2;3;20;4;5;6;9;12;7;8;10;19;17;15;14;13;11;18;16
7;0;1;2;3;19;4;5;6;8;12;7;9;10;20;17;15;13;14;11;18;16
8;0;1;2;3;19;4;5;6;8;12;7;10;9;20;17;16;13;14;11;18;15
9;0;1;2;3;19;4;5;6;8;12;7;10;9;20;16;18;13;14;11;17;15
10;0;1;2;3;19;4;5;6;8;12;7;10;9;20;17;18;13;14;11;16;15
11;0;1;2;3;19;4;5;6;8;12;7;10;9;20;17;18;13;14;11;16;15
12;0;1;2;3;20;4;5;6;8;12;7;10;9;19;17;18;13;14;11;16;15
13;0;1;2;3;20;4;5;6;8;12;7;10;9;19;17;18;13;14;11;16;15
14;0;1;2;3;20;4;5;6;7;14;8;10;9;19;17;18;12;13;11;15;16
15;0;1;2;3;20;4;5;6;7;17;8;10;9;19;16;18;12;13;11;14;15
16;0;1;2;3;20;4;5;6;7;17;8;10;9;19;16;18;12;13;11;14;15
17;0;1;2;3;20;4;5;6;7;17;8;10;9;19;16;18;12;14;11;13;15
18;0;1;3;2;20;4;5;6;7;17;8;10;9;19;16;18;12;14;11;13;15
19;0;2;5;1;20;3;4;6;7;16;8;13;9;19;15;17;11;14;10;12;18
20;0;4;5;1;20;2;3;6;7;15;9;16;8;19;14;17;11;13;10;12;18
21;0;3;5;1;20;2;4;6;7;16;13;15;8;19;14;17;11;12;9;10;18
22;0;3;4;1;19;2;5;6;7;17;13;14;8;20;15;16;12;11;9;10;18
23;0;3;4;1;19;2;5;6;7;17;12;13;8;20;16;15;14;11;9;10;18
24;0;3;4;1;18;2;5;6;7;16;12;13;8;20;17;15;14;11;9;10;19
25;0;2;3;1;18;4;5;6;7;16;12;13;8;20;17;15;14;11;9;10;19
26;0;2;3;1;18;4;5;6;12;16;11;13;7;19;17;15;14;9;8;10;20
27;0;1;2;4;17;3;5;ab;10;15;9;11;6;18;16;14;12;8;7;13;19
28;1;1;2;4;16;3;5;ab;8;14;7;9;6;18;15;17;11;12;10;13;19
29;0;1;2;3;15;4;5;ab;7;13;6;8;ab;18;14;16;10;11;9;12;17
30;1;1;2;3;15;4;5;ab;7;13;6;9;ab;18;14;16;10;11;8;12;17
31;0;1;2;3;15;4;5;ab;7;13;6;9;ab;18;14;16;10;12;8;11;17
32;0;1;2;3;14;4;5;ab;6;13;7;9;ab;18;15;16;10;12;8;11;17
33;0;1;2;3;14;4;5;ab;6;13;7;12;ab;18;15;16;9;11;8;10;17
34;0;1;2;3;13;4;5;ab;6;12;7;15;ab;18;14;17;10;11;8;9;16
35;0;1;2;3;13;4;5;ab;6;12;7;15;ab;18;14;17;10;11;8;9;16
36;0;1;2;3;13;4;5;ab;6;12;7;15;ab;18;14;17;10;11;8;9;16
37;0;1;2;3;13;4;5;ab;6;12;8;15;ab;18;14;17;10;11;7;9;16
38;0;1;2;3;13;4;5;ab;6;12;8;15;ab;18;14;17;10;11;7;9;16
39;0;1;2;3;13;4;5;ab;6;12;8;15;ab;18;14;17;10;11;7;9;16
40;0;1;2;3;14;4;5;ab;6;12;9;15;ab;18;13;17;10;11;7;8;16
41;0;1;3;2;15;4;5;ab;6;12;9;14;ab;18;13;17;10;11;7;8;16
42;0;1;3;2;15;4;5;ab;6;12;9;14;ab;18;13;17;10;11;7;8;16
43;0;1;3;2;14;4;5;ab;6;12;9;ab;ab;16;13;17;10;11;7;8;15
44;0;1;3;2;14;4;5;ab;6;12;9;ab;ab;16;13;17;10;11;7;8;15
45;0;1;3;2;14;4;5;ab;6;12;9;ab;ab;16;13;17;10;11;7;8;15
46;0;1;3;2;14;4;5;ab;6;12;9;ab;ab;16;13;17;10;11;7;8;15
47;0;1;3;2;14;4;5;ab;6;12;9;ab;ab;16;13;17;10;11;7;8;15
48;0;1;3;2;14;4;5;ab;6;12;9;ab;ab;16;13;17;10;11;7;8;15
49;0;1;3;2;14;4;5;ab;6;12;9;ab;ab;16;13;17;10;11;7;8;15
50;0;1;3;2;14;4;5;ab;6;12;9;ab;ab;16;13;17;10;11;7;8;15
51;0;1;3;2;13;4;5;ab;6;12;9;ab;ab;16;14;17;10;11;7;8;15
52;0;1;3;2;13;4;5;ab;6;12;9;ab;ab;16;14;17;10;ab;7;8;15
