;sc;LEC;HAM;VET;BOT;SAI;HUL;NOR;GRO;VER;RIC;PER;GIO;MAG;STR;RAI;GAS2;RUS;KUB;KVY;ALB2
0;1;2;3;1;5;4;9;6;ab;8;19;7;12;10;11;15;13;16;17;14;18
1;1;2;3;1;5;4;9;6;ab;8;19;7;13;10;11;15;12;16;18;14;17
2;1;2;3;1;5;4;9;6;ab;8;19;7;18;10;11;14;12;15;17;13;16
3;0;2;3;1;5;4;10;6;ab;8;18;7;17;9;11;14;12;16;19;13;15
4;0;2;3;1;5;4;10;6;ab;8;18;7;17;9;11;14;12;16;19;13;15
5;0;2;3;1;5;4;9;6;ab;8;18;7;17;10;11;14;12;16;19;13;15
6;0;2;3;1;4;5;9;6;ab;8;17;7;18;10;11;14;12;16;19;13;15
7;0;2;3;1;4;5;9;6;ab;7;17;8;18;10;11;14;12;16;19;13;15
8;0;2;3;1;4;5;9;6;ab;7;16;8;18;10;11;17;12;15;19;13;14
9;0;2;3;1;4;5;9;6;ab;7;16;8;17;10;11;19;12;15;18;13;14
10;0;2;3;1;4;5;9;6;ab;7;16;8;17;10;11;19;12;15;18;13;14
11;0;2;3;1;4;5;9;7;ab;6;16;8;17;10;11;19;12;15;18;13;14
12;0;2;3;1;4;5;9;7;ab;6;16;8;17;10;11;19;12;15;18;13;14
13;0;2;3;1;4;5;8;7;ab;6;16;9;17;10;11;19;12;15;18;13;14
14;0;2;3;1;4;5;8;7;ab;6;16;9;17;10;11;18;12;15;19;13;14
15;0;2;3;1;4;5;9;7;ab;6;16;8;17;10;11;18;12;15;19;13;14
16;0;2;3;1;4;6;17;7;ab;5;15;8;16;9;10;18;11;14;19;13;12
17;0;2;3;1;4;6;17;7;ab;5;15;8;16;9;10;18;11;14;19;13;12
18;0;2;3;1;4;6;17;7;ab;5;15;8;16;9;10;18;11;14;19;13;12
19;0;2;3;1;4;6;16;8;ab;5;15;7;17;9;10;18;11;14;19;13;12
20;0;2;3;1;4;6;15;13;ab;5;16;7;17;8;9;18;10;14;19;12;11
21;0;3;2;1;4;12;14;13;ab;5;16;6;17;7;8;18;9;15;19;11;10
22;0;4;2;1;3;12;14;13;ab;5;16;6;17;7;8;18;9;15;19;11;10
23;0;4;2;1;3;11;14;12;ab;5;18;13;16;6;7;17;10;15;19;9;8
24;0;4;2;1;3;10;14;12;ab;5;ab;13;16;6;7;17;11;15;18;9;8
25;0;4;1;2;3;10;13;11;ab;5;ab;12;16;6;7;17;14;15;18;9;8
26;0;3;1;ab;2;8;12;10;ab;4;ab;11;14;5;6;15;16;13;17;9;7
27;1;3;1;ab;2;6;10;8;ab;4;ab;9;14;7;11;15;13;ab;16;12;5
28;1;2;1;ab;3;6;11;8;ab;4;ab;9;14;7;10;15;13;ab;ab;12;5
29;1;3;1;ab;2;5;11;7;ab;4;ab;8;14;6;9;15;12;ab;ab;13;10
30;1;3;1;ab;2;5;11;7;ab;4;ab;8;14;6;9;15;12;ab;ab;13;10
31;1;3;1;ab;2;5;11;7;ab;4;ab;8;14;6;10;15;12;ab;ab;13;9
32;0;3;1;ab;2;5;11;7;ab;4;ab;9;15;6;10;14;12;ab;ab;13;8
33;0;3;1;ab;2;5;11;7;ab;4;ab;9;15;6;10;14;12;ab;ab;13;8
34;0;3;1;ab;2;5;11;9;ab;4;ab;8;15;6;10;14;12;ab;ab;13;7
35;0;3;1;ab;2;5;11;9;ab;4;ab;8;15;6;10;14;13;ab;ab;12;7
36;0;3;1;ab;2;5;10;9;ab;4;ab;8;15;6;11;13;14;ab;ab;12;7
37;0;3;1;ab;2;5;10;9;ab;4;ab;8;15;6;11;13;14;ab;ab;12;7
38;0;3;1;ab;2;5;10;9;ab;4;ab;8;15;6;11;13;14;ab;ab;12;7
39;0;3;1;ab;2;5;10;9;ab;4;ab;8;15;6;11;13;14;ab;ab;12;7
40;0;3;1;ab;2;5;10;9;ab;4;ab;8;15;6;11;13;14;ab;ab;12;7
41;0;3;1;ab;2;5;10;9;ab;4;ab;8;15;7;11;13;14;ab;ab;12;6
42;0;3;1;ab;2;5;10;9;ab;4;ab;8;15;7;11;13;14;ab;ab;12;6
43;0;3;1;ab;2;5;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;6
44;0;3;1;ab;2;5;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;6
45;0;3;1;ab;2;5;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;6
46;0;3;1;ab;2;5;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;6
47;0;3;1;ab;2;6;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;5
48;0;3;1;ab;2;6;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;5
49;0;3;1;ab;2;6;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;5
50;0;3;1;ab;2;6;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;5
51;0;3;1;ab;2;6;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;5
52;0;3;1;ab;2;6;10;9;ab;4;ab;7;15;8;11;13;14;ab;ab;12;5
