;sc;VET;LEC;BOT;HAM;VER;ALB2;SAI;NOR;GAS2;GRO;GIO;STR;RAI;KVY;HUL;RIC;PER;RUS;MAG;KUB
0;0;2;3;1;4;18;7;5;6;8;14;12;9;15;17;10;16;11;19;13;20
1;0;2;3;1;4;18;7;5;6;8;14;12;9;15;17;10;16;11;19;13;20
2;0;2;4;1;3;18;7;5;6;8;14;12;9;15;17;10;16;11;19;13;20
3;0;2;20;1;3;17;5;4;8;6;13;11;7;15;16;9;14;10;18;12;19
4;0;2;18;1;3;16;5;4;20;6;13;10;7;14;15;8;12;9;17;11;19
5;0;2;18;1;3;16;5;4;20;6;13;10;7;14;15;8;11;9;17;12;19
6;0;2;17;1;3;16;5;4;19;6;13;11;7;14;15;8;10;9;18;12;20
7;0;2;17;1;3;16;5;4;19;6;13;11;7;14;15;8;10;9;18;12;20
8;0;2;16;1;3;17;5;4;19;6;13;11;7;14;15;8;10;9;18;12;20
9;0;2;16;1;3;17;5;4;18;6;13;11;7;14;15;8;10;9;19;12;20
10;0;2;15;1;3;17;5;4;18;6;13;11;7;14;16;8;10;9;19;12;20
11;0;2;15;1;3;17;5;4;18;6;13;11;7;14;16;8;10;9;19;12;20
12;0;2;14;1;3;17;5;4;18;6;13;11;7;15;16;8;10;9;19;12;20
13;0;2;13;1;3;18;5;4;17;6;14;11;7;16;15;8;10;9;19;12;20
14;0;2;12;1;3;ab;5;4;16;6;14;11;7;17;15;8;9;10;18;13;19
15;0;3;12;1;2;ab;10;4;15;5;16;11;6;18;14;7;8;9;17;13;19
16;0;4;12;1;2;ab;10;3;14;5;17;11;6;18;13;7;8;9;16;15;19
17;0;3;11;2;1;ab;10;4;14;6;16;13;8;17;12;5;7;9;15;18;19
18;0;3;9;2;1;ab;7;4;11;12;15;16;13;17;10;6;5;8;14;18;19
19;0;3;7;2;1;ab;6;4;9;10;15;16;11;17;8;12;5;13;14;18;19
20;0;3;7;1;2;ab;5;4;9;10;15;16;11;17;8;12;6;13;14;18;19
21;0;2;7;1;3;ab;5;4;9;10;15;16;11;17;8;12;6;13;14;18;19
22;0;2;7;1;3;ab;5;4;9;10;14;15;11;16;8;12;6;13;17;18;19
23;0;2;7;1;3;ab;5;4;10;9;14;15;11;16;8;12;6;13;18;17;19
24;0;2;7;1;3;ab;5;4;13;8;14;15;10;16;9;11;6;12;18;17;19
25;0;2;12;1;3;ab;4;5;17;7;13;14;8;15;9;10;6;11;18;16;19
26;0;2;11;1;3;ab;4;6;17;7;13;14;8;15;12;9;5;10;18;16;19
27;0;2;11;1;3;ab;4;6;16;7;12;13;8;14;17;9;5;10;18;15;19
28;0;2;11;1;3;ab;4;5;16;7;12;13;8;14;17;9;6;10;18;15;19
29;0;2;9;1;3;ab;4;5;16;6;12;13;7;14;17;8;11;10;18;15;19
30;0;3;8;1;2;ab;4;5;15;6;12;13;7;14;16;9;11;10;18;17;19
31;0;3;8;1;2;ab;4;5;15;6;12;13;7;14;16;9;11;10;18;17;19
32;0;3;7;1;2;ab;4;5;15;6;12;13;8;14;16;9;11;10;18;17;19
33;0;3;6;1;2;ab;4;5;14;7;12;13;8;16;15;9;11;10;18;17;19
34;0;3;6;1;2;ab;4;5;14;7;12;13;8;16;15;9;11;10;18;17;19
35;0;3;6;1;2;ab;4;5;14;7;12;13;8;16;15;9;11;10;18;17;19
36;0;3;6;2;1;ab;4;5;14;7;12;13;8;17;15;9;11;10;18;16;19
37;0;3;6;2;1;ab;4;5;13;7;12;15;8;17;14;9;11;10;18;16;19
38;0;3;6;2;1;ab;4;5;13;7;12;15;8;17;14;9;11;10;18;16;19
39;0;3;6;2;1;ab;4;5;12;7;14;15;8;17;13;9;11;10;18;16;19
40;0;3;6;2;1;ab;4;5;12;7;14;15;8;17;13;9;10;11;18;16;19
41;0;3;6;2;1;ab;4;5;12;7;14;15;8;17;13;9;10;11;18;16;19
42;0;2;6;1;3;ab;4;5;12;7;14;15;8;17;13;9;10;11;18;16;19
43;0;2;6;1;3;ab;4;5;12;7;14;15;9;17;13;10;8;11;18;16;19
44;0;2;6;1;3;ab;4;5;12;7;14;15;9;16;13;10;8;11;18;17;19
45;0;2;6;1;3;ab;4;5;12;7;14;15;9;16;13;10;8;11;18;17;19
46;0;2;6;1;3;ab;4;5;13;7;14;15;10;16;12;9;8;11;18;17;19
47;0;2;6;1;3;ab;4;5;13;8;14;16;10;15;12;9;7;11;18;17;19
48;0;2;6;1;3;ab;4;5;13;8;14;16;11;15;12;9;7;10;18;17;19
49;0;2;6;1;3;ab;4;5;13;8;15;16;11;14;12;9;7;10;18;17;19
50;0;2;6;1;3;ab;4;5;13;8;15;16;11;14;12;10;7;9;16;17;17
51;0;2;6;1;3;ab;4;5;11;ab;13;14;9;12;10;dsq;dsq;8;16;15;17
