;sc;LEC;VET;HAM;VER;ALB2;BOT;SAI;NOR;KVY;GAS2;PER;HUL;RIC;RAI;GIO;STR;MAG;GRO;RUS;KUB
0;1;1;2;5;8;3;7;4;6;9;10;11;13;12;16;15;14;17;20;19;18
1;1;1;2;5;8;3;7;4;6;9;10;11;13;12;16;15;14;17;20;19;18
2;0;1;2;5;8;3;7;4;6;9;10;11;13;12;16;15;14;17;20;19;18
3;0;1;2;4;7;3;8;5;6;9;10;11;13;12;16;15;14;17;20;19;18
4;0;1;2;4;20;3;7;5;6;8;10;9;12;11;15;14;13;16;19;18;17
5;0;1;2;4;20;3;6;5;7;8;10;9;12;11;15;14;13;16;19;18;17
6;0;1;2;4;20;3;6;5;7;8;10;9;12;11;15;14;13;16;19;18;17
7;0;1;2;4;20;3;5;6;7;8;11;9;12;10;15;14;13;16;19;18;17
8;0;1;2;4;20;3;5;6;7;8;14;9;11;10;13;15;12;16;19;18;17
9;0;1;2;4;20;3;5;6;7;11;19;8;10;9;13;14;12;15;18;17;16
10;0;1;2;4;20;3;5;6;7;18;19;8;10;9;12;13;11;14;17;16;15
11;0;1;2;4;20;3;5;6;9;18;19;7;10;8;12;13;11;14;17;16;15
12;0;1;2;4;19;3;5;6;20;17;18;7;9;8;11;12;10;13;16;15;14
13;0;1;2;3;19;4;5;6;20;16;18;7;9;8;11;12;10;13;17;15;14
14;0;2;1;3;19;5;4;9;20;15;17;6;8;7;12;11;10;13;18;16;14
15;0;4;1;2;18;5;3;13;20;12;16;6;8;7;19;10;9;11;17;15;14
16;0;4;1;2;16;5;3;13;20;12;15;6;8;7;19;10;9;11;18;17;14
17;0;4;1;2;15;5;3;13;20;12;14;6;8;7;18;10;9;11;19;17;16
18;0;4;1;2;15;5;3;12;20;11;14;6;13;7;16;9;8;10;19;18;17
19;0;4;1;2;15;5;3;12;20;10;14;7;13;6;16;9;8;11;19;18;17
20;0;4;1;2;15;5;3;11;20;9;14;10;12;6;16;8;7;13;18;17;19
21;0;4;1;2;13;5;3;10;20;9;12;8;11;6;15;18;7;14;16;17;19
22;0;4;1;2;13;5;3;10;20;9;12;8;11;6;14;17;7;15;16;19;18
23;0;3;1;4;13;5;2;10;20;9;12;8;11;6;14;17;7;15;16;19;18
24;0;3;1;4;12;5;2;10;20;9;13;8;11;6;14;17;7;15;16;19;18
25;0;3;1;4;12;5;2;10;20;9;13;8;11;6;14;17;7;15;16;19;18
26;0;3;1;4;12;5;2;10;20;9;13;8;11;6;14;17;7;15;16;19;18
27;0;3;1;4;11;5;2;10;20;9;13;8;12;6;14;17;7;15;16;19;18
28;0;3;1;4;11;5;2;10;20;9;13;8;12;6;14;15;7;17;16;19;18
29;0;3;1;4;10;5;2;11;20;9;13;8;12;6;14;15;7;17;16;19;18
30;0;3;1;4;10;5;2;12;20;9;13;8;11;6;14;15;7;17;16;19;18
31;0;3;1;4;10;5;2;12;20;9;13;8;11;6;14;15;7;17;16;19;18
32;0;3;1;4;10;5;2;12;20;9;13;8;11;6;14;15;7;16;17;19;18
33;0;3;1;4;10;5;2;12;20;9;13;8;11;6;14;15;7;16;17;19;18
34;0;3;1;4;10;5;2;14;20;9;12;8;11;6;13;15;7;16;17;19;18
35;0;2;1;4;10;5;3;14;20;9;12;8;11;6;13;15;7;16;17;19;18
36;0;2;1;3;10;4;5;14;20;9;12;8;11;6;13;15;7;16;17;19;18
37;0;1;4;2;8;3;5;14;20;9;12;7;10;6;13;15;11;16;19;18;17
38;0;1;4;2;8;3;5;14;20;9;12;7;10;6;13;15;11;16;19;18;17
39;0;1;4;2;8;3;5;14;20;9;12;7;10;6;13;15;11;16;19;18;17
40;0;1;4;2;8;3;5;14;20;9;12;7;10;6;13;15;11;16;19;18;17
41;0;1;4;2;7;3;5;14;20;9;12;8;10;6;13;15;11;16;19;18;17
42;0;1;4;2;7;3;5;14;20;9;12;8;10;6;13;15;11;16;19;18;17
43;0;5;2;1;7;3;4;14;20;9;12;8;10;6;13;15;11;16;19;18;17
44;0;4;2;1;7;5;3;14;20;12;11;8;9;6;13;15;10;16;19;18;17
45;0;4;2;1;7;5;3;14;20;12;11;8;9;6;13;15;10;16;19;18;17
46;0;4;2;1;7;5;3;14;20;12;11;8;9;6;13;15;10;16;19;18;17
47;0;4;2;1;7;5;3;14;20;12;11;8;9;6;13;15;10;16;19;18;17
48;0;4;2;1;7;5;3;14;ab;11;12;8;9;6;13;15;10;16;19;18;17
49;0;4;2;1;7;5;3;14;ab;11;13;8;9;6;12;15;10;16;19;18;17
50;0;4;2;1;6;5;3;14;ab;11;13;7;9;8;12;15;10;16;19;18;17
51;0;4;2;1;6;5;3;14;ab;11;12;7;9;8;13;15;10;16;19;18;17
52;0;4;2;1;6;5;3;13;ab;11;12;7;9;8;15;14;10;16;19;18;17
53;0;4;2;1;6;5;3;13;ab;11;12;7;9;8;15;14;10;16;19;18;17
54;0;4;2;1;6;5;3;13;ab;11;12;7;9;8;15;14;10;16;19;18;17
55;0;4;2;1;6;5;3;13;ab;11;12;7;9;8;15;14;10;16;19;18;17
56;0;4;2;1;6;5;3;13;ab;11;12;7;9;8;15;14;10;16;19;18;17
57;0;4;2;1;6;5;3;13;ab;11;12;7;9;8;15;14;10;16;19;18;17
58;0;4;2;1;6;5;3;13;ab;11;12;7;9;8;ab;14;10;15;18;17;16
59;0;4;2;1;6;5;3;13;ab;10;12;7;9;8;ab;14;11;15;18;16;17
60;0;4;2;1;6;5;3;13;ab;10;12;7;9;8;ab;14;11;15;17;16;18
61;0;4;2;1;6;5;3;13;ab;10;12;7;9;8;ab;14;11;15;17;16;18
62;0;4;2;1;6;5;3;13;ab;10;12;7;9;8;ab;14;11;15;17;16;18
63;0;4;2;1;6;5;3;13;ab;10;11;7;9;8;ab;14;12;15;17;16;18
64;0;4;2;1;6;5;3;13;ab;10;11;7;9;8;ab;14;12;15;17;16;18
65;0;4;2;1;6;5;3;13;ab;10;11;7;9;8;ab;14;12;15;17;16;18
66;0;4;2;1;6;5;3;13;ab;10;11;7;9;8;ab;14;12;15;17;16;18
67;0;4;2;1;6;5;3;13;ab;10;11;7;9;8;ab;14;12;15;17;16;18
68;0;4;2;1;6;5;3;13;ab;10;11;7;9;8;ab;14;12;15;17;16;18
69;0;4;2;1;6;5;3;13;ab;9;10;7;11;8;ab;14;12;15;17;16;18
70;0;4;2;1;6;5;3;13;ab;11;ab;7;10;8;ab;14;12;15;17;16;18
