;sc;BOT;VET;VER;LEC;HAM;ALB2;SAI;NOR;RIC;GAS2;HUL;MAG;KVY;STR;GRO;GIO;RAI;RUS;KUB;PER
0;0;1;6;2;4;3;11;9;5;7;8;13;10;15;17;14;16;12;20;19;18
1;0;1;7;2;4;3;20;9;5;6;8;12;10;14;16;13;15;11;19;18;17
2;0;1;7;2;4;3;20;9;5;6;8;12;10;14;16;13;15;11;19;18;17
3;0;1;7;2;4;3;20;9;5;6;8;12;10;13;16;14;15;11;19;18;17
4;0;1;7;2;4;3;20;9;5;6;8;12;10;13;16;14;15;11;19;18;17
5;0;1;7;2;4;3;20;9;5;6;8;12;10;13;16;14;15;11;18;19;17
6;0;1;7;2;4;3;19;9;5;6;8;12;10;13;16;14;15;11;18;20;17
7;0;1;ab;2;4;3;17;8;6;5;7;11;9;12;15;13;14;10;18;19;16
8;0;1;ab;2;4;3;17;8;6;5;7;10;11;12;15;13;14;9;18;19;16
9;0;1;ab;2;4;3;16;8;6;5;7;10;12;11;19;13;14;9;17;18;15
10;0;1;ab;2;4;3;16;8;6;5;7;10;12;11;19;13;15;9;17;18;14
11;0;1;ab;2;4;3;15;8;6;5;7;10;12;11;18;13;16;9;17;19;14
12;0;1;ab;2;4;3;15;8;6;5;7;10;12;11;18;14;16;9;17;19;13
13;0;1;ab;4;3;2;14;8;6;5;7;10;13;11;18;15;16;9;17;19;12
14;0;3;ab;4;2;1;13;8;6;5;7;10;14;11;18;15;16;9;17;19;12
15;0;2;ab;3;4;1;13;8;6;5;7;10;14;11;18;15;16;9;17;19;12
16;0;2;ab;3;4;1;13;8;6;5;7;10;14;11;18;15;16;9;17;19;12
17;0;2;ab;3;4;1;13;8;6;5;7;10;14;11;16;15;18;9;17;19;12
18;0;2;ab;3;4;1;11;12;6;5;7;8;17;9;15;13;18;14;16;19;10
19;0;2;ab;3;4;1;9;11;10;5;12;6;17;7;15;14;18;13;16;19;8
20;0;2;ab;3;6;1;15;10;9;4;11;5;16;8;14;13;18;12;17;19;7
21;0;2;ab;3;4;1;12;9;8;7;10;5;16;15;13;14;17;11;18;19;6
22;0;2;ab;3;4;1;12;9;7;6;10;5;16;15;13;14;17;11;18;19;8
23;0;1;ab;3;4;2;12;9;7;5;10;6;15;14;13;16;17;11;18;19;8
24;0;1;ab;2;4;3;10;8;6;5;9;7;15;13;12;17;16;11;18;19;14
25;0;1;ab;2;4;3;10;7;6;5;9;8;15;13;12;17;16;11;18;19;14
26;0;1;ab;2;4;3;9;7;6;5;8;10;15;13;12;17;16;11;18;19;14
27;0;1;ab;2;4;3;8;7;6;5;9;15;14;12;11;17;16;10;18;19;13
28;0;1;ab;2;4;3;8;7;6;5;9;14;15;13;11;17;16;10;18;19;12
29;0;1;ab;2;4;3;8;7;6;5;9;13;14;12;16;17;15;10;18;19;11
30;0;1;ab;2;4;3;7;8;6;5;9;13;14;12;16;17;15;10;18;19;11
31;0;1;ab;2;4;3;7;8;6;5;9;13;14;12;16;17;15;10;18;ab;11
32;0;1;ab;2;4;3;7;8;6;5;9;13;14;12;16;17;15;10;18;ab;11
33;0;1;ab;2;4;3;7;8;6;5;9;13;14;12;16;17;15;10;18;ab;11
34;0;1;ab;3;4;2;6;8;7;5;9;13;14;12;16;17;15;10;18;ab;11
35;0;2;ab;3;4;1;6;8;7;5;9;13;14;12;16;17;15;10;18;ab;11
36;0;2;ab;3;4;1;5;8;7;6;9;13;14;12;16;17;15;10;18;ab;11
37;0;2;ab;3;4;1;5;8;7;6;9;13;14;12;15;17;16;10;18;ab;11
38;0;2;ab;3;4;1;5;8;7;6;9;12;14;13;15;17;16;10;18;ab;11
39;0;2;ab;3;4;1;5;8;7;6;9;12;15;13;14;17;16;11;18;ab;10
40;0;2;ab;3;4;1;9;7;6;5;8;12;17;13;14;16;15;11;18;ab;10
41;0;2;ab;3;4;1;9;7;6;5;8;12;16;13;14;17;15;11;18;ab;10
42;0;2;ab;3;4;1;7;6;10;5;8;11;16;13;14;17;15;12;18;ab;9
43;0;2;ab;3;4;1;7;6;10;5;8;12;16;13;14;17;15;11;18;ab;9
44;0;2;ab;3;4;1;6;7;10;5;8;12;16;13;14;17;15;11;18;ab;9
45;0;2;ab;3;4;1;6;7;10;5;8;12;16;13;14;17;15;11;18;ab;9
46;0;2;ab;3;4;1;6;7;10;5;8;11;16;13;14;17;15;12;18;ab;9
47;0;2;ab;3;4;1;5;7;9;6;8;11;16;12;14;17;15;13;18;ab;10
48;0;2;ab;3;4;1;5;7;8;6;9;11;16;12;14;17;15;13;18;ab;10
49;0;2;ab;3;4;1;5;7;8;6;9;11;16;12;14;17;15;13;18;ab;10
50;0;2;ab;3;4;1;5;7;8;6;9;11;16;12;14;17;15;13;18;ab;10
51;0;1;ab;3;4;2;5;8;7;6;10;11;16;12;14;17;15;13;18;ab;9
52;0;1;ab;3;4;2;5;8;7;6;13;10;18;11;14;16;15;12;17;ab;9
53;0;1;ab;3;4;2;5;8;7;6;15;9;18;11;13;16;14;12;17;ab;10
54;0;1;ab;3;4;2;5;8;7;6;ab;9;18;10;13;15;14;12;17;ab;11
55;0;1;ab;3;4;2;5;8;7;6;ab;9;18;12;13;15;14;11;17;ab;10
