;sc;LEC;VET;HAM;BOT;VER;MAG;SAI;RAI;NOR;RIC;GRO;ALB;GAS;PER;KVY;GIO;HUL;STR;RUS;KUB
0;0;3;1;4;2;5;7;6;8;14;9;20;13;12;10;16;15;11;19;18;17
1;0;2;1;3;4;5;7;6;8;13;9;20;14;12;10;15;16;11;19;18;17
2;0;2;1;3;4;5;7;6;8;13;9;20;14;12;10;15;16;11;19;18;17
3;0;2;1;3;4;5;6;18;8;12;7;20;13;11;10;14;15;9;19;16;17
4;0;2;1;3;4;5;6;20;8;12;7;19;13;11;10;14;15;9;18;16;17
5;0;1;2;3;4;5;9;20;7;12;6;19;13;11;10;14;15;8;18;17;16
6;0;1;2;3;4;5;10;20;7;11;6;19;13;12;9;14;15;8;18;17;16
7;0;1;2;3;4;5;9;20;7;10;6;19;13;12;11;14;15;8;18;17;16
8;0;1;2;3;4;5;10;20;8;9;6;19;14;13;17;11;12;7;18;16;15
9;0;1;2;3;4;5;11;20;14;9;6;19;16;17;15;8;10;7;18;13;12
10;0;1;2;3;4;5;15;20;10;14;6;19;16;17;11;8;9;7;18;12;13
11;0;1;2;3;4;8;12;20;9;11;5;19;15;14;10;13;7;6;18;16;17
12;0;1;2;3;6;5;12;20;8;11;4;19;14;13;9;16;7;10;18;17;15
13;0;3;1;4;5;6;12;20;8;10;2;19;14;13;11;16;7;9;18;17;15
14;0;1;4;3;5;6;12;20;7;10;2;19;14;13;11;15;8;9;18;17;16
15;0;1;3;2;5;6;12;19;7;9;4;20;14;13;11;15;10;8;18;17;16
16;0;1;3;2;5;6;12;19;7;9;4;ab;13;11;10;15;14;8;18;17;16
17;0;1;3;2;4;5;13;19;7;9;6;ab;12;11;10;15;14;8;18;17;16
18;0;1;3;2;4;5;13;19;7;9;6;ab;12;11;10;15;14;8;18;17;16
19;0;1;3;2;4;5;13;19;7;9;6;ab;12;11;10;15;14;8;18;17;16
20;0;1;3;2;4;5;13;19;8;9;6;ab;12;11;10;15;14;7;18;17;16
21;0;1;3;2;4;5;13;19;8;9;6;ab;12;10;11;15;14;7;18;16;17
22;0;1;2;3;4;5;13;18;8;9;6;ab;12;10;11;15;14;7;19;16;17
23;0;1;2;3;4;5;13;18;7;8;9;ab;12;10;11;15;14;6;19;16;17
24;0;1;2;3;4;5;11;19;7;8;13;ab;12;9;10;15;14;6;18;16;17
25;0;1;2;3;4;5;11;19;8;7;12;ab;15;9;10;14;13;6;18;16;17
26;0;1;2;3;4;5;11;19;8;7;12;ab;15;9;10;14;13;6;18;17;16
27;0;1;2;3;4;5;11;19;8;7;12;ab;15;9;10;14;13;6;17;16;18
28;0;1;2;3;4;5;11;19;8;7;12;ab;15;9;10;14;13;6;17;16;18
29;0;1;2;3;4;5;12;19;8;7;11;ab;15;9;10;14;13;6;17;16;18
30;0;1;2;3;4;5;12;18;8;7;11;ab;15;9;10;14;13;6;17;16;19
31;0;1;2;3;4;5;12;18;8;7;11;ab;15;9;10;14;13;6;17;16;19
32;0;1;2;3;4;6;13;18;8;5;9;ab;15;7;11;14;12;10;17;16;19
33;0;1;2;3;4;5;11;18;12;6;8;ab;13;7;15;14;10;9;17;16;19
34;0;1;2;4;3;5;12;18;11;9;7;ab;13;6;15;14;10;8;17;16;19
35;0;1;3;4;2;5;13;18;10;9;7;ab;12;6;15;14;11;8;17;16;19
36;0;1;2;3;4;5;13;18;10;9;7;ab;12;6;15;14;11;8;16;17;19
37;0;1;4;2;3;5;15;18;10;9;7;ab;12;6;14;13;11;8;16;17;19
38;0;1;9;2;3;4;14;18;10;8;7;ab;11;5;13;15;12;6;16;17;19
39;0;1;8;2;3;4;14;18;9;7;6;ab;10;11;13;15;12;5;16;17;19
40;0;1;6;2;3;4;14;19;9;8;7;ab;10;11;12;15;13;5;16;17;18
41;0;1;6;2;3;4;15;19;9;8;7;ab;10;11;12;14;13;5;16;17;18
42;0;1;5;2;3;4;15;18;9;8;7;ab;10;11;12;14;13;6;16;17;19
43;0;1;5;2;3;4;15;18;9;7;8;ab;11;10;12;14;13;6;16;17;19
44;0;1;5;2;3;4;15;18;8;7;9;ab;11;10;12;14;13;6;16;17;19
45;0;1;5;2;3;4;15;18;8;7;9;ab;11;10;12;14;13;6;16;17;19
46;0;1;5;2;3;4;15;18;8;7;9;ab;11;10;12;14;13;6;16;17;19
47;0;2;5;1;3;4;15;18;8;7;9;ab;11;10;12;14;13;6;16;17;19
48;0;2;5;1;3;4;15;17;8;7;9;ab;11;10;12;14;13;6;16;18;19
49;0;2;5;1;3;4;15;17;8;7;9;ab;11;10;12;14;13;6;16;18;19
50;0;2;5;1;3;4;15;17;8;7;9;ab;11;10;12;14;13;6;16;18;19
51;0;2;5;1;3;4;15;17;8;7;10;ab;11;9;12;14;13;6;16;18;19
52;0;2;5;1;3;4;15;17;8;7;10;ab;11;9;12;14;13;6;16;18;19
53;0;3;5;1;2;4;13;19;7;6;18;ab;9;8;10;12;11;17;14;15;16
54;1;3;5;1;2;4;13;19;7;6;18;ab;9;8;10;12;11;17;14;15;16
55;1;3;5;1;2;4;13;19;7;6;18;ab;9;8;10;12;11;17;14;15;16
56;1;3;5;1;2;4;13;19;7;6;18;ab;9;8;10;12;11;17;14;15;16
