;sc;HAM;VER;LEC;VET;ALB2;NOR;RIC;SAI;HUL;PER;GAS2;STR;KVY;MAG;GRO;GIO;RAI;RUS;KUB;BOT
0;0;1;3;2;4;5;6;8;7;10;11;20;12;16;9;17;13;14;19;18;15
1;0;1;3;2;4;5;6;8;7;9;11;20;13;16;10;17;12;15;19;18;14
2;0;1;3;2;4;5;6;8;7;9;11;20;13;16;10;17;12;15;19;18;14
3;0;1;3;2;4;5;6;8;7;9;11;20;13;16;10;17;12;15;19;18;14
4;0;1;3;2;4;5;6;8;7;9;11;20;15;16;10;17;12;14;19;18;13
5;0;1;3;2;4;5;6;8;7;9;10;20;19;15;11;16;13;14;18;17;12
6;0;1;3;2;4;5;6;8;7;9;10;20;19;15;12;16;13;14;18;17;11
7;0;1;3;2;4;5;7;8;6;9;10;20;19;15;12;16;14;13;18;17;11
8;0;1;3;2;4;5;16;7;6;8;9;20;19;13;11;14;18;12;17;15;10
9;0;1;3;2;4;5;15;7;6;8;9;20;19;13;11;14;18;12;17;16;10
10;0;1;3;2;4;5;15;8;6;7;9;20;19;13;11;14;18;12;17;16;10
11;0;1;3;2;4;5;14;15;7;6;9;20;19;12;10;13;18;11;17;16;8
12;0;1;2;4;7;3;13;14;15;5;8;20;19;11;9;12;18;10;17;16;6
13;0;1;2;3;6;7;13;14;15;4;8;20;19;11;9;12;18;10;17;16;5
14;0;1;2;3;6;7;13;15;14;4;8;20;19;11;9;12;18;10;17;16;5
15;0;1;2;3;6;7;13;15;14;4;8;20;19;11;9;12;18;10;17;16;5
16;0;1;2;3;6;7;13;15;14;4;8;20;19;11;9;12;18;10;17;16;5
17;0;1;2;3;5;6;12;14;13;7;8;20;19;11;9;15;18;10;17;16;4
18;0;1;2;3;5;6;11;14;13;12;7;20;18;10;8;19;16;9;17;15;4
19;0;1;2;3;5;6;11;14;13;12;7;20;18;10;9;19;16;8;17;15;4
20;0;1;2;3;5;6;10;13;12;11;7;20;18;8;14;19;16;9;17;15;4
21;0;1;2;3;5;6;10;13;12;11;7;20;18;8;14;19;16;9;17;15;4
22;0;1;2;3;5;6;9;12;11;10;7;20;19;8;13;18;16;14;17;15;4
23;0;1;2;3;5;6;9;12;11;10;7;20;19;8;13;18;15;14;16;17;4
24;0;1;2;3;5;6;9;12;11;10;7;20;18;8;13;17;15;14;16;19;4
25;0;1;3;2;5;6;9;12;11;10;7;20;18;8;13;16;15;14;17;19;4
26;0;1;3;2;5;6;9;12;11;10;7;20;18;8;13;15;17;14;16;19;4
27;0;1;3;2;5;6;9;12;11;10;7;20;18;8;13;15;17;14;16;19;4
28;0;1;3;2;5;6;9;12;11;10;7;20;18;8;13;15;17;14;16;19;4
29;0;1;3;2;4;5;9;12;11;10;7;20;18;8;13;15;17;14;16;19;6
30;0;1;3;2;4;5;9;12;11;10;7;20;18;8;13;15;17;14;16;19;6
31;0;1;2;3;4;5;9;12;11;10;7;20;18;8;13;15;17;14;16;19;6
32;0;1;2;3;4;5;9;12;11;10;7;20;17;8;13;15;16;14;19;18;6
33;0;1;2;3;4;5;9;12;11;10;7;20;17;8;13;15;16;14;19;18;6
34;0;1;2;3;4;5;9;12;11;10;7;20;17;8;13;15;16;14;18;19;6
35;0;1;2;3;4;5;9;12;11;10;7;20;17;8;13;15;16;14;18;19;6
36;0;1;2;3;4;5;9;12;11;10;7;20;17;8;13;15;16;14;18;19;6
37;0;1;2;3;6;4;8;11;10;9;12;20;17;7;14;15;16;13;18;19;5
38;0;1;2;3;6;5;8;11;10;9;12;20;17;7;14;15;16;13;18;19;4
39;0;1;2;3;6;5;8;12;10;9;11;20;17;7;14;15;16;13;18;19;4
40;0;1;2;3;6;5;7;11;10;8;9;20;17;12;14;15;16;13;18;19;4
41;0;1;2;3;6;5;7;11;14;8;9;20;17;10;13;15;16;12;18;19;4
42;0;1;2;3;6;5;7;14;12;8;9;20;17;10;13;15;16;11;18;19;4
43;0;1;2;3;6;5;7;14;12;8;9;20;17;10;13;15;16;11;18;19;4
44;0;1;2;3;6;5;7;14;12;9;8;20;18;10;13;15;16;11;17;19;4
45;0;1;2;3;6;5;7;13;11;10;8;18;ab;9;14;15;16;12;17;19;4
46;0;1;2;3;6;5;7;13;11;10;8;18;ab;9;14;15;16;12;17;19;4
47;0;1;2;3;6;5;7;13;11;10;8;18;ab;9;14;15;16;12;17;19;4
48;0;1;2;3;6;5;7;12;11;10;8;18;ab;9;14;15;16;13;17;19;4
49;0;1;2;3;6;5;7;12;11;10;8;18;ab;9;14;15;16;13;17;19;4
50;0;1;2;3;6;5;7;12;11;10;8;18;ab;9;14;15;16;13;17;19;4
51;0;1;2;3;6;5;7;12;11;10;8;18;ab;9;14;15;16;13;17;19;4
52;0;1;2;3;5;6;7;12;11;10;8;18;ab;9;14;15;16;13;17;19;4
53;0;1;2;3;5;6;8;11;10;12;7;ab;ab;9;14;15;16;13;17;19;4
54;0;1;2;3;5;6;8;11;10;12;7;ab;ab;9;14;15;16;13;17;19;4
