;sc;BOT;HAM;VET;LEC;VER;GAS;RIC;HUL;MAG;GRO;KVY;PER;RAI;SAI;NOR;STR;RUS;KUB;GIO;ALB
0;1;2;1;4;3;5;6;7;9;11;10;17;8;12;19;20;13;15;16;14;18
1;1;2;1;4;3;5;6;7;9;11;10;16;8;12;19;20;13;15;17;14;18
2;0;2;1;4;3;5;6;7;9;12;10;15;8;11;19;20;13;16;18;14;17
3;0;2;1;4;3;5;6;7;9;12;11;14;8;10;19;20;13;17;18;15;16
4;0;2;1;4;3;5;6;7;9;12;11;14;8;10;19;20;13;17;18;16;15
5;0;2;1;4;3;5;6;7;9;12;11;14;8;10;19;20;13;17;18;16;15
6;0;2;1;4;3;5;6;7;9;12;11;16;8;10;19;20;13;15;18;17;14
7;0;2;1;4;3;5;6;7;9;11;13;17;8;10;19;20;12;15;16;18;14
8;0;2;1;4;3;5;6;7;9;13;17;16;8;10;19;20;11;14;15;18;12
9;0;2;1;4;3;5;6;7;10;17;16;15;8;9;19;20;11;13;14;18;12
10;0;2;1;3;4;5;6;7;10;17;16;15;8;9;19;20;11;13;14;18;12
11;0;2;1;3;4;5;6;7;16;17;15;14;8;9;19;20;10;12;13;18;11
12;0;2;1;3;4;5;6;7;15;16;14;13;8;9;19;20;10;12;17;18;11
13;0;2;1;3;4;5;6;7;15;16;14;13;8;9;19;20;10;12;18;17;11
14;0;2;1;3;4;5;6;7;15;16;14;13;8;9;19;20;10;12;18;17;11
15;0;2;1;3;4;5;6;7;17;15;14;13;8;9;19;20;10;12;18;16;11
16;0;2;1;3;4;5;6;7;ab;14;13;12;8;9;18;19;10;15;17;16;11
17;0;2;1;4;3;6;5;8;ab;14;13;12;7;9;18;19;10;16;17;15;11
18;0;2;1;5;3;6;4;10;ab;14;13;12;7;8;18;19;9;16;17;15;11
19;0;2;1;4;3;5;8;9;ab;13;12;11;7;6;17;19;10;15;18;14;16
20;0;2;1;4;3;5;7;8;ab;12;11;10;9;6;17;19;15;16;18;13;14
21;0;3;1;4;2;5;7;8;ab;12;10;11;9;6;16;19;15;17;18;13;14
22;0;2;1;3;5;4;6;8;ab;12;10;11;9;7;16;19;15;18;17;13;14
23;0;2;1;3;5;4;6;8;ab;12;10;11;9;7;16;19;15;18;17;13;14
24;0;2;1;3;5;4;6;8;ab;11;10;14;9;7;16;19;15;18;17;12;13
25;0;2;1;3;5;4;6;7;ab;11;9;16;8;10;15;19;14;18;17;13;12
26;0;2;1;3;5;4;6;7;ab;11;9;16;8;10;15;18;13;17;19;14;12
27;0;2;1;3;5;4;6;7;ab;11;10;16;8;9;15;18;13;17;19;14;12
28;0;2;1;3;5;4;6;7;ab;11;10;16;8;9;15;18;13;17;19;14;12
29;0;2;1;3;5;4;6;7;ab;12;10;16;8;9;14;18;13;17;19;15;11
30;0;2;1;3;5;4;6;7;ab;13;10;17;8;9;14;18;12;16;19;15;11
31;0;2;1;3;5;4;6;7;ab;13;10;17;8;9;14;18;12;16;19;15;11
32;0;2;1;3;5;4;6;7;ab;13;10;17;8;9;14;18;12;16;19;15;11
33;0;2;1;3;4;5;6;7;ab;14;10;17;8;9;13;18;12;16;19;15;11
34;0;2;1;3;4;5;6;7;ab;14;12;17;8;9;13;19;11;16;18;15;10
35;0;2;1;4;3;5;6;7;ab;13;12;17;8;9;14;19;11;16;18;15;10
36;0;3;1;4;2;5;6;7;ab;13;12;17;8;9;15;19;11;16;18;14;10
37;0;3;1;4;2;5;6;7;ab;13;12;17;8;9;15;19;11;16;18;14;10
38;0;2;1;4;3;5;6;7;ab;13;12;17;8;9;15;19;11;16;18;14;10
39;0;2;1;4;3;5;6;7;ab;13;12;16;8;9;15;19;11;17;18;14;10
40;0;2;1;4;3;5;6;7;ab;13;12;17;8;9;15;19;11;16;18;14;10
41;0;2;1;3;4;5;6;7;ab;13;12;ab;8;9;15;18;11;16;17;14;10
42;0;2;1;3;5;4;6;7;ab;13;12;ab;8;9;15;17;11;16;18;14;10
43;0;2;1;3;5;4;6;7;ab;13;12;ab;8;9;15;17;11;16;18;14;10
44;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;15;17;13;16;18;14;10
45;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;15;17;13;16;18;14;10
46;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;15;17;13;16;18;14;10
47;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;15;17;13;16;18;14;10
48;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;15;17;13;16;18;14;10
49;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;15;16;13;17;18;14;10
50;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;15;18;13;16;17;14;10
51;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;15;18;13;16;17;14;10
52;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;14;18;13;16;17;15;10
53;0;2;1;3;5;4;6;7;ab;12;11;ab;8;9;14;18;13;16;17;15;10
54;0;2;1;3;5;4;6;7;ab;13;11;ab;8;9;14;18;12;16;17;15;10
55;0;2;1;3;5;4;6;7;ab;13;11;ab;8;9;14;18;12;16;17;15;10
