;sc;BOT;HAM;VET;VER;LEC;GAS;GRO;MAG;KVY;NOR;ALB;SAI;RIC;RAI;PER;STR;KUB;GIO;RUS;HUL
0;0;2;1;4;3;5;6;7;8;9;16;10;11;12;20;13;14;17;15;19;18
1;0;2;1;4;3;5;6;7;8;9;16;10;11;12;20;13;14;18;15;19;17
2;0;2;1;4;3;5;6;7;8;9;16;10;11;12;19;13;14;18;15;20;17
3;0;2;1;4;3;5;6;7;8;9;16;10;11;12;19;13;14;18;15;20;17
4;0;2;1;4;3;5;6;7;8;9;16;10;11;12;18;13;14;19;15;20;17
5;0;2;1;4;3;5;6;7;8;9;15;10;11;12;17;13;14;19;18;20;16
6;0;2;1;4;3;5;6;7;8;9;15;10;11;12;17;13;14;18;20;19;16
7;0;2;1;4;3;5;6;7;8;9;15;10;11;12;17;13;14;18;20;19;16
8;0;2;1;4;3;5;6;7;8;9;15;10;11;12;17;13;14;18;20;19;16
9;0;2;1;4;3;5;6;7;8;9;16;10;11;12;17;13;14;18;20;19;15
10;0;2;1;4;3;5;6;7;8;9;16;10;11;12;17;13;14;19;20;18;15
11;0;2;1;5;3;4;6;7;8;9;16;10;11;12;17;13;14;19;20;18;15
12;0;2;1;5;3;4;6;7;8;9;16;10;11;12;17;13;14;19;20;18;15
13;0;2;1;5;3;4;6;7;8;9;16;10;11;12;17;13;14;19;20;18;15
14;0;2;1;5;3;4;6;7;8;9;16;10;11;12;17;13;14;19;20;18;15
15;0;2;1;5;3;4;6;7;8;9;16;10;11;12;17;13;14;19;20;18;15
16;0;2;1;5;3;4;6;7;8;9;16;10;11;12;17;13;14;19;20;18;15
17;0;2;1;5;3;4;6;7;8;9;16;10;11;12;17;13;14;19;20;18;15
18;0;2;1;6;3;4;5;7;8;9;16;10;11;12;17;13;14;19;20;18;15
19;0;2;1;10;4;3;5;6;7;8;16;9;11;12;17;13;14;20;19;18;15
20;0;2;1;8;5;3;4;6;7;10;16;9;11;12;17;13;14;20;19;18;15
21;0;2;1;8;5;3;4;6;7;17;14;9;10;11;16;12;15;20;19;18;13
22;0;2;1;6;4;3;9;5;7;16;14;8;10;11;15;12;17;20;18;19;13
23;0;2;1;6;4;3;8;5;14;15;13;7;10;9;16;12;17;20;18;19;11
24;0;2;1;6;4;3;7;5;11;12;10;8;15;14;13;16;17;20;18;19;9
25;0;2;1;5;3;4;7;6;9;10;11;13;14;15;12;16;17;20;18;19;8
26;0;2;1;5;3;4;6;7;9;10;17;12;13;14;11;15;16;20;18;19;8
27;0;2;1;5;3;4;6;7;9;10;17;11;12;14;13;15;16;20;18;19;8
28;0;2;1;5;3;4;6;7;9;10;16;11;12;13;17;14;15;20;18;19;8
29;0;2;1;5;3;4;6;7;9;10;16;11;12;13;17;14;15;20;18;19;8
30;0;2;1;5;3;4;6;7;9;10;16;11;12;13;17;14;15;20;18;19;8
31;0;2;1;5;3;4;6;7;9;10;16;11;12;13;17;14;15;20;18;19;8
32;0;2;1;5;3;4;6;7;8;9;16;11;12;13;17;14;15;20;18;19;10
33;0;2;1;5;3;4;6;7;8;9;16;11;12;13;17;14;15;20;18;19;10
34;0;2;1;5;3;4;6;7;8;9;16;10;12;13;17;14;15;20;18;19;11
35;0;2;1;4;3;5;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
36;0;2;1;4;3;5;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
37;0;2;1;4;3;5;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
38;0;2;1;4;3;5;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
39;0;2;1;4;3;5;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
40;0;2;1;5;3;4;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
41;0;2;1;5;3;4;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
42;0;2;1;5;3;4;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
43;0;2;1;5;4;3;6;7;9;8;15;10;11;12;17;13;14;20;18;19;16
44;0;2;1;5;4;3;6;7;9;8;ab;10;11;12;15;13;ab;18;16;17;14
45;1;2;1;5;4;3;6;7;8;9;ab;11;10;13;15;14;ab;18;16;17;12
46;1;2;1;4;3;5;6;7;8;9;ab;11;10;13;15;14;ab;18;16;17;12
47;1;2;1;4;3;5;6;7;8;9;ab;11;10;13;15;14;ab;18;16;17;12
48;1;2;1;4;3;5;6;7;8;9;ab;11;10;13;15;14;ab;18;16;17;12
49;1;2;1;4;3;5;6;7;8;9;ab;11;10;13;15;14;ab;18;16;17;12
50;1;2;1;4;3;5;6;7;8;9;ab;11;10;13;15;14;ab;18;16;17;12
51;1;2;1;4;3;5;6;7;8;9;ab;11;10;13;15;14;ab;18;16;17;12
52;0;2;1;4;3;5;6;8;7;10;ab;11;9;13;15;14;ab;18;16;17;12
53;0;2;1;4;3;5;6;8;7;10;ab;11;9;13;15;14;ab;18;16;17;12
54;0;2;1;4;3;5;6;8;7;10;ab;11;9;13;15;14;ab;18;16;17;12
55;0;2;1;4;3;5;6;8;7;10;ab;11;9;12;15;14;ab;18;16;17;13
56;0;2;1;4;3;5;6;8;7;10;ab;11;9;12;14;15;ab;18;16;17;13
57;0;2;1;4;3;5;6;8;7;10;ab;11;9;12;14;15;ab;18;16;17;13
58;0;2;1;4;3;5;6;9;7;10;ab;11;8;12;14;15;ab;18;16;17;13
59;0;2;1;4;3;5;6;9;7;10;ab;11;8;12;14;15;ab;18;16;17;13
60;0;2;1;4;3;5;6;10;7;9;ab;11;8;12;14;15;ab;18;16;17;13
61;0;2;1;4;3;5;6;10;7;9;ab;11;8;12;14;15;ab;18;16;17;13
62;0;2;1;4;3;5;6;10;7;9;ab;11;8;12;14;15;ab;18;16;17;13
63;0;2;1;4;3;5;6;10;7;9;ab;11;8;12;14;15;ab;18;16;17;13
64;0;2;1;4;3;5;6;10;7;9;ab;11;8;12;14;15;ab;18;16;17;13
65;0;2;1;4;3;5;6;10;7;9;ab;11;8;12;14;15;ab;18;16;17;13
