;sc;HAM;BOT;VER;VET;MAG;RIC;KVY;GAS;SAI;ALB;HUL;NOR;GRO;RAI;LEC;PER;STR;GIO;RUS;KUB
0;0;1;2;3;4;6;5;9;7;8;10;11;13;12;17;14;16;15;19;20;18
1;0;1;2;3;4;6;5;9;7;8;10;11;14;12;17;13;16;15;19;20;18
2;0;1;2;3;4;6;5;9;7;8;10;11;14;12;17;13;16;15;19;20;18
3;0;1;2;3;4;6;5;9;7;8;10;11;14;12;17;13;16;15;19;20;18
4;0;1;2;3;4;6;5;9;7;8;10;11;14;12;17;13;16;15;19;20;18
5;0;1;2;3;4;6;5;9;7;8;10;11;14;12;17;13;16;15;19;20;18
6;0;1;2;3;4;6;5;9;7;8;10;11;14;13;17;12;16;15;19;20;18
7;0;1;2;3;4;6;5;9;7;8;10;11;14;12;17;13;16;15;19;20;18
8;0;1;2;3;4;6;5;9;7;8;10;19;12;11;15;20;14;13;17;18;16
9;0;1;2;3;4;6;5;9;7;8;10;18;12;11;15;20;14;13;17;19;16
10;1;1;3;2;4;14;12;7;5;6;8;18;10;9;13;20;17;11;16;19;15
11;1;1;4;2;3;14;13;7;5;6;8;18;10;9;12;20;17;11;16;19;15
12;1;1;4;2;3;14;13;7;5;6;8;18;10;9;12;20;17;11;16;19;15
13;1;1;4;2;3;14;13;7;5;6;8;18;10;9;12;20;17;11;16;19;15
14;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;19;15;11;20;17;18
15;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;20;15;11;19;17;18
16;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;19;17;18
17;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;19;17;18
18;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;19;17;18
19;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;19;17;18
20;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;18;17;19
21;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;18;17;19
22;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;18;17;19
23;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;18;17;19
24;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;18;17;19
25;0;1;4;2;3;14;13;7;5;6;8;16;10;9;12;ab;15;11;18;17;19
26;0;1;4;2;3;14;13;6;9;5;7;16;10;8;12;ab;15;11;18;17;19
27;0;1;4;2;3;14;13;6;9;5;7;16;10;8;12;ab;15;11;18;17;19
28;0;1;4;2;3;14;13;6;9;5;7;16;10;8;12;ab;15;11;18;17;19
29;0;1;4;2;3;14;13;5;9;8;6;16;10;7;12;ab;15;11;18;17;19
30;0;1;4;2;3;14;13;5;8;9;6;16;10;7;12;ab;15;11;18;17;19
31;0;1;4;2;3;14;13;7;8;9;5;16;10;6;12;ab;15;11;18;17;19
32;0;1;4;2;3;14;13;9;7;8;5;16;10;6;12;ab;15;11;18;17;19
33;0;1;4;2;3;14;13;9;7;8;5;16;10;6;12;ab;15;11;18;17;19
34;0;1;4;2;3;14;13;9;7;8;5;16;10;6;12;ab;15;11;18;17;19
35;0;1;4;2;3;14;13;9;7;8;5;16;10;6;12;ab;15;11;18;17;19
36;0;1;4;2;3;14;13;9;7;8;5;16;10;6;12;ab;15;11;18;17;19
37;0;1;4;2;3;14;13;9;7;8;5;16;10;6;12;ab;15;11;18;17;19
38;0;1;4;2;3;13;12;9;7;8;5;15;10;6;11;ab;14;18;17;16;19
39;0;1;4;2;3;13;12;8;6;7;9;15;10;5;11;ab;14;18;17;16;19
40;0;1;4;2;3;13;12;8;6;7;9;15;10;5;11;ab;14;18;17;16;19
41;0;1;4;2;3;13;12;8;6;7;9;15;10;5;11;ab;14;18;17;16;19
42;0;1;4;2;3;13;12;8;6;7;9;15;10;5;11;ab;14;18;17;16;19
43;0;1;4;2;3;13;12;8;6;7;9;15;10;5;11;ab;14;17;19;16;18
44;0;1;4;2;3;13;12;8;6;7;9;15;10;5;11;ab;14;17;19;16;18
45;0;1;4;2;3;12;11;8;6;7;9;14;10;5;17;ab;13;16;19;15;18
46;0;1;4;2;3;12;11;8;6;7;9;14;10;5;17;ab;13;16;19;15;18
47;0;1;4;2;3;12;10;8;6;7;9;14;11;5;17;ab;13;16;19;15;18
48;0;1;4;2;3;12;10;8;6;7;9;14;11;5;17;ab;13;16;19;15;18
49;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
50;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
51;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
52;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
53;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
54;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
55;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
56;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
57;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
58;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
59;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
60;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
61;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
62;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
63;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
64;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
65;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
66;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
67;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
68;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
69;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
70;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
71;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
72;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
73;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
74;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
75;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
76;0;1;4;2;3;12;10;7;5;6;8;14;11;9;17;ab;13;16;19;15;18
77;0;1;4;2;3;14;10;7;5;6;8;13;11;9;17;ab;12;16;19;15;18
