;sc;VET;HAM;LEC;RIC;GAS;BOT;HUL;NOR;VER;KVY;SAI;GIO;ALB;GRO;PER;RAI;STR;RUS;KUB;MAG
0;0;1;2;3;4;5;7;6;8;9;10;11;13;20;18;12;17;14;15;16;19
1;0;1;2;3;4;5;7;6;8;9;10;11;13;20;18;12;16;14;15;17;19
2;0;1;2;3;4;5;7;6;8;9;10;19;12;20;16;11;15;13;14;17;18
3;0;1;2;3;4;5;7;6;8;9;10;19;12;20;16;11;14;13;15;18;17
4;0;1;2;3;4;5;7;6;8;9;10;19;12;20;16;11;14;13;15;18;17
5;0;1;2;3;4;5;7;6;9;8;10;17;13;20;14;11;19;12;15;18;16
6;0;1;2;3;4;13;6;5;8;7;9;17;12;20;14;10;19;11;15;18;16
7;0;1;2;3;11;13;5;4;10;6;7;17;12;20;14;8;18;9;16;19;15
8;0;1;2;3;11;12;5;4;ab;6;7;15;10;18;13;8;16;9;17;19;14
9;0;1;2;3;10;12;5;4;ab;6;7;14;11;18;13;9;16;8;17;19;15
10;0;1;2;3;9;10;5;4;ab;6;7;13;11;18;12;15;16;8;17;19;14
11;0;1;2;3;7;9;5;4;ab;6;13;12;10;18;11;15;16;8;17;19;14
12;0;1;2;3;7;9;5;4;ab;6;14;12;10;18;11;15;16;8;17;19;13
13;0;1;2;3;7;9;5;4;ab;6;13;12;10;18;11;14;16;8;17;19;15
14;0;1;2;3;7;9;5;4;ab;6;13;12;10;18;11;14;15;8;17;19;16
15;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
16;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
17;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
18;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
19;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
20;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
21;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
22;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
23;0;1;2;3;6;9;4;7;ab;5;13;11;10;18;12;14;15;8;17;19;16
24;0;1;2;3;6;9;4;7;ab;5;13;11;10;17;12;14;15;8;18;19;16
25;0;3;1;2;6;9;4;7;ab;5;13;11;10;17;12;14;15;8;18;19;16
26;0;3;1;2;6;9;4;7;ab;5;12;10;11;17;13;14;15;8;18;19;16
27;0;2;3;1;6;9;4;7;ab;5;12;10;11;17;13;14;15;8;18;19;16
28;0;2;3;1;6;9;4;7;ab;5;12;10;11;17;13;14;15;8;18;19;16
29;0;2;3;1;5;9;6;7;ab;4;12;10;11;17;13;14;15;8;18;19;16
30;0;2;3;1;5;9;6;7;ab;4;12;10;11;17;13;14;15;8;18;19;16
31;0;2;3;1;5;9;6;7;ab;4;11;10;12;17;14;13;15;8;18;19;16
32;0;1;2;3;5;9;6;7;ab;4;11;10;15;17;13;12;14;8;18;19;16
33;0;1;2;4;5;9;6;7;ab;3;11;10;14;17;15;12;13;8;18;19;16
34;0;1;2;3;5;9;6;7;ab;4;11;10;14;17;15;12;13;8;18;19;16
35;0;1;2;3;5;9;6;7;ab;4;11;10;14;17;15;12;13;8;18;19;16
36;0;1;2;3;5;9;6;7;ab;4;11;10;14;17;15;12;13;8;18;19;16
37;0;1;2;3;6;9;5;7;ab;4;11;10;14;17;15;12;13;8;18;19;16
38;0;1;2;3;6;9;5;7;ab;4;11;10;14;16;15;12;13;8;17;19;18
39;0;1;2;3;6;9;5;7;ab;4;11;10;14;16;15;12;13;8;17;19;18
40;0;1;2;3;6;9;5;7;ab;4;11;10;14;16;15;12;13;8;17;19;18
41;0;1;2;3;6;9;5;7;ab;4;11;10;14;16;15;12;13;8;17;19;18
42;0;1;2;3;6;9;5;7;ab;4;11;10;14;16;15;12;13;8;17;19;18
43;0;1;2;3;6;9;5;7;ab;4;11;10;14;16;15;12;13;8;17;19;18
44;0;1;2;3;6;8;5;7;ab;4;11;9;14;16;15;12;13;10;17;19;18
45;0;1;2;3;6;8;5;7;ab;4;11;9;14;16;15;12;13;10;17;19;18
46;0;1;2;3;6;8;5;7;ab;4;11;9;14;16;15;12;13;10;17;19;18
47;0;1;2;3;6;8;4;7;ab;5;11;9;14;16;15;12;13;10;17;19;18
48;0;1;2;3;5;8;4;6;ab;7;11;9;14;16;15;12;13;10;17;19;18
