;sc;LEC;VER;BOT;HAM;NOR;RAI;GIO;GAS;VET;MAG;GRO;RIC;PER;STR;HUL;KVY;KUB;ALB;SAI;RUS
0;0;1;7;2;3;5;4;9;8;6;10;15;14;11;13;12;19;16;18;17;20
1;0;1;7;2;3;5;4;9;8;6;10;15;14;11;13;12;19;17;18;16;20
2;0;1;7;2;3;5;4;9;8;6;10;16;14;11;13;12;19;18;17;15;20
3;0;1;7;2;3;6;4;9;8;5;11;16;14;10;13;12;19;20;17;15;18
4;0;1;7;2;3;6;4;9;8;5;12;16;14;10;13;11;19;20;17;15;18
5;0;1;7;2;3;6;5;9;8;4;13;16;14;10;12;11;19;20;17;15;18
6;0;1;6;2;3;7;5;9;8;4;14;16;13;10;12;11;19;20;17;15;18
7;0;1;6;2;3;7;5;9;8;4;14;16;13;10;12;11;19;20;17;15;18
8;0;1;5;2;3;7;6;9;8;4;15;16;13;10;12;11;19;20;17;14;18
9;0;1;5;2;3;7;6;9;8;4;15;17;13;10;12;11;19;20;16;14;18
10;0;1;5;2;3;7;6;9;8;4;18;16;13;10;12;11;19;20;15;14;17
11;0;1;5;2;3;7;6;9;8;4;20;16;13;10;12;11;18;19;15;14;17
12;0;1;5;2;3;7;6;9;8;4;20;16;13;10;12;11;18;19;15;14;17
13;0;1;5;2;3;6;7;9;8;4;20;16;13;10;12;11;18;19;15;14;17
14;0;1;5;2;3;6;7;9;8;4;20;16;13;10;12;11;17;19;15;14;18
15;0;1;5;2;3;6;7;9;8;4;20;16;13;10;12;11;17;19;15;14;18
16;0;1;5;2;3;6;7;9;8;4;20;16;13;10;12;11;17;19;15;14;18
17;0;1;5;2;3;6;7;9;8;4;20;16;13;10;12;11;17;19;15;14;18
18;0;1;5;2;3;6;7;9;8;4;20;16;13;10;12;11;17;19;15;14;18
19;0;1;5;2;3;6;7;9;8;4;20;16;13;10;12;11;17;19;15;14;18
20;0;1;5;3;2;6;7;9;8;4;20;16;13;10;12;11;17;19;15;14;18
21;0;1;3;4;2;5;6;9;7;8;19;16;13;10;12;11;17;20;15;14;18
22;0;3;2;4;1;5;8;9;7;6;19;16;14;10;12;11;17;20;15;13;18
23;0;3;2;4;1;5;15;10;7;6;19;16;13;8;11;9;17;20;14;12;18
24;0;3;2;4;1;6;14;16;7;5;19;15;11;8;12;9;17;20;13;10;18
25;0;3;2;4;1;11;12;14;13;5;19;15;9;6;17;7;16;20;10;8;18
26;0;3;2;4;1;9;11;13;12;5;19;14;8;6;16;15;17;20;10;7;18
27;0;3;2;4;1;9;11;13;12;5;19;14;8;6;16;15;17;20;10;7;18
28;0;3;2;4;1;8;10;12;11;5;19;15;7;13;16;14;17;20;9;6;18
29;0;3;2;4;1;8;9;12;10;5;19;15;7;13;16;14;17;20;11;6;18
30;0;2;1;3;5;8;9;12;10;4;19;16;7;13;15;14;17;20;11;6;18
31;0;1;4;2;5;8;10;12;9;3;19;16;7;13;15;14;17;20;11;6;18
32;0;1;4;2;5;8;10;11;9;3;19;16;7;13;15;14;17;20;12;6;18
33;0;1;4;2;5;8;10;11;9;3;19;16;7;13;15;14;17;20;12;6;18
34;0;1;4;2;5;8;10;11;9;3;19;16;7;12;14;13;17;20;15;6;18
35;0;1;4;2;5;8;10;11;9;3;19;16;7;12;14;13;17;20;15;6;18
36;0;1;4;2;5;8;10;11;9;3;19;16;7;12;14;13;17;20;15;6;18
37;0;1;4;2;5;8;10;11;9;3;19;16;7;12;14;13;17;20;15;6;18
38;0;1;4;2;5;8;10;11;9;3;19;16;7;12;14;13;17;20;15;6;18
39;0;1;4;2;5;8;10;11;9;3;19;16;7;12;14;13;17;20;15;6;18
40;0;1;4;2;5;7;10;11;9;3;19;16;8;12;14;13;17;20;15;6;18
41;0;1;4;2;5;6;9;10;8;3;19;16;7;11;13;12;17;20;15;14;18
42;0;1;4;2;5;6;9;10;8;3;19;16;7;11;13;12;17;20;15;14;18
43;0;1;4;2;5;6;9;10;7;3;19;16;8;11;13;12;17;20;15;14;18
44;0;1;4;2;5;6;9;10;7;3;19;16;8;11;14;12;17;20;15;13;18
45;0;1;4;2;5;6;8;9;7;3;19;16;11;10;14;12;17;20;15;13;18
46;0;1;4;2;5;6;8;9;7;3;19;16;14;10;13;12;17;20;15;11;18
47;0;1;4;2;5;6;8;9;7;3;19;16;14;10;13;12;17;20;15;11;18
48;0;1;4;2;5;6;8;9;7;3;19;16;14;11;13;12;17;20;15;10;18
49;0;1;3;2;5;6;8;9;7;4;19;16;14;11;13;12;17;20;15;10;18
50;0;1;3;2;4;6;8;10;7;5;19;16;14;11;13;12;17;20;15;9;18
51;0;1;3;2;4;6;8;10;7;5;19;16;14;11;13;12;17;20;15;9;18
52;0;1;3;2;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
53;0;1;3;2;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
54;0;1;3;2;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
55;0;1;2;3;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
56;0;1;2;3;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
57;0;1;2;3;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
58;0;1;2;3;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
59;0;1;2;3;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
60;0;1;2;3;4;6;9;10;7;5;19;16;14;11;13;12;17;20;15;8;18
