;sc;BOT;VER;NOR;ALB;HAM;PER;LEC;SAI;STR;RIC;VET;GAS;KVY;OCO;GRO;MAG;RUS;GIO;RAI;LAT
0;0;1;2;3;4;5;6;7;8;9;11;10;12;15;16;18;13;19;14;17;20
1;0;1;2;3;4;5;6;7;8;9;11;10;12;15;16;18;13;19;14;17;20
2;0;1;2;4;3;5;6;7;8;9;11;10;12;15;16;18;13;19;14;17;20
3;0;1;2;5;3;4;6;7;8;9;11;10;12;15;16;18;13;19;14;17;20
4;0;1;2;5;3;4;6;7;8;9;11;10;12;15;16;18;13;19;14;17;20
5;0;1;2;5;3;4;6;7;8;9;11;10;12;14;16;18;13;19;15;17;20
6;0;1;2;5;3;4;6;7;8;9;11;10;12;13;16;18;14;19;15;17;20
7;0;1;2;5;3;4;6;7;8;9;11;10;12;13;16;18;14;19;15;17;20
8;0;1;2;5;4;3;6;7;8;9;11;10;12;13;16;18;14;19;15;17;20
9;0;1;2;5;4;3;6;7;8;9;11;10;12;13;16;18;14;19;15;17;20
10;0;1;20;4;3;2;5;6;7;8;10;9;11;12;15;17;13;18;14;16;19
11;0;1;ab;4;3;2;5;6;7;8;10;9;11;12;15;17;13;18;14;16;19
12;0;1;ab;4;3;2;5;6;7;8;10;9;11;12;15;17;13;18;14;16;19
13;0;1;ab;4;3;2;5;6;7;8;10;9;11;12;15;17;13;18;14;16;19
14;0;1;ab;4;3;2;5;6;7;8;10;9;11;12;14;17;13;18;15;16;19
15;0;1;ab;4;3;2;5;6;7;8;10;9;11;12;14;17;13;18;15;16;19
16;0;1;ab;4;3;2;5;6;7;8;19;9;10;11;13;16;12;17;14;15;18
17;0;1;ab;4;3;2;5;6;7;9;ab;8;10;11;13;16;12;17;15;14;18
18;0;1;ab;4;3;2;5;6;7;10;ab;8;9;11;13;16;12;17;15;14;18
19;0;1;ab;4;3;2;5;6;7;14;ab;8;9;10;12;18;11;16;15;13;17
20;0;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;12;17;11;15;14;13;16
21;0;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;12;17;11;15;14;13;16
22;0;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;12;17;11;15;14;13;16
23;0;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;12;17;11;15;13;14;16
24;0;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;11;16;ab;13;12;15;14
25;1;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;11;16;ab;13;12;15;14
26;1;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;11;15;ab;13;12;14;16
27;1;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;11;15;ab;13;12;14;16
28;1;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;11;15;ab;13;12;14;16
29;1;1;ab;4;3;2;5;6;7;ab;ab;8;9;10;11;15;ab;13;12;14;16
30;0;1;ab;4;3;2;5;6;7;ab;ab;15;8;9;10;14;ab;12;11;13;16
31;0;1;ab;4;3;2;5;6;7;ab;ab;15;8;9;10;14;ab;12;11;13;16
32;0;1;ab;5;3;2;4;6;7;ab;ab;15;8;9;10;14;ab;12;11;13;16
33;0;1;ab;5;3;2;4;6;7;ab;ab;15;8;9;10;14;ab;12;11;13;16
34;0;1;ab;5;3;2;4;6;7;ab;ab;15;8;9;10;14;ab;12;11;13;16
35;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;12;11;13;16
36;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;12;11;13;16
37;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;12;11;13;16
38;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;12;11;13;16
39;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;12;11;13;16
40;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;12;11;13;16
41;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;12;11;13;16
42;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;12;11;13;16
43;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;13;11;12;16
44;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;13;11;12;16
45;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;13;11;12;16
46;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;13;11;12;16
47;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;15;ab;13;11;12;16
48;0;1;ab;5;3;2;4;6;7;ab;ab;14;8;9;10;16;ab;13;11;12;15
49;0;1;ab;5;3;2;4;6;7;ab;ab;13;8;9;10;ab;ab;ab;11;12;14
50;1;1;ab;5;3;2;4;6;7;ab;ab;13;8;9;10;ab;ab;ab;11;12;14
51;1;1;ab;6;4;2;3;7;5;ab;ab;13;8;11;9;ab;ab;ab;10;12;14
52;1;1;ab;5;4;2;3;6;9;ab;ab;13;7;11;8;ab;ab;ab;10;12;14
53;1;1;ab;5;4;2;3;6;9;ab;ab;12;7;11;8;ab;ab;ab;10;ab;13
54;1;1;ab;5;4;2;3;6;8;ab;ab;12;7;11;9;ab;ab;ab;10;ab;13
55;1;1;ab;5;4;2;3;6;8;ab;ab;11;7;10;9;ab;ab;ab;13;ab;12
56;1;1;ab;5;4;2;3;6;8;ab;ab;11;7;10;9;ab;ab;ab;13;ab;12
57;1;1;ab;5;4;2;3;6;8;ab;ab;11;7;10;9;ab;ab;ab;13;ab;12
58;1;1;ab;5;3;2;4;6;8;ab;ab;11;7;10;9;ab;ab;ab;13;ab;12
59;1;1;ab;5;3;2;4;6;9;ab;ab;11;7;10;8;ab;ab;ab;13;ab;12
60;0;1;ab;4;13;2;3;5;7;ab;ab;10;6;9;8;ab;ab;ab;11;ab;12
61;0;1;ab;4;13;2;3;5;6;ab;ab;10;7;9;8;ab;ab;ab;11;ab;12
62;0;1;ab;4;13;2;3;5;6;ab;ab;11;7;9;8;ab;ab;ab;10;ab;12
63;0;1;ab;5;12;2;3;4;6;ab;ab;11;7;9;8;ab;ab;ab;10;ab;13
64;0;1;ab;5;12;2;3;4;6;ab;ab;11;7;9;8;ab;ab;ab;10;ab;13
65;0;1;ab;5;12;2;4;3;6;ab;ab;11;7;9;8;ab;ab;ab;10;ab;13
66;0;1;ab;5;11;2;4;3;6;ab;ab;12;7;10;8;ab;ab;ab;9;ab;13
67;0;1;ab;5;13;2;4;3;6;ab;ab;11;7;10;8;ab;ab;ab;9;ab;12
68;0;1;ab;4;13;2;5;3;6;ab;ab;10;7;11;8;ab;ab;ab;9;ab;12
69;0;1;ab;4;13;2;5;3;6;ab;ab;10;7;12;8;ab;ab;ab;9;ab;11
70;0;1;ab;4;13;2;6;3;5;ab;ab;10;7;12;8;ab;ab;ab;9;ab;11
