;sc;HAM;VER;BOT;PER;RIC;SAI;OCO;NOR;GAS;LEC;KVY;STR;RUS;VET;ALB;GRO;GIO;MAG;RAI;LAT
0;1;1;3;2;6;5;ab;4;18;7;8;11;ab;16;13;17;10;12;9;15;14
1;1;1;3;2;6;5;ab;4;18;7;8;11;ab;16;13;17;10;12;9;15;14
2;1;1;3;2;6;5;ab;4;18;7;8;11;ab;16;13;17;10;12;9;15;14
3;1;1;3;2;6;5;ab;4;18;7;8;11;ab;16;13;17;10;12;9;15;14
4;1;1;3;2;6;5;ab;4;18;7;8;11;ab;16;13;17;10;12;9;15;14
5;0;1;3;2;6;5;ab;4;17;7;8;11;ab;16;13;18;10;12;9;15;14
6;0;1;3;2;6;5;ab;4;17;7;8;11;ab;16;13;18;10;12;9;15;14
7;0;1;3;2;6;5;ab;4;17;7;8;10;ab;16;13;18;11;12;9;15;14
8;0;1;3;2;6;5;ab;4;17;7;8;10;ab;16;13;18;11;12;9;14;15
9;0;1;3;2;6;5;ab;4;16;7;8;10;ab;17;13;18;11;12;9;14;15
10;0;1;3;2;6;5;ab;4;18;7;8;10;ab;16;13;17;11;12;9;14;15
11;0;1;3;2;6;5;ab;4;18;7;8;10;ab;17;13;16;11;12;9;14;15
12;0;1;3;2;6;5;ab;4;17;7;8;9;ab;18;13;16;11;12;10;14;15
13;0;1;3;2;6;5;ab;4;17;7;8;9;ab;18;13;16;11;12;10;14;15
14;0;1;3;2;5;8;ab;4;17;6;7;9;ab;18;13;16;11;12;10;14;15
15;0;2;3;1;5;14;ab;4;16;6;7;8;ab;18;11;15;10;12;9;13;17
16;0;10;2;1;4;13;ab;3;15;5;6;7;ab;18;9;14;11;17;8;12;16
17;0;10;2;1;3;12;ab;4;14;7;5;6;ab;18;9;13;15;16;8;11;17
18;0;7;2;1;3;11;ab;9;14;13;4;5;ab;18;8;12;15;16;6;10;17
19;0;6;2;1;3;9;ab;8;13;12;4;5;ab;18;7;11;15;16;14;10;17
20;0;5;2;1;6;9;ab;8;13;12;3;4;ab;18;7;11;15;16;14;10;17
21;0;5;2;1;6;9;ab;8;13;12;3;4;ab;18;7;11;15;16;14;10;17
22;0;5;2;1;6;9;ab;8;13;12;3;4;ab;18;7;11;15;16;14;10;17
23;0;5;2;1;6;9;ab;8;13;12;3;4;ab;18;7;11;15;16;14;10;17
24;0;5;2;1;6;8;ab;9;13;12;3;4;ab;18;7;11;15;16;14;10;17
25;0;5;4;1;6;8;ab;9;13;12;2;3;ab;18;7;11;15;16;14;10;17
26;0;5;3;1;6;7;ab;9;12;11;2;4;ab;18;8;13;15;16;14;10;17
27;0;5;2;1;6;7;ab;8;12;11;3;4;ab;18;9;16;14;15;13;10;17
28;0;4;2;1;5;6;ab;8;12;11;7;3;ab;18;9;16;14;15;13;10;17
29;0;3;2;1;5;6;ab;8;12;10;7;4;ab;18;11;16;14;15;13;9;17
30;0;3;2;1;4;5;ab;7;11;10;6;8;ab;18;16;15;13;14;12;9;17
31;0;3;2;1;4;5;ab;7;11;10;6;8;ab;18;16;15;13;14;12;9;17
32;0;3;2;1;4;5;ab;7;11;10;6;8;ab;18;16;15;13;14;12;9;17
33;0;3;2;1;4;5;ab;7;11;9;6;8;ab;18;16;15;13;14;12;10;17
34;0;3;2;1;4;5;ab;7;10;9;6;8;ab;18;16;15;13;14;11;12;17
35;0;3;2;1;4;5;ab;7;10;9;6;8;ab;18;15;14;12;13;11;16;17
36;0;3;2;1;4;5;ab;7;10;9;6;8;ab;18;15;13;12;14;11;16;17
37;0;3;2;1;4;5;ab;7;10;9;6;8;ab;18;15;13;12;14;11;16;17
38;0;3;2;1;4;5;ab;7;10;9;6;8;ab;18;15;12;13;14;11;16;17
39;0;3;2;1;4;5;ab;7;10;9;6;8;ab;18;15;12;14;13;11;16;17
40;0;3;2;1;4;5;ab;7;10;9;6;8;ab;18;14;12;15;13;11;16;17
41;0;3;2;1;4;5;ab;7;10;9;6;8;ab;18;14;11;16;13;12;15;17
42;1;3;2;1;4;5;ab;7;9;11;6;8;ab;17;14;10;18;13;12;15;16
43;0;3;2;1;4;5;ab;7;9;11;6;8;ab;17;14;10;18;13;12;15;16
44;0;3;2;1;4;5;ab;7;9;10;6;8;ab;17;14;11;18;13;12;15;16
45;0;3;2;1;4;5;ab;7;9;10;6;8;ab;17;14;11;18;13;12;15;16
46;0;3;2;1;4;5;ab;7;14;9;6;8;ab;17;13;10;18;12;11;15;16
47;0;3;2;1;4;5;ab;7;15;9;6;8;ab;18;13;10;17;11;12;14;16
48;0;3;2;1;4;5;ab;7;15;9;6;8;ab;18;13;10;17;11;12;14;16
49;0;3;2;1;4;5;ab;7;15;9;6;8;ab;18;13;10;17;11;12;14;16
50;0;3;2;1;4;5;ab;7;15;9;6;8;ab;18;13;10;17;11;12;14;16
51;0;3;2;1;4;5;ab;7;15;9;6;8;ab;18;13;10;17;11;12;14;16
52;0;3;2;1;4;5;ab;7;15;9;6;8;ab;18;13;10;17;11;12;14;16
