;sc;BOT;HAM;VER;LEC;ALB;RIC;OCO;NOR;PER;SAI;VET;GAS;KVY;GIO;MAG;GRO;RUS;LAT;RAI;HUL
0;0;1;2;3;4;6;5;9;7;8;10;12;13;15;11;14;20;16;18;19;17
1;0;1;2;3;4;6;5;9;7;8;10;12;14;15;11;13;20;16;18;19;17
2;0;1;2;3;4;6;5;9;7;8;10;12;14;15;11;13;20;16;18;19;17
3;0;1;2;3;4;6;5;9;7;8;10;12;14;15;11;13;20;16;18;19;17
4;0;1;2;3;4;6;5;9;7;8;10;12;14;15;11;13;20;16;18;19;17
5;0;1;2;3;4;6;5;9;7;8;10;12;14;15;11;13;20;16;18;19;17
6;0;1;2;3;4;8;5;9;6;7;10;12;14;15;11;13;20;16;18;19;17
7;0;1;2;3;4;20;5;8;6;7;9;11;13;14;10;12;19;15;17;18;16
8;0;1;2;3;5;20;4;8;6;7;9;11;13;14;10;12;19;15;17;18;16
9;0;1;2;3;8;19;4;7;5;6;9;11;13;14;10;12;18;15;17;20;16
10;0;1;2;3;19;15;4;7;5;6;8;16;10;12;9;11;18;17;14;20;13
11;0;1;2;3;17;14;4;7;5;6;8;19;10;12;9;11;16;18;15;20;13
12;0;3;1;2;16;12;4;7;5;6;8;18;10;11;9;13;17;ab;15;19;14
13;0;4;1;2;15;12;3;7;5;6;8;18;9;11;10;14;16;ab;17;19;13
14;0;3;1;2;14;11;4;7;5;6;8;16;9;10;13;18;15;ab;19;17;12
15;1;3;1;2;12;10;4;7;5;6;8;16;9;13;15;18;14;ab;19;17;11
16;1;5;1;2;12;10;9;6;3;4;7;15;8;19;14;17;13;ab;18;16;11
17;0;12;1;2;11;9;7;5;3;4;6;15;8;19;14;17;13;ab;18;16;10
18;0;ab;1;2;11;9;7;5;3;4;6;14;8;18;13;16;12;ab;17;15;10
19;0;ab;1;2;10;9;7;5;3;4;6;14;8;18;13;16;12;ab;17;15;11
20;0;ab;1;2;10;9;7;5;3;4;6;14;8;18;13;16;12;ab;17;15;11
21;0;ab;1;2;9;8;6;10;3;4;5;14;7;18;13;16;12;ab;17;15;11
22;0;ab;1;2;8;9;6;ab;3;4;5;13;7;17;12;15;11;ab;16;14;10
23;0;ab;1;2;8;ab;6;ab;3;4;5;12;7;16;11;14;10;ab;15;13;9
24;0;ab;1;2;8;ab;6;ab;3;4;5;12;7;16;11;14;10;ab;15;13;9
25;0;ab;1;2;8;ab;6;ab;3;4;5;12;7;16;11;14;10;ab;15;13;9
26;0;ab;1;2;8;ab;6;ab;3;4;5;12;7;16;11;14;10;ab;15;13;9
27;0;ab;1;2;7;ab;5;ab;3;4;6;12;8;16;10;14;11;ab;15;13;9
28;0;ab;1;2;5;ab;4;ab;3;6;8;11;7;16;10;13;15;ab;14;12;9
29;0;ab;1;2;4;ab;3;ab;6;5;7;10;8;16;9;12;15;ab;13;11;14
30;0;ab;1;2;4;ab;3;ab;6;5;7;9;12;16;8;11;15;ab;13;10;14
31;0;ab;1;2;4;ab;3;ab;6;5;7;9;12;16;8;11;15;ab;14;10;13
32;0;ab;1;2;5;ab;3;ab;7;4;6;9;12;16;8;11;14;ab;15;10;13
33;0;ab;1;2;5;ab;3;ab;7;4;6;9;11;16;8;14;13;ab;15;10;12
34;0;ab;1;2;6;ab;3;ab;7;4;5;9;11;16;8;14;13;ab;15;10;12
35;0;ab;1;2;10;ab;3;ab;6;4;5;7;11;16;9;14;13;ab;15;8;12
36;0;ab;1;2;9;ab;3;ab;6;4;5;7;10;16;13;14;12;ab;15;8;11
37;0;ab;1;2;8;ab;3;ab;6;4;5;7;9;16;13;14;12;ab;15;10;11
38;0;ab;1;2;7;ab;3;ab;6;4;5;8;9;16;13;14;12;ab;15;11;10
39;0;ab;1;2;7;ab;3;ab;6;4;5;9;8;16;13;14;12;ab;15;11;10
40;0;ab;1;2;7;ab;3;ab;6;4;5;12;8;16;13;14;11;ab;15;10;9
41;0;ab;1;2;7;ab;3;ab;6;4;5;15;8;16;12;13;11;ab;14;10;9
42;0;ab;1;2;6;ab;3;ab;ab;4;5;14;7;15;11;12;10;ab;13;9;8
43;0;ab;1;2;6;ab;3;ab;ab;4;5;14;7;15;11;12;10;ab;13;9;8
44;1;ab;1;2;6;ab;4;ab;ab;3;5;13;8;15;10;11;7;ab;12;14;9
45;1;ab;1;2;6;ab;3;ab;ab;4;5;13;8;15;10;11;7;ab;12;14;9
46;1;ab;1;2;6;ab;3;ab;ab;4;5;13;8;15;10;11;7;ab;12;14;9
47;1;ab;1;2;6;ab;3;ab;ab;4;5;13;8;15;10;11;7;ab;12;14;9
48;1;ab;1;2;6;ab;3;ab;ab;4;5;13;8;15;10;11;7;ab;12;14;9
49;0;ab;1;2;6;ab;3;ab;ab;4;5;13;7;15;10;11;9;ab;12;14;8
50;0;ab;1;2;7;ab;3;ab;ab;4;5;13;6;15;10;11;9;ab;12;14;8
51;0;ab;1;2;7;ab;3;ab;ab;4;5;13;6;15;10;11;9;ab;12;14;8
52;0;ab;1;2;7;ab;3;ab;ab;4;5;12;6;15;10;11;9;ab;14;13;8
53;0;ab;1;2;7;ab;3;ab;ab;4;5;12;6;15;10;11;9;ab;14;13;8
