;sc;HAM;BOT;VER;LEC;PER;ALB;SAI;NOR;GAS;RIC;OCO;STR;KVY;RUS;VET;RAI;GIO;GRO;MAG;LAT
0;0;3;1;5;6;20;9;2;4;10;8;12;11;19;13;15;7;14;16;17;18
1;0;3;2;5;8;20;12;1;4;9;7;11;10;19;13;16;6;14;15;18;17
2;0;3;2;5;8;20;11;1;4;9;7;12;10;19;13;16;6;14;15;18;17
3;0;3;2;5;8;20;11;1;4;9;7;12;10;19;13;16;6;14;15;18;17
4;0;3;2;4;8;20;11;1;5;9;7;12;10;18;13;16;6;14;15;19;17
5;0;3;1;4;7;20;11;2;5;9;8;12;10;18;13;16;6;14;15;19;17
6;0;2;1;4;7;20;11;3;5;9;8;12;10;17;13;15;6;14;16;19;18
7;0;2;1;3;6;20;11;4;5;9;8;12;10;17;13;15;7;14;16;19;18
8;0;2;1;3;5;20;11;4;6;9;7;12;10;16;13;15;8;14;17;19;18
9;0;2;1;3;5;20;11;4;6;8;7;12;10;16;13;15;9;14;17;19;18
10;0;2;1;3;5;20;10;4;6;7;8;11;9;16;13;15;12;14;17;19;18
11;0;2;1;3;4;19;11;5;6;7;8;10;9;15;12;13;20;14;16;18;17
12;0;2;1;3;4;18;11;5;7;6;9;10;8;15;12;13;20;14;16;17;19
13;0;2;1;3;4;18;10;5;7;6;11;9;8;15;13;12;20;14;16;17;19
14;0;2;1;3;4;16;10;5;7;6;19;9;8;14;12;11;20;13;15;17;18
15;0;2;1;3;4;15;10;5;7;6;19;9;8;14;12;11;20;13;16;17;18
16;0;2;1;3;4;15;10;5;7;6;19;9;8;14;12;11;20;13;16;17;18
17;0;2;1;3;4;14;8;5;9;6;19;7;16;13;11;10;20;12;15;17;18
18;0;2;1;3;4;13;9;5;19;6;17;7;20;12;10;8;18;11;14;15;16
19;0;1;2;3;4;12;18;6;19;5;16;7;20;11;9;8;17;10;13;14;15
20;0;1;2;3;4;11;18;6;19;5;16;7;20;12;9;8;17;10;13;14;15
21;0;1;2;3;4;11;18;6;19;5;16;7;20;12;9;8;17;10;13;14;15
22;0;1;2;4;3;10;18;6;19;5;16;7;20;12;9;8;17;11;13;14;15
23;0;1;2;6;3;10;18;5;19;4;15;7;20;11;9;8;16;12;13;14;17
24;0;1;2;6;3;9;17;5;18;4;15;7;20;13;10;8;16;11;12;14;19
25;0;1;2;5;3;9;16;6;17;4;14;7;20;18;10;8;15;11;13;12;19
26;0;1;2;5;3;7;15;14;16;4;12;6;20;18;9;8;13;10;17;11;19
27;0;1;2;5;3;7;14;13;16;4;9;6;20;18;8;15;11;10;17;12;19
28;0;1;2;4;3;6;13;12;15;8;9;5;20;18;7;14;10;16;17;11;19
29;0;1;2;4;3;6;13;11;15;9;8;5;20;18;7;14;10;16;17;12;19
30;0;1;2;4;3;6;12;11;15;9;8;5;20;18;7;14;10;16;17;13;19
31;0;1;2;4;3;6;12;11;14;9;8;5;20;17;7;13;10;15;16;18;19
32;0;1;2;4;3;6;12;10;14;9;8;5;20;17;7;13;11;15;16;19;18
33;0;1;2;4;3;5;12;10;14;9;8;6;20;17;7;13;11;15;16;19;18
34;0;1;2;3;4;5;12;10;14;9;8;6;20;17;7;13;11;15;16;19;18
35;0;1;2;3;4;5;12;10;14;9;8;6;20;17;7;13;11;15;16;19;18
36;0;1;2;3;4;5;11;9;13;8;7;6;20;17;15;12;10;14;16;19;18
37;0;1;2;3;4;5;11;9;13;8;7;6;20;17;15;12;10;14;16;18;19
38;0;1;2;3;4;5;11;9;13;8;7;6;20;17;15;12;10;14;16;18;19
39;0;1;2;3;4;5;11;9;13;8;7;6;20;17;15;12;10;14;16;18;19
40;0;2;1;3;4;5;11;9;13;8;7;6;20;16;15;12;10;14;17;18;19
41;0;1;2;3;4;5;11;9;13;8;7;6;20;16;15;12;10;14;17;18;19
42;0;1;2;3;4;5;11;9;13;8;7;6;20;16;15;12;10;14;17;18;19
43;0;1;2;3;4;5;11;9;17;8;7;6;20;15;14;12;10;13;16;18;19
44;0;1;2;3;4;5;11;9;17;7;8;6;20;15;14;12;10;13;16;18;19
45;0;1;2;3;4;6;12;9;17;7;8;5;20;15;14;11;10;13;16;18;19
46;0;1;2;3;4;6;12;8;17;7;9;5;20;15;14;11;10;13;16;18;19
47;0;1;2;3;4;6;12;8;17;7;9;5;20;15;14;11;10;13;16;18;19
48;0;1;2;3;4;6;12;8;17;7;9;5;20;15;14;11;10;13;16;18;19
49;0;1;2;3;4;6;12;8;17;7;9;5;20;15;14;11;10;13;16;18;19
50;0;1;2;3;4;6;12;8;17;7;9;5;20;15;13;11;10;14;16;18;19
51;0;1;2;3;4;6;12;8;17;7;9;5;ab;15;13;11;10;14;16;18;19
52;0;1;2;3;4;6;12;8;16;7;9;5;ab;15;13;11;10;14;17;18;19
53;0;1;2;3;4;5;12;7;15;6;9;8;ab;16;13;10;11;14;17;18;19
54;0;1;2;3;4;5;12;7;14;6;9;8;ab;17;13;10;11;15;16;18;19
55;0;1;2;3;4;5;12;7;14;6;9;8;ab;19;13;10;11;15;16;17;18
56;0;1;2;3;4;5;12;7;14;6;9;8;ab;19;13;10;11;15;16;17;18
57;0;1;2;3;4;5;12;7;13;6;9;8;ab;19;14;10;11;15;16;17;18
58;0;1;2;3;4;5;12;7;13;6;9;8;ab;19;14;10;11;15;16;17;18
59;0;1;2;3;4;5;12;7;13;6;9;8;ab;19;14;10;11;15;16;17;18
60;0;1;2;3;4;5;12;7;13;6;9;8;ab;19;14;10;11;15;16;17;18
61;0;1;2;3;4;5;12;7;13;6;9;8;ab;19;14;10;11;15;16;17;18
62;0;1;2;3;4;5;12;7;13;6;9;8;ab;19;14;10;11;15;16;17;18
63;0;1;2;3;4;6;12;7;13;5;9;8;ab;19;14;10;11;15;16;17;18
64;0;1;2;3;4;7;12;6;13;5;9;8;ab;19;14;10;11;15;16;17;18
65;0;1;2;3;4;7;12;6;13;5;9;8;ab;19;14;10;11;15;17;16;18
