;sc;HAM;BOT;VER;ALB;PER;RIC;OCO;GAS;NOR;KVY;VET;LEC;STR;RUS;SAI;GIO;RAI;MAG;GRO;LAT
0;1;1;6;2;4;3;5;8;7;9;19;15;10;12;18;13;11;17;14;ab;16
1;1;1;4;2;5;3;6;8;9;7;15;10;12;11;18;13;14;16;17;ab;19
2;1;1;4;2;5;3;9;7;10;6;12;16;8;ab;15;11;17;13;18;ab;14
3;1;1;5;2;4;3;9;7;10;6;12;16;8;ab;15;11;17;13;18;ab;14
4;1;1;16;2;4;3;8;6;9;5;11;15;7;ab;14;10;17;12;18;ab;13
5;1;1;16;2;4;3;8;6;9;5;11;15;7;ab;14;10;17;12;18;ab;13
6;1;1;16;2;4;3;8;6;9;5;11;15;7;ab;14;10;17;12;18;ab;13
7;1;1;16;2;4;3;8;6;9;5;11;15;7;ab;14;10;17;12;18;ab;13
8;0;1;16;2;4;3;9;6;10;5;11;15;7;ab;13;8;17;12;18;ab;14
9;0;1;16;2;4;3;9;6;10;5;11;15;7;ab;12;8;17;13;18;ab;14
10;0;1;16;2;4;3;9;6;10;5;11;15;7;ab;12;8;17;13;18;ab;14
11;0;1;15;2;4;3;8;6;10;5;11;18;9;ab;12;7;16;13;17;ab;14
12;0;1;15;2;4;3;8;6;9;5;11;18;10;ab;12;7;16;13;17;ab;14
13;0;1;14;2;4;3;8;6;9;5;11;18;10;ab;12;7;16;13;17;ab;15
14;0;1;14;2;4;3;8;6;9;5;11;18;10;ab;12;7;16;13;17;ab;15
15;0;1;14;2;4;3;9;6;8;5;11;18;10;ab;12;7;16;13;17;ab;15
16;0;1;12;2;4;3;18;7;8;5;10;17;9;ab;11;6;15;13;16;ab;14
17;0;1;10;2;4;3;15;14;7;5;17;16;8;ab;9;6;12;18;13;ab;11
18;0;1;9;2;4;3;14;13;6;10;17;16;7;ab;8;5;12;18;15;ab;11
19;0;3;8;1;7;2;12;11;5;10;17;16;6;ab;9;4;15;18;14;ab;13
20;0;1;8;2;7;5;11;10;4;9;15;18;6;ab;14;3;17;16;12;ab;13
21;0;1;7;2;5;4;10;9;3;8;14;17;6;ab;13;11;16;15;12;ab;18
22;0;1;6;2;5;3;10;9;4;8;14;17;7;ab;13;11;16;15;12;ab;18
23;0;1;6;2;4;3;9;8;5;7;14;17;12;ab;13;10;16;15;11;ab;18
24;0;1;7;2;4;3;9;8;5;6;14;17;11;ab;13;10;16;15;12;ab;18
25;0;1;13;2;4;3;8;6;9;5;14;17;10;ab;12;7;16;15;11;ab;18
26;0;1;11;2;4;3;8;7;9;5;13;17;10;ab;12;6;16;15;14;ab;18
27;0;1;11;2;4;3;8;7;9;5;13;16;10;ab;12;6;14;15;18;ab;17
28;0;1;11;2;4;3;7;8;9;5;13;16;10;ab;12;6;14;15;18;ab;17
29;0;1;11;2;4;3;7;8;9;5;13;15;10;ab;12;6;14;16;18;ab;17
30;0;1;11;2;4;3;7;8;9;5;13;15;10;ab;12;6;14;16;18;ab;17
31;0;1;10;2;4;3;7;8;9;5;13;15;11;ab;12;6;14;16;18;ab;17
32;0;1;10;2;4;3;7;8;9;5;14;15;11;ab;12;6;13;16;18;ab;17
33;0;1;9;2;4;3;7;10;8;5;18;14;11;ab;12;6;13;15;17;ab;16
34;0;1;9;3;6;2;7;12;8;4;17;14;10;ab;11;5;13;15;18;ab;16
35;0;1;8;2;6;3;9;11;7;4;17;14;10;ab;12;5;13;15;18;ab;16
36;0;1;8;2;6;5;11;10;7;3;17;14;9;ab;12;4;13;15;18;ab;16
37;0;1;8;2;6;3;10;11;7;4;16;14;9;ab;12;5;13;15;17;ab;18
38;0;1;11;2;4;3;9;10;6;7;16;14;8;ab;13;5;12;15;17;ab;18
39;0;1;11;2;4;3;9;10;5;6;13;18;8;ab;16;7;12;14;15;ab;17
40;0;1;10;2;4;3;8;9;5;6;13;16;12;ab;15;7;11;18;14;ab;17
41;0;1;10;2;4;3;8;9;5;6;13;16;11;ab;14;7;12;18;15;ab;17
42;0;1;9;2;4;3;8;10;5;6;13;15;11;ab;14;7;12;18;16;ab;17
43;0;1;9;2;4;3;8;10;6;5;13;15;11;ab;14;7;12;18;17;ab;16
44;0;1;9;2;4;3;8;10;6;5;13;15;11;ab;14;7;12;17;18;ab;16
45;0;1;9;2;4;3;8;10;6;5;13;15;11;ab;14;7;12;17;18;ab;16
46;0;1;9;2;4;3;8;10;6;5;12;15;11;ab;14;7;13;17;18;ab;16
47;0;1;9;2;4;3;8;10;6;5;12;15;11;ab;14;7;13;17;18;ab;16
48;0;1;9;2;4;3;8;10;6;5;12;15;11;ab;14;7;13;17;18;ab;16
49;0;1;9;2;4;3;8;10;6;5;12;15;11;ab;14;7;13;17;18;ab;16
50;0;1;9;2;4;3;8;10;7;5;12;15;11;ab;14;6;13;17;18;ab;16
51;0;1;9;2;4;3;8;10;7;5;12;15;11;ab;14;6;13;17;18;ab;16
52;0;1;9;2;4;3;8;10;7;5;12;14;11;ab;13;6;15;17;18;ab;16
53;0;1;8;2;3;18;7;9;6;4;11;13;10;ab;12;5;16;15;17;ab;14
54;1;1;8;2;3;18;7;9;6;4;11;13;10;ab;12;5;16;15;17;ab;14
55;1;1;8;2;3;18;7;9;6;4;11;13;10;ab;12;5;16;15;17;ab;14
56;1;1;8;2;3;18;7;9;6;4;11;13;10;ab;12;5;16;15;17;ab;14
