;sc;BOT;RUS2;VER;LEC;PER;KVY;RIC;SAI;GAS;STR;OCO;ALB;VET;GIO;MAG;LAT;AIT;RAI;NOR;FIT
0;1;2;1;ab;ab;18;5;4;3;7;6;8;12;9;13;11;14;15;17;10;16
1;1;2;1;ab;ab;18;5;4;3;7;6;8;12;9;13;11;14;15;17;10;16
2;1;2;1;ab;ab;18;5;4;3;7;6;8;12;9;14;11;13;15;17;10;16
3;1;2;1;ab;ab;18;5;4;3;7;6;8;12;9;14;11;13;15;17;10;16
4;1;2;1;ab;ab;18;5;4;3;7;6;8;11;9;14;12;13;15;17;10;16
5;1;2;1;ab;ab;18;5;4;3;7;6;8;11;9;14;12;13;15;17;10;16
6;0;2;1;ab;ab;16;5;4;3;7;6;8;11;9;14;12;13;15;18;10;17
7;0;2;1;ab;ab;14;5;4;3;7;6;8;10;11;15;12;13;16;17;9;18
8;0;2;1;ab;ab;13;5;4;3;7;6;8;11;10;15;12;14;16;17;9;18
9;0;2;1;ab;ab;12;5;4;3;7;6;8;11;10;15;13;14;17;16;9;18
10;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;15;13;14;16;17;9;18
11;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;15;13;14;16;17;9;18
12;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;15;13;14;16;17;9;18
13;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;15;13;14;16;17;9;18
14;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;15;13;14;16;17;9;18
15;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;14;15;13;16;17;9;18
16;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;14;15;13;16;17;9;18
17;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;14;15;13;16;17;9;18
18;0;2;1;ab;ab;11;5;4;3;7;6;8;10;12;14;15;13;16;17;9;18
19;0;2;1;ab;ab;10;5;4;3;7;6;8;9;12;14;15;13;16;17;11;18
20;0;2;1;ab;ab;9;5;4;3;7;6;8;10;11;13;14;12;15;16;18;17
21;0;2;1;ab;ab;9;5;4;3;7;6;8;10;11;13;14;12;15;16;18;17
22;0;2;1;ab;ab;9;5;4;3;7;6;8;10;11;13;14;12;15;17;18;16
23;0;2;1;ab;ab;9;5;4;3;7;6;8;10;11;13;14;12;15;18;17;16
24;0;2;1;ab;ab;9;5;4;3;7;6;8;10;11;13;14;12;15;18;16;17
25;0;2;1;ab;ab;9;5;4;3;7;6;8;10;11;13;15;12;14;18;16;17
26;0;2;1;ab;ab;9;7;4;3;6;5;8;10;11;16;17;12;13;18;14;15
27;0;2;1;ab;ab;8;11;3;4;7;5;6;9;10;16;17;15;12;18;13;14
28;0;2;1;ab;ab;6;10;4;9;11;3;5;7;8;16;17;15;12;18;13;14
29;0;2;1;ab;ab;5;9;10;8;11;3;4;6;7;16;17;15;12;18;13;14
30;0;2;1;ab;ab;5;8;9;7;11;3;4;6;10;15;17;14;13;18;12;16
31;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
32;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
33;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
34;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
35;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
36;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
37;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
38;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
39;0;2;1;ab;ab;5;8;9;7;10;3;4;6;12;14;15;13;16;17;11;18
40;0;2;1;ab;ab;4;8;9;7;10;3;5;6;12;14;15;13;16;17;11;18
41;0;2;1;ab;ab;4;7;8;6;9;3;10;5;12;14;15;13;16;17;11;18
42;0;2;1;ab;ab;3;6;7;5;8;10;9;4;12;14;15;13;16;17;11;18
43;0;2;1;ab;ab;3;6;7;5;8;10;9;4;12;14;15;13;16;17;11;18
44;0;2;1;ab;ab;3;6;7;5;8;10;9;4;12;14;15;13;16;17;11;18
45;0;1;2;ab;ab;3;6;7;5;8;10;9;4;12;14;15;13;16;17;11;18
46;0;1;2;ab;ab;3;6;7;4;8;10;9;5;12;14;15;13;16;17;11;18
47;0;1;2;ab;ab;9;4;5;3;6;8;7;11;12;14;15;13;16;17;10;18
48;0;1;2;ab;ab;9;4;5;3;6;8;7;11;12;14;15;13;16;17;10;18
