;sc;HAM;VER;SAI;BOT;OCO;ALB;GAS;RIC;NOR;VET;RUS;STR;KVY;LEC;MAG;RAI;PER;LAT;GIO;GRO
0;1;1;2;3;4;6;5;8;7;10;16;12;11;14;9;13;20;17;18;15;19
1;1;1;2;3;4;6;5;8;7;9;ab;11;10;13;19;12;18;15;16;14;17
2;1;1;2;3;4;6;5;8;7;9;ab;11;10;13;19;12;18;15;16;14;17
3;0;1;2;3;4;6;5;8;7;9;ab;18;10;12;19;11;17;13;15;14;16
4;0;1;2;3;4;6;5;8;7;10;ab;18;9;13;ab;11;17;12;15;14;16
5;0;1;2;4;3;6;5;8;7;10;ab;18;9;13;ab;12;17;11;15;14;16
6;0;1;2;4;3;6;5;8;7;10;ab;18;9;12;ab;13;17;11;16;14;15
7;0;1;2;5;3;6;4;8;7;10;ab;18;9;12;ab;14;17;11;16;13;15
8;0;1;2;5;3;6;4;8;7;10;ab;18;9;12;ab;14;17;11;16;13;15
9;0;1;2;5;3;6;4;8;7;10;ab;18;9;12;ab;14;16;11;17;13;15
10;0;1;2;5;3;6;4;8;7;10;ab;18;9;12;ab;15;16;11;17;13;14
11;0;1;2;5;3;6;4;8;7;10;ab;18;9;12;ab;15;16;11;17;13;14
12;0;1;2;5;3;6;4;8;7;10;ab;18;9;12;ab;16;15;11;17;13;14
13;0;1;2;5;3;6;4;8;7;11;ab;18;9;12;ab;16;15;10;17;13;14
14;0;1;2;5;3;6;4;8;7;11;ab;18;9;12;ab;16;15;10;17;13;14
15;0;1;2;5;3;6;4;8;7;11;ab;18;9;12;ab;16;15;10;17;13;14
16;0;1;2;5;3;6;4;9;7;11;ab;18;8;12;ab;16;15;10;17;13;14
17;0;1;2;5;3;6;4;10;7;11;ab;18;8;12;ab;16;14;9;17;13;15
18;0;1;2;5;3;7;4;10;6;11;ab;18;8;12;ab;16;14;9;17;13;15
19;0;1;2;5;3;7;4;10;6;11;ab;18;8;12;ab;16;14;9;17;13;15
20;0;1;2;5;3;7;4;11;6;10;ab;18;8;12;ab;16;14;9;17;13;15
21;0;1;2;5;3;7;4;11;6;10;ab;18;8;12;ab;15;14;9;17;13;16
22;0;1;2;5;3;7;4;11;6;10;ab;18;8;12;ab;15;14;9;17;13;16
23;0;1;3;5;2;7;4;13;6;10;ab;18;8;11;ab;15;14;9;17;12;16
24;0;1;3;5;2;9;4;18;6;10;ab;17;7;11;ab;14;13;8;16;12;15
25;0;1;3;5;2;ab;4;17;6;9;ab;16;7;10;ab;13;12;8;15;11;14
26;0;1;3;5;2;ab;4;17;6;9;ab;16;7;10;ab;13;12;8;15;11;14
27;0;2;3;5;1;ab;4;17;6;9;ab;16;7;10;ab;13;12;8;15;11;14
28;0;2;3;5;1;ab;4;17;6;9;ab;16;7;10;ab;13;12;8;15;11;14
29;0;2;3;5;1;ab;4;17;6;9;ab;16;7;10;ab;13;12;8;15;11;14
30;0;2;3;5;1;ab;4;17;6;9;ab;16;7;10;ab;14;12;8;15;11;13
31;0;2;3;7;1;ab;4;14;5;9;ab;15;6;10;ab;17;12;8;16;11;13
32;0;2;3;13;1;ab;4;14;5;8;ab;15;7;9;ab;16;11;6;17;10;12
33;0;2;3;12;1;ab;4;14;5;7;ab;16;11;8;ab;15;10;6;17;9;13
34;0;1;2;12;3;ab;4;14;5;7;ab;17;11;8;ab;15;10;6;16;9;13
35;0;1;2;12;3;ab;7;14;4;6;ab;17;9;11;ab;15;10;5;16;8;13
36;0;1;2;10;3;ab;7;13;5;6;ab;17;8;14;ab;15;11;4;16;9;12
37;0;1;2;9;3;ab;6;12;7;5;ab;17;8;13;ab;14;11;4;16;10;15
38;0;1;2;9;3;ab;5;12;6;4;ab;17;7;13;ab;14;10;8;16;11;15
39;0;1;2;8;3;ab;4;11;5;10;ab;17;6;12;ab;13;9;7;16;14;15
40;0;1;2;8;3;ab;4;11;5;10;ab;17;6;12;ab;14;9;7;16;13;15
41;0;1;2;8;3;ab;4;11;5;10;ab;17;6;12;ab;14;9;7;16;13;15
42;0;1;2;8;3;ab;4;11;5;10;ab;17;6;12;ab;14;9;7;16;13;15
43;0;1;2;8;3;ab;4;11;5;9;ab;17;6;12;ab;14;10;7;16;13;15
44;0;1;2;8;3;ab;4;11;5;9;ab;17;7;10;ab;13;14;6;16;12;15
45;0;1;2;8;3;ab;4;11;5;9;ab;17;7;10;ab;13;14;6;16;12;15
46;0;1;2;8;3;ab;4;12;5;9;ab;17;7;10;ab;14;13;6;16;11;15
47;0;1;2;8;3;ab;4;13;6;9;ab;17;7;10;ab;15;12;5;16;11;14
48;0;1;2;8;3;ab;4;15;6;9;ab;17;7;10;ab;14;12;5;16;11;13
49;0;1;2;8;3;ab;4;17;6;9;ab;16;7;10;ab;14;12;5;15;11;13
50;0;1;2;8;3;ab;4;17;6;9;ab;16;7;10;ab;14;12;5;15;11;13
51;0;1;2;8;3;ab;4;17;6;9;ab;16;7;10;ab;14;12;5;15;11;13
52;0;1;2;8;3;ab;4;17;6;9;ab;15;7;10;ab;14;12;5;16;11;13
53;0;1;2;8;3;ab;4;16;6;9;ab;15;7;10;ab;14;12;5;17;11;13
54;0;1;2;8;3;ab;4;15;6;9;ab;16;7;10;ab;14;12;5;17;11;13
55;0;1;2;8;3;ab;4;15;6;9;ab;16;7;10;ab;14;12;5;17;11;13
56;0;1;2;8;3;ab;4;15;6;9;ab;16;7;10;ab;14;12;5;17;11;13
57;0;1;2;8;3;ab;4;15;6;9;ab;16;7;10;ab;14;12;5;17;11;13
58;0;1;2;8;3;ab;4;15;6;9;ab;16;7;10;ab;14;11;5;17;12;13
59;0;1;2;8;3;ab;4;15;6;9;ab;16;7;10;ab;14;11;5;17;12;13
60;0;1;2;9;3;ab;4;15;6;8;ab;16;7;10;ab;14;11;5;17;12;13
61;0;1;2;9;3;ab;4;15;6;8;ab;16;7;10;ab;14;11;5;17;12;13
62;0;1;2;9;3;ab;4;15;6;8;ab;16;7;10;ab;14;11;5;17;12;13
63;0;1;2;9;3;ab;4;15;6;8;ab;16;7;10;ab;14;11;5;17;12;13
64;0;1;2;9;3;ab;4;15;6;8;ab;16;7;10;ab;13;11;5;17;12;14
65;0;1;2;9;3;ab;4;15;6;8;ab;16;7;10;ab;13;11;5;17;12;14
66;0;1;3;9;2;ab;4;15;6;8;ab;16;7;10;ab;13;11;5;17;12;14
67;0;1;3;9;2;ab;4;15;6;8;ab;16;7;10;ab;12;11;5;17;14;13
68;0;1;3;9;2;ab;4;15;6;8;ab;16;7;10;ab;12;11;5;17;14;13
69;0;1;3;9;2;ab;4;15;8;7;ab;16;6;10;ab;12;11;5;17;14;13
70;0;1;3;9;2;ab;4;15;8;5;ab;16;7;10;ab;12;11;6;17;14;13
