;sc;HAM;BOT;STR;PER;VET;LEC;VER;NOR;SAI;GAS;RIC;RUS;ALB;OCO;LAT;MAG;KVY;GRO;GIO;RAI
0;0;1;6;2;7;4;5;3;13;8;12;9;15;11;16;10;19;17;20;18;14
1;0;1;8;2;5;4;6;3;13;7;12;9;16;11;14;10;18;20;19;17;15
2;0;1;19;3;5;4;18;2;10;7;12;6;13;9;8;11;16;20;17;15;14
3;0;3;11;9;12;13;10;1;6;16;18;2;7;14;4;20;5;17;8;15;19
4;0;1;7;5;10;8;6;2;18;12;14;11;17;9;16;20;3;13;4;19;15
5;0;1;7;5;10;8;6;2;18;12;14;11;17;9;16;20;3;13;4;19;15
6;0;1;7;4;10;8;6;2;18;12;14;11;17;9;16;20;3;13;5;19;15
7;0;1;7;4;10;8;6;2;18;12;14;11;17;9;16;20;3;13;5;19;15
8;0;1;7;4;10;8;6;2;18;12;14;11;17;9;16;20;3;13;5;19;15
9;0;1;6;4;10;8;7;2;18;12;14;11;17;9;16;20;3;13;5;19;15
10;0;1;6;4;10;9;7;2;18;12;14;11;17;8;16;20;3;13;5;19;15
11;0;1;5;4;10;9;7;2;18;12;14;11;17;8;16;20;3;13;6;19;15
12;0;1;5;4;10;9;7;2;18;12;14;11;17;8;16;20;3;13;6;19;15
13;0;1;5;4;10;9;7;2;18;12;15;11;17;8;16;20;3;13;6;19;14
14;0;1;5;4;10;9;7;2;16;12;18;11;17;8;15;20;3;13;6;19;14
15;0;1;5;3;10;9;7;2;16;12;ab;11;17;8;15;19;4;13;6;18;14
16;0;1;4;3;10;9;7;2;16;12;ab;11;17;8;15;19;5;13;6;18;14
17;0;1;4;3;10;9;8;2;16;12;ab;11;17;7;15;19;5;14;6;18;13
18;0;1;4;3;10;8;9;2;15;12;ab;11;16;7;14;19;5;18;6;17;13
19;0;1;4;3;9;8;12;2;15;11;ab;10;18;7;14;19;5;16;6;17;13
20;0;1;4;3;9;8;15;2;14;11;ab;10;17;7;13;19;5;16;6;18;12
21;0;1;4;3;9;8;15;2;14;11;ab;10;17;7;13;19;5;16;6;18;12
22;0;1;4;3;9;8;15;2;14;11;ab;10;17;7;13;19;5;16;6;18;12
23;0;1;4;3;9;8;15;2;14;11;ab;10;17;7;13;19;5;16;6;18;12
24;0;1;4;3;9;8;15;2;14;11;ab;10;17;7;13;19;5;16;6;18;12
25;0;1;4;3;9;8;15;2;14;11;ab;10;17;7;13;19;5;16;6;18;12
26;0;1;4;3;9;8;15;2;14;11;ab;10;17;7;13;19;5;16;6;18;12
27;0;1;4;3;9;8;15;2;14;11;ab;10;17;7;13;19;5;16;6;18;12
28;0;1;4;3;8;9;15;2;14;11;ab;10;17;6;13;19;5;16;7;18;12
29;0;1;4;3;8;12;15;2;14;10;ab;9;17;6;13;19;5;16;7;18;11
30;0;1;4;3;7;11;14;2;13;10;ab;9;17;6;15;19;5;16;8;18;12
31;0;1;4;3;7;11;13;2;14;10;ab;9;16;6;17;19;5;15;8;18;12
32;0;1;4;3;7;11;12;2;14;10;ab;8;16;6;17;19;5;15;9;18;13
33;0;1;4;3;6;10;12;2;13;9;ab;8;16;7;15;19;5;14;11;18;17
34;0;1;4;3;6;9;11;2;12;8;ab;7;16;10;15;19;5;13;14;18;17
35;0;1;3;4;10;7;11;2;15;6;ab;5;16;9;14;19;8;12;13;18;17
36;0;1;3;4;10;7;11;2;15;6;ab;5;16;8;14;19;9;12;13;18;17
37;0;1;3;4;10;7;11;2;15;6;ab;5;16;8;14;19;9;12;13;18;17
38;0;1;3;4;9;7;11;2;15;6;ab;5;16;8;14;19;10;12;13;18;17
39;0;1;3;4;9;6;11;2;15;7;ab;5;16;8;14;19;10;12;13;18;17
40;0;1;3;4;8;6;10;2;15;11;ab;5;16;7;14;19;9;12;13;18;17
41;0;1;3;4;8;6;10;2;15;11;ab;5;16;7;14;19;9;12;13;18;17
42;0;1;3;4;8;6;10;2;15;11;ab;5;16;7;14;19;9;12;13;18;17
43;0;1;3;4;7;5;10;2;15;11;ab;9;16;6;14;19;8;12;13;18;17
44;0;1;3;4;7;5;10;2;15;11;ab;9;16;6;14;19;8;12;13;18;17
45;0;1;3;4;7;5;10;2;15;11;ab;8;16;6;14;19;9;12;13;18;17
46;0;1;3;4;7;5;10;2;15;11;ab;8;16;6;13;19;9;12;14;18;17
47;0;1;3;4;7;5;10;2;14;11;ab;8;16;6;13;19;9;12;15;18;17
48;0;1;3;4;7;5;10;2;14;11;ab;8;16;6;13;19;9;12;15;18;17
49;0;1;3;4;7;5;10;2;14;11;ab;8;17;6;13;19;9;12;15;18;16
50;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
51;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
52;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
53;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
54;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
55;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
56;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
57;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
58;0;1;3;4;7;5;10;2;14;11;ab;8;18;6;13;19;9;12;15;17;16
59;0;1;3;4;7;5;11;2;14;10;ab;8;18;6;13;19;9;12;15;17;16
60;0;1;3;4;7;5;11;2;14;10;ab;8;18;6;13;19;9;12;15;17;16
61;0;1;3;4;7;5;11;2;14;10;ab;8;18;6;13;19;9;12;15;17;16
62;0;1;3;4;7;5;11;2;14;10;ab;8;18;6;13;19;9;12;15;17;16
63;0;1;3;4;7;5;11;2;14;10;ab;8;18;6;13;19;9;12;15;17;16
64;0;1;3;4;7;5;11;2;14;10;ab;8;18;6;13;19;9;12;15;17;16
65;0;1;3;4;7;6;11;2;14;10;ab;8;18;5;13;19;9;12;15;17;16
66;0;1;3;4;7;6;11;2;14;10;ab;8;18;5;13;19;9;12;15;17;16
67;0;1;3;4;7;6;11;2;14;10;ab;8;18;5;13;19;9;12;15;17;16
68;0;1;3;4;7;6;11;2;13;10;ab;8;18;5;14;19;9;12;15;17;16
69;0;1;3;4;7;6;11;2;13;9;ab;8;18;5;14;19;10;12;16;17;15
