;sc;BOT;HAM;HUL;VER;RIC;STR;GAS;LEC;ALB;NOR;VET;SAI;GRO;OCO;RUS;KVY;MAG;LAT;GIO;RAI
0;0;1;2;4;3;6;5;7;10;9;8;20;11;16;12;17;14;13;18;15;19
1;0;1;2;4;3;6;5;7;10;9;8;19;11;16;12;17;14;13;20;15;18
2;0;1;2;4;3;6;5;7;10;9;8;19;11;16;12;17;13;14;20;15;18
3;0;1;2;4;3;6;5;7;10;9;8;18;11;16;12;17;13;14;20;15;19
4;0;1;2;4;3;6;5;7;10;9;8;18;11;16;12;17;13;14;20;15;19
5;0;1;2;4;3;6;5;7;10;9;8;18;11;16;12;17;13;14;20;15;19
6;0;1;2;4;3;6;5;7;9;20;8;17;10;15;11;16;12;13;19;14;18
7;0;1;2;4;3;6;5;18;8;19;7;15;9;13;10;14;11;12;17;20;16
8;0;1;2;4;3;6;5;17;8;18;7;14;9;13;10;20;11;12;15;19;16
9;0;1;2;4;3;6;5;14;8;16;7;13;9;12;10;18;11;19;20;17;15
10;0;1;2;4;3;6;5;14;8;16;7;13;9;12;10;18;11;19;20;17;15
11;0;1;2;4;3;6;5;14;8;16;7;13;9;12;10;18;11;19;20;17;15
12;0;1;2;4;3;6;5;14;7;15;13;12;8;11;9;18;10;19;20;17;16
13;0;6;1;3;2;5;4;14;7;15;13;12;8;11;9;18;10;19;20;17;16
14;0;4;5;2;1;10;3;14;6;15;13;12;7;11;8;18;9;19;20;17;16
15;0;3;4;7;1;10;2;14;5;15;13;12;6;11;8;18;9;19;20;17;16
16;0;3;4;7;1;10;2;14;5;15;13;11;6;12;8;18;9;19;20;17;16
17;0;3;4;7;1;10;2;13;5;14;12;11;6;20;8;17;9;18;19;16;15
18;0;2;3;5;1;9;6;13;12;14;11;10;4;20;7;17;8;18;19;16;15
19;0;2;3;5;1;8;6;12;10;13;11;9;4;19;7;17;15;20;18;16;14
20;0;2;3;5;1;8;6;13;10;12;11;9;4;19;7;17;15;20;18;16;14
21;0;2;3;5;1;8;6;13;10;12;11;9;4;19;7;17;14;20;18;16;15
22;0;2;3;4;1;6;5;10;7;9;8;15;13;19;11;17;12;20;18;16;14
23;0;2;3;4;1;6;5;19;7;9;8;13;12;18;10;15;11;20;17;16;14
24;0;2;3;4;1;6;5;18;7;9;8;13;12;17;10;19;11;20;16;15;14
25;0;2;3;4;1;6;5;18;7;9;8;13;12;17;10;19;11;20;15;16;14
26;0;2;3;4;1;11;5;16;6;8;7;13;12;15;9;18;10;20;19;14;17
27;0;2;3;4;1;11;5;16;6;8;7;13;12;15;9;18;10;20;19;14;17
28;0;2;3;4;1;11;5;15;6;7;8;13;12;16;9;18;10;20;19;14;17
29;0;2;3;4;1;10;5;14;6;7;13;12;11;16;8;18;9;20;19;15;17
30;0;2;3;6;1;12;4;14;5;11;13;10;9;16;8;18;7;20;19;15;17
31;0;2;3;5;1;12;6;14;4;11;13;10;9;16;8;18;7;20;19;15;17
32;0;3;1;5;2;12;6;14;4;11;13;10;9;16;8;18;7;20;19;15;17
33;0;3;1;5;2;11;6;13;4;10;12;14;9;15;8;17;7;20;18;19;16
34;0;3;1;5;2;10;6;12;4;8;11;13;14;15;9;17;7;20;18;19;16
35;0;3;1;5;2;16;6;11;4;7;9;12;13;14;8;17;10;20;18;19;15
36;0;3;1;5;2;16;6;11;4;7;9;12;13;14;8;17;10;20;18;19;15
37;0;3;1;5;2;16;6;11;4;7;9;12;13;14;8;17;10;20;18;19;15
38;0;3;1;5;2;14;6;11;4;7;9;12;13;19;8;16;10;20;17;18;15
39;0;3;1;5;2;14;6;11;4;7;9;12;13;18;8;19;10;20;16;17;15
40;0;3;1;5;2;14;6;11;4;7;9;12;13;18;8;19;10;20;16;17;15
41;0;2;4;5;1;14;6;11;3;7;9;12;13;18;8;19;10;20;16;17;15
42;0;2;4;5;1;14;6;11;3;7;9;12;13;18;8;19;10;20;16;17;15
43;0;2;4;5;1;14;6;11;3;7;9;12;13;18;8;19;10;ab;16;17;15
44;0;2;3;7;1;14;5;11;4;6;9;12;13;18;8;19;10;ab;16;17;15
45;0;2;3;7;1;14;5;11;4;6;9;12;13;17;8;19;10;ab;16;18;15
46;0;2;3;7;1;14;5;11;4;6;9;12;13;16;8;18;10;ab;19;17;15
47;0;2;3;7;1;14;5;11;4;6;9;12;13;16;8;18;10;ab;19;17;15
48;0;2;3;7;1;14;5;11;4;6;9;12;13;16;8;18;10;ab;19;17;15
49;0;3;2;7;1;14;6;11;4;5;9;12;13;16;8;18;10;ab;19;17;15
50;0;3;2;7;1;14;6;11;4;5;9;12;13;16;8;18;10;ab;19;17;15
51;0;3;2;7;1;14;6;11;4;5;9;12;13;16;8;18;10;ab;19;17;15
