;sc;HAM;BOT;VER;PER;STR;ALB;SAI;NOR;LEC;GAS;VET;KVY;RIC;RAI;OCO;MAG;GRO;RUS;LAT;GIO
0;0;1;4;2;5;3;6;7;10;9;8;11;13;12;15;16;14;17;18;20;19
1;0;1;4;2;5;3;6;7;10;9;8;11;12;13;15;16;14;17;18;20;19
2;0;1;4;2;5;3;6;7;10;9;8;11;12;13;15;16;14;17;18;20;19
3;0;1;4;2;5;3;6;7;10;9;8;11;12;13;15;16;14;17;18;20;19
4;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
5;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
6;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
7;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
8;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
9;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
10;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
11;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
12;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
13;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
14;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
15;0;1;3;2;5;4;6;7;10;9;8;11;12;13;15;16;14;18;17;20;19
16;0;1;3;2;5;4;8;6;10;9;7;11;12;13;15;16;14;18;17;20;19
17;0;1;3;2;5;4;16;6;9;8;7;10;11;12;14;15;13;18;17;20;19
18;0;1;3;2;5;4;16;6;9;8;7;10;11;12;14;15;13;17;18;20;19
19;0;1;3;2;5;4;15;6;9;8;7;10;11;12;16;14;13;17;20;19;18
20;0;1;2;3;5;4;15;6;9;7;8;10;12;11;20;14;13;16;19;17;18
21;0;1;2;3;5;4;12;7;14;6;13;8;17;9;19;11;10;15;18;16;20
22;0;1;2;3;5;4;11;12;14;6;13;7;16;8;19;10;9;15;18;17;20
23;0;1;3;2;5;4;11;12;14;6;13;7;16;8;19;10;9;15;18;17;20
24;0;1;3;2;5;4;11;12;14;6;13;7;16;8;19;10;9;15;17;18;20
25;0;1;3;2;5;4;11;12;14;6;13;7;15;8;18;10;9;16;17;19;20
26;0;1;3;2;4;5;11;12;14;6;13;7;15;8;18;10;9;16;17;19;20
27;0;1;3;2;4;8;10;11;13;5;12;6;14;7;18;9;15;16;17;20;19
28;0;1;3;2;4;8;11;10;13;5;12;7;14;6;17;9;19;15;16;20;18
29;0;1;3;2;7;5;9;6;11;12;10;14;13;4;17;8;19;15;16;20;18
30;0;1;3;2;6;5;9;7;11;12;10;14;13;4;17;8;19;16;15;20;18
31;0;1;3;2;6;5;9;7;11;12;10;14;13;4;16;8;18;19;15;20;17
32;0;1;3;2;6;5;8;7;11;12;10;14;13;4;16;9;18;19;15;20;17
33;0;1;3;2;6;5;8;7;10;11;9;14;12;4;16;13;18;19;15;20;17
34;0;1;3;2;5;4;8;6;10;11;9;13;12;7;14;18;17;19;15;20;16
35;0;1;3;2;5;4;7;6;9;20;8;11;10;12;13;16;15;18;17;19;14
36;0;1;3;2;5;4;7;6;9;20;8;11;10;12;13;16;15;18;17;19;14
37;0;1;3;2;5;4;7;6;9;20;8;11;10;12;13;16;15;18;17;19;14
38;0;1;3;2;5;4;9;6;8;ab;7;11;10;12;13;16;15;18;17;19;14
39;0;1;3;2;5;4;11;6;8;ab;7;10;9;12;13;16;15;18;17;19;14
40;0;1;2;3;5;4;11;7;8;ab;6;10;9;12;13;16;14;18;17;19;15
41;0;1;2;3;4;5;11;10;6;ab;7;9;8;12;13;16;14;18;17;19;15
42;0;1;2;3;4;8;10;9;5;ab;11;7;6;12;13;16;14;18;17;19;15
43;0;1;2;3;4;8;10;9;5;ab;11;7;6;12;15;16;13;18;17;19;14
44;0;1;2;3;4;7;9;8;11;ab;10;5;6;12;19;14;13;16;15;18;17
45;0;1;2;3;4;6;8;7;10;ab;9;5;12;11;18;14;13;16;15;17;19
46;0;1;2;3;4;6;8;7;10;ab;9;5;12;11;18;14;13;16;15;17;19
47;0;1;2;3;4;6;8;7;10;ab;9;5;12;11;18;14;13;16;15;17;19
48;0;1;3;2;4;6;8;7;10;ab;9;5;12;11;17;14;13;16;15;19;18
49;0;1;3;2;4;6;8;7;10;ab;9;5;12;11;17;14;13;16;15;19;18
50;0;1;3;2;4;6;8;7;10;ab;9;5;12;11;17;14;13;16;15;19;18
51;0;1;3;2;4;6;8;7;10;ab;9;5;12;11;17;14;13;16;15;19;18
52;0;1;3;2;4;6;8;7;10;ab;9;5;12;11;17;14;13;16;15;19;18
53;0;1;3;2;4;6;8;7;10;ab;9;5;12;11;17;14;13;16;15;19;18
54;0;1;3;2;4;6;8;7;10;ab;9;5;12;11;16;14;13;17;15;19;18
55;0;1;3;2;4;5;8;7;10;ab;9;6;12;11;16;13;14;17;15;19;18
56;0;1;3;2;4;5;8;7;10;ab;9;6;12;11;16;13;14;17;15;19;18
57;0;1;3;2;4;5;8;7;10;ab;9;6;12;11;15;13;14;17;16;19;18
58;0;1;3;2;4;5;8;6;10;ab;9;7;12;11;15;13;14;18;16;19;17
59;0;1;3;2;4;5;8;6;10;ab;9;7;12;11;14;13;15;18;16;19;17
60;0;1;3;2;4;5;8;6;10;ab;9;7;12;11;14;13;15;18;17;19;16
61;0;1;3;2;4;5;8;6;10;ab;9;7;12;11;14;13;15;19;17;18;16
62;0;1;3;2;4;5;8;6;10;ab;9;7;12;11;14;13;15;19;17;18;16
63;0;1;3;2;4;5;8;6;10;ab;9;7;12;11;14;13;15;19;17;18;16
64;0;1;3;2;4;5;8;6;10;ab;9;7;12;11;14;13;15;19;17;18;16
65;0;1;3;2;5;4;8;6;10;ab;9;7;12;11;14;13;15;19;17;18;16
