;sc;HAM;BOT;SAI;PER;VER;NOR;RIC;STR;ALB;GAS;KVY;OCO;LEC;RAI;MAG;GRO;VET;GIO;RUS;LAT
0;0;1;6;2;4;7;3;5;8;15;10;11;9;13;12;20;16;18;14;17;19
1;0;1;6;2;4;8;3;5;7;15;10;11;9;13;12;20;16;17;14;18;19
2;0;1;6;2;4;7;3;5;8;15;10;11;9;13;12;20;16;17;14;18;19
3;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;20;16;17;15;18;19
4;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;20;16;17;15;18;19
5;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;20;15;17;18
6;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
7;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
8;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
9;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
10;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
11;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
12;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
13;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
14;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
15;0;1;6;2;4;7;3;5;8;14;10;11;9;13;12;19;16;ab;15;17;18
16;0;1;6;2;4;7;3;5;8;13;10;11;9;16;12;18;15;ab;14;17;19
17;0;1;6;2;4;7;3;5;8;12;10;11;9;17;13;ab;15;ab;14;16;18
18;0;1;6;2;4;7;3;5;8;12;11;10;9;17;16;ab;14;ab;13;15;18
19;1;1;6;2;4;7;3;5;8;11;15;10;9;17;16;ab;12;ab;13;14;18
20;1;2;6;1;4;7;3;5;8;11;14;10;9;17;16;ab;12;ab;15;13;18
21;1;1;7;2;5;8;4;6;3;15;9;13;11;14;12;ab;17;ab;10;18;16
22;1;1;10;8;12;13;9;11;2;18;3;15;14;6;5;ab;17;ab;4;16;7
23;0;1;8;6;14;11;7;10;2;16;3;13;12;ab;4;ab;17;ab;5;15;9
24;1;1;8;6;14;11;7;10;2;16;3;13;12;ab;4;ab;17;ab;5;15;9
25;1;1;8;6;14;11;7;10;2;16;3;13;12;ab;4;ab;17;ab;5;15;9
26;0;1;8;6;14;11;7;10;2;16;3;13;12;ab;4;ab;17;ab;5;15;9
27;0;4;8;6;13;14;7;9;5;17;1;11;10;ab;2;ab;15;ab;3;16;12
28;0;17;7;4;11;14;6;8;5;16;1;10;9;ab;2;ab;13;ab;3;15;12
29;0;17;6;3;11;16;5;7;4;15;1;10;8;ab;2;ab;13;ab;9;14;12
30;0;15;6;3;10;ab;5;7;4;14;1;9;8;ab;2;ab;12;ab;16;13;11
31;0;15;6;3;10;ab;5;7;4;14;1;9;8;ab;2;ab;12;ab;16;13;11
32;0;15;6;3;10;ab;5;7;4;14;1;9;8;ab;2;ab;12;ab;16;13;11
33;0;15;6;2;10;ab;5;7;4;14;1;9;8;ab;3;ab;12;ab;16;13;11
34;0;15;6;2;10;ab;5;7;3;14;1;9;8;ab;4;ab;12;ab;16;13;11
35;0;15;6;2;10;ab;4;7;3;14;1;9;8;ab;5;ab;12;ab;16;13;11
36;0;15;5;2;10;ab;4;7;3;14;1;9;8;ab;6;ab;12;ab;16;13;11
37;0;15;5;2;10;ab;4;6;3;14;1;9;8;ab;7;ab;12;ab;16;13;11
38;0;15;5;2;10;ab;4;6;3;14;1;9;8;ab;7;ab;12;ab;16;13;11
39;0;14;5;2;10;ab;4;6;3;15;1;9;8;ab;7;ab;12;ab;16;13;11
40;0;13;5;2;10;ab;4;6;3;15;1;9;8;ab;7;ab;12;ab;16;14;11
41;0;12;5;2;10;ab;4;6;3;15;1;9;8;ab;7;ab;13;ab;16;14;11
42;0;12;5;2;10;ab;4;6;3;15;1;9;7;ab;8;ab;13;ab;16;14;11
43;0;12;5;2;10;ab;4;6;3;15;1;8;7;ab;9;ab;13;ab;16;14;11
44;0;11;5;2;10;ab;4;6;3;15;1;8;7;ab;9;ab;13;ab;16;14;12
45;0;10;5;2;9;ab;4;6;3;15;1;8;7;ab;11;ab;13;ab;16;14;12
46;0;10;5;2;9;ab;4;6;3;15;1;8;7;ab;11;ab;13;ab;16;14;12
47;0;10;5;2;9;ab;4;6;3;15;1;8;7;ab;11;ab;13;ab;16;14;12
48;0;9;5;2;10;ab;4;6;3;15;1;8;7;ab;11;ab;13;ab;16;14;12
49;0;9;5;2;10;ab;4;6;3;15;1;8;7;ab;11;ab;13;ab;16;14;12
50;0;8;5;2;10;ab;4;6;3;15;1;9;7;ab;11;ab;13;ab;16;14;12
51;0;8;5;2;10;ab;4;6;3;15;1;9;7;ab;12;ab;13;ab;16;14;11
52;0;7;5;2;10;ab;4;6;3;15;1;9;8;ab;13;ab;12;ab;16;14;11
