;sc;HAM;BOT;VER;ALB;LEC;STR;PER;RIC;SAI;OCO;NOR;KVY;RAI;VET;GRO;GAS;GIO;RUS;LAT;MAG
0;1;2;1;ab;4;3;5;7;6;15;10;8;9;16;18;17;ab;14;11;13;12
1;1;2;1;ab;4;3;5;7;6;15;10;8;9;17;18;16;ab;14;11;13;12
2;1;2;1;ab;4;3;5;7;6;15;10;8;9;17;18;16;ab;14;11;13;12
3;1;2;1;ab;4;3;5;7;6;15;10;8;9;17;18;16;ab;14;11;13;12
4;1;2;1;ab;4;3;5;7;6;15;10;8;9;17;18;16;ab;14;11;13;12
5;1;2;1;ab;4;3;5;7;6;ab;10;8;9;13;14;15;ab;ab;11;12;ab
6;1;2;1;ab;4;3;5;7;6;ab;10;8;9;12;13;14;ab;ab;11;ab;ab
7;1;2;1;ab;4;3;5;7;6;ab;ab;8;9;11;12;13;ab;ab;10;ab;ab
8;1;2;1;ab;5;3;4;7;6;ab;ab;8;9;11;12;13;ab;ab;10;ab;ab
9;0;1;2;ab;7;3;4;5;6;ab;ab;8;9;10;13;12;ab;ab;11;ab;ab
10;0;1;2;ab;7;3;4;5;6;ab;ab;8;9;11;12;13;ab;ab;10;ab;ab
11;0;1;2;ab;7;3;4;5;6;ab;ab;8;9;11;12;13;ab;ab;10;ab;ab
12;0;1;2;ab;7;3;4;5;6;ab;ab;8;9;11;12;13;ab;ab;10;ab;ab
13;0;1;2;ab;7;3;4;5;6;ab;ab;8;9;11;12;13;ab;ab;10;ab;ab
14;0;1;2;ab;7;3;4;6;5;ab;ab;8;9;11;12;13;ab;ab;10;ab;ab
15;0;1;2;ab;7;3;4;6;5;ab;ab;8;9;12;11;13;ab;ab;10;ab;ab
16;0;1;2;ab;7;3;4;6;5;ab;ab;8;9;12;11;13;ab;ab;10;ab;ab
17;0;1;2;ab;6;4;3;7;5;ab;ab;8;9;12;11;13;ab;ab;10;ab;ab
18;0;1;2;ab;6;5;3;7;4;ab;ab;8;9;12;11;13;ab;ab;10;ab;ab
19;0;1;2;ab;5;6;3;7;4;ab;ab;8;9;12;11;13;ab;ab;10;ab;ab
20;0;1;2;ab;5;12;3;6;4;ab;ab;7;8;11;10;13;ab;ab;9;ab;ab
21;0;1;2;ab;5;13;3;6;4;ab;ab;7;8;11;10;12;ab;ab;9;ab;ab
22;0;1;2;ab;5;13;3;6;4;ab;ab;7;8;11;10;12;ab;ab;9;ab;ab
23;0;1;2;ab;5;13;3;6;4;ab;ab;7;8;11;10;12;ab;ab;9;ab;ab
24;0;1;2;ab;5;13;3;6;4;ab;ab;7;8;11;10;12;ab;ab;9;ab;ab
25;0;1;2;ab;5;12;3;6;4;ab;ab;7;8;11;10;13;ab;ab;9;ab;ab
26;0;1;2;ab;4;11;3;5;8;ab;ab;6;7;13;10;12;ab;ab;9;ab;ab
27;0;1;2;ab;4;10;3;9;7;ab;ab;5;6;13;11;12;ab;ab;8;ab;ab
28;0;1;2;ab;4;7;3;8;5;ab;ab;6;9;13;11;12;ab;ab;10;ab;ab
29;0;1;2;ab;3;7;4;6;5;ab;ab;8;9;13;11;12;ab;ab;10;ab;ab
30;0;1;3;ab;2;7;5;6;4;ab;ab;8;9;13;11;12;ab;ab;10;ab;ab
31;0;1;2;ab;4;7;5;6;3;ab;ab;8;9;13;11;12;ab;ab;10;ab;ab
32;0;1;2;ab;5;8;4;6;3;ab;ab;7;9;13;11;12;ab;ab;10;ab;ab
33;0;1;2;ab;5;8;4;6;3;ab;ab;7;9;12;11;13;ab;ab;10;ab;ab
34;0;1;2;ab;5;8;4;6;3;ab;ab;7;9;12;11;13;ab;ab;10;ab;ab
35;0;1;2;ab;5;8;4;6;3;ab;ab;7;9;12;11;13;ab;ab;10;ab;ab
36;0;1;2;ab;5;11;4;6;3;ab;ab;7;8;12;10;13;ab;ab;9;ab;ab
37;0;1;2;ab;5;11;4;6;3;ab;ab;7;8;12;10;13;ab;ab;9;ab;ab
38;0;1;2;ab;5;11;4;6;3;ab;ab;7;8;12;10;13;ab;ab;9;ab;ab
39;0;1;2;ab;5;11;4;6;3;ab;ab;7;8;12;10;13;ab;ab;9;ab;ab
40;0;1;2;ab;5;11;4;6;3;ab;ab;7;8;12;10;13;ab;ab;9;ab;ab
41;0;1;2;ab;5;11;4;6;3;ab;ab;7;8;12;10;13;ab;ab;9;ab;ab
42;0;1;2;ab;4;8;ab;5;3;ab;ab;6;7;11;10;12;ab;ab;9;ab;ab
43;1;1;2;ab;4;8;ab;5;3;ab;ab;6;7;12;10;11;ab;ab;9;ab;ab
44;1;1;2;ab;4;10;ab;5;3;ab;ab;6;7;8;12;9;ab;ab;11;ab;ab
45;1;1;3;ab;4;8;ab;5;2;ab;ab;6;7;9;10;12;ab;ab;11;ab;ab
46;0;1;3;ab;4;10;ab;5;2;ab;ab;6;7;8;11;9;ab;ab;12;ab;ab
47;0;1;2;ab;4;10;ab;5;3;ab;ab;6;7;8;11;9;ab;ab;12;ab;ab
48;0;1;2;ab;4;9;ab;5;3;ab;ab;6;7;8;11;10;ab;ab;12;ab;ab
49;0;1;2;ab;4;9;ab;5;3;ab;ab;6;7;8;11;10;ab;ab;12;ab;ab
50;0;1;2;ab;3;9;ab;5;4;ab;ab;6;7;8;10;12;ab;ab;11;ab;ab
51;0;1;2;ab;3;9;ab;5;4;ab;ab;6;7;8;10;12;ab;ab;11;ab;ab
52;0;1;2;ab;3;9;ab;5;4;ab;ab;6;7;8;10;12;ab;ab;11;ab;ab
53;0;1;2;ab;3;9;ab;5;4;ab;ab;6;7;8;10;12;ab;ab;11;ab;ab
54;0;1;2;ab;3;9;ab;5;4;ab;ab;6;7;8;10;12;ab;ab;11;ab;ab
55;0;1;2;ab;3;9;ab;5;4;ab;ab;6;7;8;10;12;ab;ab;11;ab;ab
