;sc;VER;HAM;BOT;LEC;NOR;RIC;ALO;VET;OCO;SAI;GAS;RUS;RAI;STR;GIO;TSU;LAT;MSC;MAZ;PER
0;1;ab;2;3;1;4;5;7;6;10;8;12;14;9;11;13;15;17;16;18;19
1;1;ab;2;3;1;4;5;7;6;10;8;12;14;9;11;13;15;17;16;18;19
2;1;ab;2;3;1;4;5;7;6;10;8;12;14;9;11;13;15;17;16;18;19
3;0;ab;2;4;1;3;5;6;19;10;7;12;13;9;8;11;14;17;15;18;16
4;0;ab;2;4;1;3;5;7;19;9;6;12;13;10;8;11;15;16;17;18;14
5;0;ab;2;4;1;3;5;7;19;9;6;11;13;10;8;12;15;16;17;18;14
6;0;ab;2;4;1;3;5;7;18;9;6;11;14;10;8;12;15;16;17;19;13
7;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;12;15;16;18;19;13
8;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
9;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
10;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
11;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
12;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
13;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
14;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
15;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
16;0;ab;2;4;1;3;5;7;17;9;6;11;14;10;8;13;15;16;18;19;12
17;0;ab;2;4;1;3;5;7;17;9;6;12;14;10;8;13;15;16;18;19;11
18;0;ab;2;4;1;3;5;7;17;9;6;10;16;14;8;11;12;13;18;19;15
19;0;ab;2;4;1;3;5;7;17;12;6;9;15;14;8;10;11;16;18;19;13
20;0;ab;2;4;1;3;9;6;17;12;5;8;15;14;7;10;11;16;18;19;13
21;0;ab;2;3;1;6;9;5;17;13;4;8;15;14;7;10;11;16;18;19;12
22;0;ab;2;4;1;5;9;6;17;13;3;8;15;14;7;10;11;16;18;19;12
23;0;ab;2;4;1;5;8;6;17;12;3;7;14;13;10;15;9;16;18;19;11
24;0;ab;2;4;1;5;7;9;17;12;3;6;14;13;10;15;8;16;19;18;11
25;0;ab;2;4;1;5;7;9;17;12;3;6;14;13;10;15;8;16;18;19;11
26;0;ab;2;4;1;5;7;9;17;12;3;6;14;13;10;15;8;16;19;18;11
27;0;ab;5;3;1;4;7;9;17;12;2;6;14;13;10;15;8;16;19;18;11
28;0;ab;4;2;1;3;5;8;17;12;6;11;14;13;9;15;7;16;19;18;10
29;0;ab;4;2;1;3;5;8;17;12;6;11;14;13;9;15;7;16;19;18;10
30;0;ab;3;2;1;4;5;7;17;11;6;10;14;12;8;15;13;16;19;18;9
31;0;ab;3;2;1;4;5;7;17;11;6;10;14;12;8;15;13;16;19;18;9
32;0;ab;3;2;1;4;5;7;17;11;6;10;14;12;8;15;13;16;19;18;9
33;0;ab;3;2;1;4;5;7;17;11;6;10;14;12;8;15;13;16;19;18;9
34;0;ab;3;2;1;4;5;7;17;11;6;10;14;12;8;15;13;16;19;18;9
35;0;ab;3;2;1;4;5;7;17;11;6;10;14;12;8;15;13;16;19;18;9
36;0;ab;3;2;1;4;5;7;17;11;6;10;14;12;8;15;13;16;19;18;9
37;0;ab;3;2;1;4;5;7;17;11;6;10;14;12;9;15;13;16;19;18;8
38;0;ab;3;2;1;4;5;7;17;10;6;9;13;11;8;14;12;15;19;18;16
39;0;ab;2;3;1;4;5;7;17;10;6;9;13;11;8;14;12;16;19;18;15
40;0;ab;2;3;1;4;5;7;ab;10;6;9;14;11;8;15;12;16;18;17;13
41;0;ab;2;3;1;4;5;7;ab;10;6;9;14;11;8;15;12;16;18;17;13
42;0;ab;2;3;1;4;5;7;ab;10;6;9;14;11;8;15;13;16;18;17;12
43;0;ab;2;3;1;4;5;7;ab;10;6;9;14;11;8;15;13;16;18;17;12
44;0;ab;2;3;1;4;5;7;ab;10;6;9;14;11;8;15;13;16;18;17;12
45;0;ab;2;3;1;4;5;7;ab;10;6;9;13;16;8;14;12;15;18;17;11
46;0;ab;2;3;1;4;5;7;ab;9;6;14;12;16;8;13;11;15;18;17;10
47;0;ab;2;3;1;4;5;7;ab;9;6;13;12;16;8;14;11;15;18;17;10
48;0;ab;2;3;1;4;5;7;ab;9;6;12;11;15;8;13;10;14;18;17;16
49;0;ab;1;3;2;4;5;7;ab;9;6;11;12;15;8;13;10;14;18;17;16
50;0;ab;1;3;2;4;5;7;ab;9;6;11;12;15;8;13;10;14;18;17;16
51;0;ab;1;3;2;4;5;7;ab;9;6;11;12;15;8;13;10;14;18;17;16
