;sc;VER;HAM;BOT;GAS;LEC;SAI;GIO;OCO;ALO;RIC;RUS;STR;NOR;TSU;VET;KUB;MSC;MAZ;LAT;PER
0;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;18;17;20;19
1;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;18;17;20;19
2;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;18;17;20;19
3;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;20;17;19;18
4;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;20;17;19;18
5;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;20;17;19;18
6;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;20;17;19;18
7;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;20;17;18;19
8;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;15;16;20;17;18;19
9;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;16;15;20;17;18;19
10;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;16;17;18
11;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;16;17;18
12;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;17;16;18
13;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;17;16;18
14;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;18;16;17
15;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;18;16;17
16;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;18;16;17
17;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;18;17;16
18;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;15;20;18;17;16
19;0;1;2;3;4;5;6;10;8;7;9;11;12;13;14;19;16;20;18;17;15
20;0;1;3;2;4;5;6;10;8;7;9;11;12;13;14;19;16;20;18;17;15
21;0;2;3;1;4;5;6;10;8;7;9;11;12;13;14;19;16;20;18;17;15
22;0;2;3;1;4;5;6;10;8;7;9;11;12;13;15;19;16;20;18;17;14
23;0;2;3;1;5;4;6;10;8;7;9;11;12;13;15;17;16;20;18;19;14
24;0;2;3;1;7;4;5;10;8;6;9;11;12;13;15;17;16;20;18;19;14
