;sc;VER;RIC;NOR;HAM;LEC;SAI;GIO;PER;STR;ALO;VET;OCO;LAT;RUS;TSU;MAZ;KUB;MSC;BOT;GAS
0;1;2;1;3;4;5;6;19;7;8;9;12;10;11;13;np;17;14;15;16;18
1;0;2;1;3;4;5;6;19;7;8;9;12;10;11;13;np;17;14;16;15;18
2;0;2;1;3;4;5;6;19;7;8;9;12;10;11;13;np;17;15;16;14;18
3;0;2;1;3;4;5;6;18;7;8;9;12;10;11;13;np;17;15;16;14;ab
4;0;2;1;3;4;5;6;18;7;8;9;12;10;11;14;np;17;15;16;13;ab
5;0;2;1;3;4;5;6;18;7;8;9;12;10;11;14;np;17;15;16;13;ab
6;0;2;1;3;4;5;6;18;7;8;9;12;11;10;14;np;17;15;16;13;ab
7;0;2;1;3;4;5;6;18;7;8;9;12;11;10;14;np;17;15;16;13;ab
8;0;2;1;3;4;5;7;18;6;8;9;13;11;10;14;np;17;15;16;12;ab
9;0;2;1;3;4;5;7;18;6;8;9;13;11;10;14;np;17;15;16;12;ab
10;0;2;1;3;4;5;7;18;6;8;9;13;12;10;14;np;17;15;16;11;ab
11;0;2;1;3;4;5;7;18;6;8;9;13;12;10;14;np;17;15;16;11;ab
12;0;2;1;3;4;5;7;18;6;8;9;13;12;11;14;np;17;15;16;10;ab
13;0;2;1;3;4;5;7;18;6;8;9;13;12;11;14;np;17;15;16;10;ab
14;0;2;1;3;4;5;7;18;6;8;9;13;12;11;14;np;17;15;16;10;ab
15;0;2;1;3;4;5;7;18;6;8;9;13;12;11;14;np;17;15;16;10;ab
16;0;2;1;3;4;5;7;18;6;8;10;13;12;11;14;np;17;15;16;9;ab
17;0;2;1;3;4;5;7;18;6;8;10;13;12;11;14;np;17;15;16;9;ab
18;0;2;1;3;4;5;7;18;6;8;10;13;12;11;14;np;17;15;16;9;ab
19;0;2;1;3;4;5;7;18;6;8;10;13;12;11;14;np;17;15;16;9;ab
20;0;2;1;3;4;5;7;18;6;8;10;13;12;11;14;np;17;15;16;9;ab
21;0;1;2;3;4;5;7;18;6;9;10;14;12;11;13;np;17;15;16;8;ab
22;0;2;7;1;3;4;6;18;5;9;10;15;11;12;13;np;16;14;17;8;ab
23;0;9;6;3;1;2;5;16;4;8;10;15;11;14;12;np;17;13;18;7;ab
24;0;8;4;7;1;2;5;16;3;9;10;15;11;14;12;np;18;13;17;6;ab
25;1;ab;3;6;ab;1;4;15;2;10;11;13;7;12;8;np;16;9;14;5;ab
26;1;ab;1;3;ab;2;5;15;4;7;8;13;11;10;9;np;16;12;14;6;ab
27;1;ab;1;3;ab;2;5;15;4;7;8;13;11;10;9;np;16;12;14;6;ab
28;1;ab;1;3;ab;2;5;15;4;7;8;13;11;10;9;np;16;12;14;6;ab
29;1;ab;1;3;ab;2;5;15;4;7;8;13;11;10;9;np;16;12;14;6;ab
30;0;ab;1;2;ab;3;5;14;4;7;8;13;11;10;9;np;16;12;15;6;ab
31;0;ab;1;2;ab;4;6;14;3;7;8;13;10;11;9;np;15;12;16;5;ab
32;0;ab;1;2;ab;4;6;14;3;7;8;13;10;11;9;np;15;12;16;5;ab
33;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;15;12;16;4;ab
34;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;15;12;16;4;ab
35;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;15;12;16;4;ab
36;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;15;12;16;4;ab
37;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;15;12;16;4;ab
38;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;16;12;15;4;ab
39;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;16;12;15;4;ab
40;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;16;12;15;4;ab
41;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;ab;12;15;4;ab
42;0;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;ab;12;15;4;ab
43;1;ab;1;2;ab;5;6;14;3;7;8;13;10;11;9;np;ab;12;15;4;ab
44;0;ab;1;2;ab;5;6;14;3;7;8;12;10;11;9;np;ab;13;15;4;ab
45;0;ab;1;2;ab;5;6;14;3;7;8;12;10;11;9;np;ab;13;15;4;ab
46;0;ab;1;2;ab;5;6;14;3;7;8;12;10;11;9;np;ab;13;15;4;ab
47;0;ab;1;2;ab;5;6;14;3;7;8;12;10;11;9;np;ab;13;15;4;ab
48;0;ab;1;2;ab;5;6;13;3;7;8;12;10;11;9;np;ab;14;15;4;ab
49;0;ab;1;2;ab;5;6;13;3;7;8;12;10;11;9;np;ab;14;15;4;ab
50;0;ab;1;2;ab;5;6;13;3;7;8;12;10;11;9;np;ab;14;15;4;ab
51;0;ab;1;2;ab;5;6;13;3;7;8;12;10;11;9;np;ab;14;15;4;ab
52;0;ab;1;2;ab;5;6;13;3;7;8;12;10;11;9;np;ab;14;15;4;ab
